"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"97","970",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","448","18"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","203","13.0462724935733",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","981","42.0308483290488",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","965",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"100","1000",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","453","18"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","229","10.7009345794393",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1299","40.4672897196262",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1277",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"91","910",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","345","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","212","15.6111929307806",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","891","43.740795287187",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","18",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","873",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"83","830",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","415","15"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","320","17.0031880977683",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1261","44.6687920651789",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1251",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"94","940",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","361","14"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","190","15.1033386327504",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","819","43.4022257551669",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","18",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","801",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"100","1000",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","471","20"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","102","6.04265402843602",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","946","37.3617693522907",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","936",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"93","930",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","445","13"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","288","20.8695652173913",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","978","47.2463768115942",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","6",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","972",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"97","970",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","407","16"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","269","13.0836575875486",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1297","42.0557717250324",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1288",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"90","900",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","417","11"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","330","15.7142857142857",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1380","43.8095238095238",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","12",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1368",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"110","1100",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","393","10"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","350","18.3823529411765",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1302","45.5882352941176",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","36",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1256",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"102","1020",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","371","10"
"endpoint_err_rate_core","endpoint","deepseek","c",,"ERR","146","11.1620795107034",,,,,
"endpoint_err_rate_all","endpoint","deepseek","c",,"ERR","800","40.7747196738022",,,,,
"err_breakdown","endpoint","deepseek","c",,"timeout","30",,,,,,
"err_breakdown","endpoint","deepseek","c",,"tls","8",,,,,,
"err_breakdown","endpoint","deepseek","c",,"other","762",,,,,,
"service_responsiveness_rate","overview","mistral","v",,,"111","1110",,,"10",,
"coverage","overview","mistral","v",,,"10",,,,"10","443","10"
"endpoint_err_rate_core","endpoint","mistral","v",,"ERR","332","19.0148911798396",,,,,
"endpoint_err_rate_all","endpoint","mistral","v",,"ERR","1205","46.0099274532264",,,,,
"err_breakdown","endpoint","mistral","v",,"timeout","28",,,,,,
"err_breakdown","endpoint","mistral","v",,"tls","18",,,,,,
"err_breakdown","endpoint","mistral","v",,"other","1159",,,,,,
"service_responsiveness_rate","overview","gemini","v",,,"111","1110",,,"10",,
"coverage","overview","gemini","v",,,"10",,,,"10","402","15"
"endpoint_err_rate_core","endpoint","gemini","v",,"ERR","352","21.3592233009709",,,,,
"endpoint_err_rate_all","endpoint","gemini","v",,"ERR","1176","47.5728155339806",,,,,
"err_breakdown","endpoint","gemini","v",,"timeout","10",,,,,,
"err_breakdown","endpoint","gemini","v",,"other","1166",,,,,,
"service_responsiveness_rate","overview","mistral","t",,,"97","970",,,"10",,
"coverage","overview","mistral","t",,,"10",,,,"10","481","10"
"endpoint_err_rate_core","endpoint","mistral","t",,"ERR","277","16.1233993015134",,,,,
"endpoint_err_rate_all","endpoint","mistral","t",,"ERR","1136","44.0822662010089",,,,,
"err_breakdown","endpoint","mistral","t",,"timeout","42",,,,,,
"err_breakdown","endpoint","mistral","t",,"tls","28",,,,,,
"err_breakdown","endpoint","mistral","t",,"other","1066",,,,,,
"service_responsiveness_rate","overview","gemini","c",,,"83","830",,,"10",,
"coverage","overview","gemini","c",,,"10",,,,"10","388","11"
"endpoint_err_rate_core","endpoint","gemini","c",,"ERR","190","13.8081395348837",,,,,
"endpoint_err_rate_all","endpoint","gemini","c",,"ERR","878","42.5387596899225",,,,,
"err_breakdown","endpoint","gemini","c",,"timeout","92",,,,,,
"err_breakdown","endpoint","gemini","c",,"other","786",,,,,,
"doc_size","docs","gpt","t",,,"462",,,,"674163","130400","4547533"
"doc_size","docs","claude","c",,,"513",,,,"902667","150826","5345795"
"doc_size","docs","deepseek","t",,,"437",,,,"567154","71063","4853425"
"doc_size","docs","claude","v",,,"516",,,,"846140","197087","5345795"
"doc_size","docs","gemini","t",,,"429",,,,"892645","264943","5345795"
"doc_size","docs","gpt","c",,,"534",,,,"698521","133390","4854513"
"doc_size","docs","mistral","c",,,"485",,,,"705516","178470","5345795"
"doc_size","docs","gpt","v",,,"492",,,,"692221","138397","3802068"
"doc_size","docs","claude","t",,,"497",,,,"909329","178470","5689032"
"doc_size","docs","deepseek","v",,,"470",,,,"647430","75689","5345795"
"doc_size","docs","deepseek","c",,,"473",,,,"498204","71063","2212327"
"doc_size","docs","mistral","v",,,"481",,,,"475026","155779","1872085"
"doc_size","docs","gemini","v",,,"488",,,,"564489","87740","4508293"
"doc_size","docs","mistral","t",,,"517",,,,"403128","195395","1662577"
"doc_size","docs","gemini","c",,,"447",,,,"639802","264632","2861105"
"http_status_count","docs","claude","v",,"404","46",,,,,,
"http_status_count","docs","gpt","v",,"422","6",,,,,,
"http_status_count","docs","claude","t",,"308","34",,,,,,
"http_status_count","docs","claude","v",,"401","11",,,,,,
"http_status_count","docs","gemini","c",,"200","388",,,,,,
"http_status_count","docs","gemini","c",,"ERR","53",,,,,,
"http_status_count","docs","deepseek","t",,"308","42",,,,,,
"http_status_count","docs","mistral","v",,"200","443",,,,,,
"http_status_count","docs","deepseek","v",,"308","54",,,,,,
"http_status_count","docs","gpt","v",,"308","41",,,,,,
"http_status_count","docs","claude","v",,"ERR","35",,,,,,
"http_status_count","docs","claude","t",,"ERR","40",,,,,,
"http_status_count","docs","deepseek","c",,"200","371",,,,,,
"http_status_count","docs","gemini","t",,"404","47",,,,,,
"http_status_count","docs","mistral","t",,"405","2",,,,,,
"http_status_count","docs","deepseek","v",,"404","68",,,,,,
"http_status_count","docs","gemini","t",,"403","22",,,,,,
"http_status_count","docs","gpt","t",,"ERR","79",,,,,,
"http_status_count","docs","claude","c",,"503","1",,,,,,
"http_status_count","docs","deepseek","c",,"404","65",,,,,,
"http_status_count","docs","mistral","t",,"404","21",,,,,,
"http_status_count","docs","mistral","c",,"200","445",,,,,,
"http_status_count","docs","claude","c",,"404","47",,,,,,
"http_status_count","docs","claude","t",,"200","417",,,,,,
"http_status_count","docs","gemini","v",,"403","18",,,,,,
"http_status_count","docs","mistral","v",,"429","2",,,,,,
"http_status_count","docs","gemini","t",,"308","33",,,,,,
"http_status_count","docs","gpt","c",,"ERR","60",,,,,,
"http_status_count","docs","gemini","t",,"200","361",,,,,,
"http_status_count","docs","mistral","t",,"ERR","27",,,,,,
"http_status_count","docs","mistral","v",,"308","23",,,,,,
"http_status_count","docs","gemini","v",,"200","402",,,,,,
"http_status_count","docs","mistral","c",,"308","23",,,,,,
"http_status_count","docs","gemini","v",,"308","32",,,,,,
"http_status_count","docs","claude","v",,"301","2",,,,,,
"http_status_count","docs","gpt","v",,"404","64",,,,,,
"http_status_count","docs","deepseek","t",,"200","345",,,,,,
"http_status_count","docs","mistral","c",,"ERR","35",,,,,,
"http_status_count","docs","gpt","t",,"404","49",,,,,,
"http_status_count","docs","gpt","c",,"308","34",,,,,,
"http_status_count","docs","gemini","v",,"ERR","67",,,,,,
"http_status_count","docs","mistral","t",,"403","16",,,,,,
"http_status_count","docs","deepseek","v",,"200","393",,,,,,
"http_status_count","docs","gpt","v",,"ERR","54",,,,,,
"http_status_count","docs","gemini","c",,"403","6",,,,,,
"http_status_count","docs","gemini","c",,"308","46",,,,,,
"http_status_count","docs","claude","v",,"200","453",,,,,,
"http_status_count","docs","claude","v",,"403","9",,,,,,
"http_status_count","docs","claude","t",,"403","9",,,,,,
"http_status_count","docs","deepseek","v",,"403","16",,,,,,
"http_status_count","docs","claude","c",,"200","448",,,,,,
"http_status_count","docs","deepseek","t",,"403","35",,,,,,
"http_status_count","docs","gpt","v",,"200","407",,,,,,
"http_status_count","docs","claude","v",,"308","34",,,,,,
"http_status_count","docs","mistral","t",,"308","13",,,,,,
"http_status_count","docs","gpt","t",,"200","415",,,,,,
"http_status_count","docs","mistral","v",,"403","10",,,,,,
"http_status_count","docs","mistral","v",,"404","54",,,,,,
"http_status_count","docs","deepseek","v",,"401","1",,,,,,
"http_status_count","docs","gpt","c",,"200","471",,,,,,
"http_status_count","docs","deepseek","c",,"308","43",,,,,,
"http_status_count","docs","mistral","v",,"ERR","50",,,,,,
"http_status_count","docs","mistral","c",,"404","42",,,,,,
"http_status_count","docs","deepseek","t",,"ERR","53",,,,,,
"http_status_count","docs","mistral","t",,"400","1",,,,,,
"http_status_count","docs","gpt","t",,"308","27",,,,,,
"http_status_count","docs","claude","c",,"ERR","33",,,,,,
"http_status_count","docs","gemini","c",,"422","5",,,,,,
"http_status_count","docs","gpt","c",,"403","10",,,,,,
"http_status_count","docs","gemini","v",,"404","70",,,,,,
"http_status_count","docs","deepseek","t",,"404","67",,,,,,
"http_status_count","docs","claude","c",,"308","34",,,,,,
"http_status_count","docs","mistral","c",,"429","1",,,,,,
"http_status_count","docs","gemini","c",,"404","53",,,,,,
"http_status_count","docs","deepseek","v",,"ERR","54",,,,,,
"http_status_count","docs","claude","t",,"401","4",,,,,,
"http_status_count","docs","mistral","c",,"403","8",,,,,,
"http_status_count","docs","claude","t",,"404","64",,,,,,
"http_status_count","docs","gpt","c",,"404","39",,,,,,
"http_status_count","docs","claude","c",,"403","8",,,,,,
"http_status_count","docs","deepseek","c",,"403","27",,,,,,
"http_status_count","docs","gpt","t",,"403","11",,,,,,
"http_status_count","docs","gemini","t",,"ERR","74",,,,,,
"http_status_count","docs","mistral","t",,"429","2",,,,,,
"http_status_count","docs","mistral","t",,"200","481",,,,,,
"http_status_count","docs","deepseek","c",,"ERR","42",,,,,,
"http_status_count","docs","gpt","v",,"403","29",,,,,,
"latency_perprobe","endpoint","mistral","v","HEAD","400","14","112","47","378",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","503","1","563","563","563",,,
"latency_perprobe","endpoint","gpt","t","HEAD","500","16","186","204","407",,,
"latency_perprobe","endpoint","deepseek","c","GET","405","52","137","161","194",,,
"latency_perprobe","endpoint","claude","v","HEAD","ERR","114","1421","1","15022",,,
"latency_perprobe","endpoint","gemini","t","HEAD","429","2","34","27","40",,,
"latency_perprobe","endpoint","gpt","v","HEAD","200","50","281","184","1246",,,
"latency_perprobe","endpoint","deepseek","t","GET","ERR","106","1276","1","15011",,,
"latency_perprobe","endpoint","claude","v","GET","401","456","121","101","286",,,
"latency_perprobe","endpoint","gpt","v","GET","302","10","646","631","723",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","401","169","251","166","711",,,
"latency_perprobe","endpoint","deepseek","c","GET","308","2","74","72","77",,,
"latency_perprobe","endpoint","gemini","v","GET","401","293","118","104","221",,,
"latency_perprobe","endpoint","claude","t","HEAD","401","318","179","168","508",,,
"latency_perprobe","endpoint","mistral","v","HEAD","401","131","147","92","484",,,
"latency_perprobe","endpoint","mistral","v","GET","503","8","71","65","90",,,
"latency_perprobe","endpoint","gpt","c","GET","405","29","86","88","143",,,
"latency_perprobe","endpoint","mistral","c","GET","400","27","227","203","512",,,
"latency_perprobe","endpoint","gemini","c","GET","401","311","130","102","277",,,
"latency_perprobe","endpoint","gpt","v","GET","401","453","137","119","288",,,
"latency_perprobe","endpoint","gemini","v","GET","415","5","63","54","103",,,
"latency_perprobe","endpoint","gpt","t","GET","403","27","327","285","549",,,
"latency_perprobe","endpoint","claude","c","HEAD","596","1","612","612","612",,,
