"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"aifacegenerator_v1","nonrag","claude","c","deepai__face_generator","1","91.5","DeepAI Text to Image API","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","27","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","claude","c","huggingface__inference_faces","2","85","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-to-image-task","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:58Z","0.363","True","False","False","False","False","0","GET","401","120","22381","huggingface","unknown","huggingface__unknown"
"aifacegenerator_v1","nonrag","claude","t","deepai-stylegan","1","96","DeepAI Face Generator API","https://deepai.org/machine-learning-model/face-generator","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","31","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","claude","t","api4ai-faceswap","2","94.5","API4.AI Face Swap API","https://api4.ai/apis/face-swap","https://face-swap4.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:56Z","0.345","True","False","False","False","True","0","GET","429","28","-1","rapidapi","unknown","rapidapi__unknown"
"aifacegenerator_v1","nonrag","claude","v","deepai__face_generator","1","89","DeepAI Face Generator & Edit APIs","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","28","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","deepseek","c","deep_ai__text2img","1","81.1","DeepAI Text to Image API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","29","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","deepseek","t","deepai-face-generation","1","97.1","DeepAI Face Generation API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","25","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","deepseek","t","huggingface-face-models","2","95.8","Hugging Face Inference API - Face Models","https://huggingface.co/docs/api-inference/detailed_parameters","https://api-inference.huggingface.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","161","22391","huggingface","unknown","huggingface__unknown"
"aifacegenerator_v1","nonrag","deepseek","v","deepai__face_editor","1","98","DeepAI Face Editor API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","42","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","deepseek","v","huggingface__face_generation","2","97.5","Hugging Face Face Generation Inference API","https://huggingface.co/docs/api-inference/detailed_parameters","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","125","22413","huggingface","unknown","huggingface__unknown"
"aifacegenerator_v1","nonrag","gemini","c","deepai__stable_diffusion","1","95","DeepAI Text To Image API (Stable Diffusion)","https://deepai.org/machine-learning-model/stable-diffusion","https://api.deepai.org","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:57Z","0.363","True","False","False","False","False","0","GET","401","29","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","gemini","c","rapidapi__faceswap","2","85","Face Swap API (via RapidAPI)","https://rapidapi.com/Softbot/api/face-swap5","face-swap5.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0","","rapidapi","unknown","rapidapi__unknown"
"aifacegenerator_v1","nonrag","gemini","t","deepai_text2img","1","95","DeepAI Text to Image API","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:57Z","0.363","True","False","False","False","False","0","GET","401","30","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","gemini","t","huggingface_inference","2","90","Hugging Face Inference API (Text-to-Image)","https://huggingface.co/docs/inference-endpoints/index","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:57Z","0.363","True","False","False","False","False","0","GET","401","126","22407","huggingface","unknown","huggingface__unknown"
"aifacegenerator_v1","nonrag","gemini","v","deepai__image_generation","1","85","DeepAI Image Generation API","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","36","65","deepai","unknown","deepai__unknown"
"aifacegenerator_v1","nonrag","gemini","v","huggingface__inference_imagegen","2","80","Hugging Face Inference API (Image Gen)","https://huggingface.co/docs/api-inference/detailed_parameters#text-to-image-task","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:58Z","0.363","True","False","False","False","False","0","GET","401","156","22381","huggingface","unknown","huggingface__unknown"
