"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"aifacegenerator_v1","nonrag","claude","c","stability_ai__stable_diffusion_face","1","96.5","Stability AI Image Generation API","https://platform.stability.ai/docs/api-reference#tag/Generate/paths/~1v2beta~1stable-image~1generate~1sd3/post","https://api.stability.ai","False","0.25","0.48","False","True","False","False","2025-10-28T21:45:00Z","0.291","True","False","False","False","False","0","GET","404","28","13"
"aifacegenerator_v1","nonrag","claude","c","replicate__face_generation_models","2","95","Replicate AI Face Generation API","https://replicate.com/docs/reference/http","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","59","93"
"aifacegenerator_v1","nonrag","claude","c","openai__dalle_portraits","3","93.5","OpenAI DALL-E Image Generation API","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","133","163"
"aifacegenerator_v1","nonrag","claude","c","deepai__face_generator","4","91.5","DeepAI Text to Image API","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","27","65"
"aifacegenerator_v1","nonrag","claude","c","runwayml__gen2_portraits","5","89","Runway Gen-2 Image Generation API","https://docs.runwayml.com/api/generate","https://api.runwayml.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:45:00Z","0.345","True","False","False","False","True","0","GET","404","112","150"
"aifacegenerator_v1","nonrag","claude","c","getimg_ai__face_generation","6","87","getimg.ai Stable Diffusion API","https://docs.getimg.ai/docs/essential-v1/text-to-image","https://api.getimg.ai","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","88","218"
"aifacegenerator_v1","nonrag","claude","c","huggingface__inference_faces","7","85","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-to-image-task","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:58Z","0.363","True","False","False","False","False","0","GET","401","120","22381"
"aifacegenerator_v1","nonrag","claude","c","leonardo_ai__image_generation","8","82.5","Leonardo.AI Image Generation API","https://docs.leonardo.ai/reference/creategeneration","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","137","91"
"aifacegenerator_v1","nonrag","claude","c","prodia__face_diffusion","9","80","Prodia Stable Diffusion API","https://docs.prodia.com/reference/generate","https://api.prodia.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:59Z","0.345","True","False","False","False","True","0","GET","404","93","0"
"aifacegenerator_v1","nonrag","claude","c","segmind__face_models","10","77.5","Segmind Stable Diffusion API","https://docs.segmind.com/","https://api.segmind.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:45:00Z","0.435","True","False","False","False","True","0","GET","401","276","62"
"aifacegenerator_v1","nonrag","deepseek","c","openai__dall-e_image-generation","1","99.1","OpenAI DALL-E 3 Image Generation","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","166","163"
"aifacegenerator_v1","nonrag","deepseek","c","stability_ai__stable-diffusion_image-generation","2","97.3","Stability AI Stable Diffusion Image Generation","https://platform.stability.ai/docs/api-reference","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","168","105"
"aifacegenerator_v1","nonrag","deepseek","c","midjourney__imagine_api","3","94.8","Midjourney Imagine API","https://midjourney.com/api/","https://api.midjourney.com","False","0.25","0","False","True","False","False","2025-10-28T21:44:58Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"aifacegenerator_v1","nonrag","deepseek","c","leonardo_ai__image-generation","4","91.5","Leonardo.Ai Image Generation","https://docs.leonardo.ai/","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","154","91"
"aifacegenerator_v1","nonrag","deepseek","c","replicate__stable-diffusion_inference","5","88.2","Replicate Stable Diffusion Inference","https://replicate.com/docs/reference/http","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","52","93"
"aifacegenerator_v1","nonrag","deepseek","c","fal_ai__fast-image-generation","6","84.7","Fal.ai Fast Image Generation","https://fal.ai/docs","https://fal.run","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","70","109"
"aifacegenerator_v1","nonrag","deepseek","c","deep_ai__text2img","7","81.1","DeepAI Text to Image API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","29","65"
"aifacegenerator_v1","nonrag","deepseek","c","nightcafe__creator-api","8","77.4","NightCafe Creator API","https://creator.nightcafe.studio/api-docs","https://api.nightcafe.studio","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","404","103","-1"
"aifacegenerator_v1","nonrag","deepseek","c","getimg_ai__text-to-image","9","73.6","GetImg.AI Text to Image","https://getimg.ai/docs","https://api.getimg.ai","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","81","217"
"aifacegenerator_v1","nonrag","deepseek","c","clipdrop__text-to-image","10","69.8","ClipDrop Text to Image by Stability AI","https://clipdrop.co/apis/docs/text-to-image","https://clipdrop-api.co","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","77","23"
"aifacegenerator_v1","nonrag","gemini","c","openai__dall-e_generate","1","100","OpenAI DALL-E API","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","108","163"
"aifacegenerator_v1","nonrag","gemini","c","stabilityai__rest_text-to-image","2","100","Stability AI API","https://platform.stability.ai/docs/api-reference#tag/v1generation/operation/textToImage","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","133","105"
"aifacegenerator_v1","nonrag","gemini","c","deepai__stable_diffusion","3","95","DeepAI Text To Image API (Stable Diffusion)","https://deepai.org/machine-learning-model/stable-diffusion","https://api.deepai.org","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:57Z","0.363","True","False","False","False","False","0","GET","401","29","65"
"aifacegenerator_v1","nonrag","gemini","c","getimgai__text_to_image_v1","4","95","Getimg.ai API","https://docs.getimg.ai/reference/texttoimage","https://api.getimg.ai","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:57Z","0.291","True","False","False","False","False","0","GET","404","108","217"
"aifacegenerator_v1","nonrag","gemini","c","generatedphotos__face_generation_v3","5","90","Generated Photos API","https://generated.photos/docs/api/v3","https://api.generated.photos","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:57Z","0.291","True","False","False","False","False","0","GET","404","131","13"
"aifacegenerator_v1","nonrag","gemini","c","deepai__image_editor","6","85","DeepAI Image Editor API","https://deepai.org/machine-learning-model/image-editor","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","404","34","1144"
"aifacegenerator_v1","nonrag","gemini","c","rapidapi__faceswap","7","85","Face Swap API (via RapidAPI)","https://rapidapi.com/Softbot/api/face-swap5","face-swap5.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","gemini","c","runwayml__text_to_image_v1","8","80","RunwayML Text to Image API","https://learn.runwayml.com/docs/api-reference/text-to-image","https://api.runwayml.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","404","97","151"
"aifacegenerator_v1","nonrag","gemini","c","stabilityai__rest_image-to-image","9","80","Stability AI Image-to-Image API","https://platform.stability.ai/docs/api-reference#tag/v1generation/operation/imageToImage","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","128","105"
"aifacegenerator_v1","nonrag","gemini","c","rapidapi__inpainting_api","10","75","AI Inpainting & Object Removal (RapidAPI)","https://rapidapi.com/cloudlayer/api/ai-inpainting-object-removal","ai-inpainting-object-removal.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"aifacegenerator_v1","nonrag","gpt","c","replicate__predictions_face_gen_or_edit","1","100","Replicate â€” Predictions (Face Generation/Editing via hosted models)","https://replicate.com/docs/reference/http#predictions.create","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","62","93"
"aifacegenerator_v1","nonrag","gpt","c","leonardoai__generations_image","2","98.5","Leonardo.Ai â€” Image Generations","https://docs.leonardo.ai/reference/generations-controller_create-generation","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","139","91"
"aifacegenerator_v1","nonrag","gpt","c","getimg__stable_text_to_image_and_edit","3","97","getimg.ai â€” Text-to-Image & Image Edit","https://docs.getimg.ai/reference/text-to-image","https://api.getimg.ai","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","88","217"
"aifacegenerator_v1","nonrag","gpt","c","leap__images_generate_and_edit","4","95.5","Leap AI â€” Images (Generate & Edit)","https://docs.tryleap.ai/reference/createimage","https://api.tryleap.ai","False","0.25","0.4","False","True","False","False","2025-10-28T21:44:58Z","0.255","True","False","False","False","False","0","GET","530","30","16"
"aifacegenerator_v1","nonrag","gpt","c","stability__v1_generation_text_to_image_and_img2img","5","93","Stability AI â€” REST Generation (text-to-image / image-to-image)","https://platform.stability.ai/docs/api-reference#tag/v1generation","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","132","105"
"aifacegenerator_v1","nonrag","gpt","c","fal__run_image_models","6","91","fal.ai â€” Run Image Models (Faces supported)","https://docs.fal.ai/fal-serverless/reference/run","https://fal.run","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","90","41"
"aifacegenerator_v1","nonrag","gpt","c","edenai__image_generation_and_editing","7","88.5","EdenAI â€” Image Generation & Editing (Unified)","https://docs.edenai.co/reference/image_generation_create","https://api.edenai.run","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","404","202","179"
"aifacegenerator_v1","nonrag","gpt","c","picsart__ai_image_generate_and_edit","8","86","Picsart â€” AI Image (Generate & Edit)","https://docs.picsart.io/reference/ai-image","https://api.picsart.io","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","139","78"
"aifacegenerator_v1","nonrag","gpt","c","clipdrop__reimagine_and_edit","9","83.5","ClipDrop (by Stability) â€” Reimagine / Image Editing","https://clipdrop.co/apis/docs","https://clipdrop-api.co","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:56Z","0.345","True","False","False","False","True","0","GET","404","78","23"
"aifacegenerator_v1","nonrag","gpt","c","deepai__image_generator_and_toons","10","81","DeepAI â€” Image Generator / Style (Faces)","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","29","65"
