"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"aifacegenerator_v1","nonrag","claude","t","generated-photos","1","97.5","Generated Photos API","https://generated.photos/api","https://api.generated.photos","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","117","28"
"aifacegenerator_v1","nonrag","claude","t","deepai-stylegan","2","96","DeepAI Face Generator API","https://deepai.org/machine-learning-model/face-generator","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","31","65"
"aifacegenerator_v1","nonrag","claude","t","api4ai-faceswap","3","94.5","API4.AI Face Swap API","https://api4.ai/apis/face-swap","https://face-swap4.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:56Z","0.345","True","False","False","False","True","0","GET","429","28","-1"
"aifacegenerator_v1","nonrag","claude","t","rosebud-ai","4","92.5","Rosebud AI Face Generation","https://www.rosebud.ai/api-documentation","https://api.rosebud.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","claude","t","luxand-cloud","5","90","Luxand.cloud Face Manipulation API","https://luxand.cloud/documentation/","https://api.luxand.cloud","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","405","100","64"
"aifacegenerator_v1","nonrag","claude","t","faceswapper-api","6","88","Face Swapper API (RapidAPI)","https://rapidapi.com/faceswapper/api/face-swapper","https://face-swapper1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","429","33","-1"
"aifacegenerator_v1","nonrag","claude","t","neural-love","7","85.5","Neural.love Face Generation API","https://neural.love/api","https://api.neural.love","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","405","121","124"
"aifacegenerator_v1","nonrag","claude","t","reface-api","8","83","Reface Face Swap API","https://reface.ai/api","https://api.reface.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"aifacegenerator_v1","nonrag","claude","t","pikazoai-face","9","80.5","Pikazo Face Art API","https://pikazo.ai/api-docs","https://api.pikazo.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","claude","t","deepar-avatar","10","78","DeepAR Avatar API","https://developer.deepar.ai/avatar-api","https://api.deepar.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:57Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","deepseek","t","replicate-face-generation","1","99.7","Replicate Face Generation Models","https://replicate.com/docs","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","62","93"
"aifacegenerator_v1","nonrag","deepseek","t","stability-ai-face","2","98.4","Stability AI Generation API","https://platform.stability.ai/docs/api-reference","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","121","105"
"aifacegenerator_v1","nonrag","deepseek","t","deepai-face-generation","3","97.1","DeepAI Face Generation API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","25","65"
