A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
deepseek,c,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gemini,c,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,c,gemini,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,c,gpt,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,t,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,c,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,t,gemini,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,t,gpt,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,v,gemini,c,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,v,gemini,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
deepseek,v,gpt,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
