"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"97","970",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","454","10"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","204","12.8301886792453",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","999","41.8867924528302",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","983",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"100","1000",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","458","19"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","230","10.492700729927",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1326","40.3284671532847",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1304",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"91","910",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","351","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","216","15.6748911465893",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","905","43.7832607643928",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","20",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","885",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"83","830",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","420","10"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","324","16.6666666666667",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1296","44.4444444444444",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1286",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"94","940",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","366","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","192","15.0234741784038",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","831","43.3489827856025",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","20",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","811",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"100","1000",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","476","10"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","102","5.89595375722543",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","967","37.2639691714836",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","957",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"93","930",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","452","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","290","20.3651685393258",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1002","46.9101123595506",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","8",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","994",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"97","970",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","412","13"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","269","12.688679245283",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1329","41.7924528301887",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1320",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"90","900",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","423","17"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","330","15.4639175257732",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1397","43.6426116838488",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","12",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1385",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"110","1100",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","397","10"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","354","18.1538461538462",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1329","45.4358974358974",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","40",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1279",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"102","1020",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","377","10"
