"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"events_v1","nonrag","claude","c","ticketmaster__discovery_events","1","98","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","26","150"
"events_v1","nonrag","claude","c","eventbrite__event_search","2","96.5","Eventbrite Event Search API","https://www.eventbrite.com/platform/api#/reference/event-search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","120","-1"
"events_v1","nonrag","claude","c","predicthq__events_api","3","94","PredictHQ Events API","https://docs.predicthq.com/api/events/search-events","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","23","25"
"events_v1","nonrag","claude","c","seatgeek__events_search","4","92","SeatGeek Events API","https://platform.seatgeek.com/#events","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","238","222"
"events_v1","nonrag","claude","c","yelp__events_search","5","89.5","Yelp Events API","https://docs.developer.yelp.com/reference/v3_event_search","https://api.yelp.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","400","37","140"
"events_v1","nonrag","claude","c","active__event_search","6","87","Active.com Event Search API","https://developer.active.com/docs/read/Events_API","https://api.amp.active.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:49Z","0.435","True","False","False","False","True","0","GET","403","103","27"
"events_v1","nonrag","claude","c","meetup__events_search","7","84.5","Meetup Events API","https://www.meetup.com/api/guide/","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","82","23"
"events_v1","nonrag","claude","c","skiddle__event_search","8","82","Skiddle Events API","https://www.skiddle.com/api/","https://www.skiddle.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:59:52Z","0.345","True","False","False","False","True","0","GET","400","146","161"
"events_v1","nonrag","claude","c","songkick__events_search","9","79.5","Songkick Events API","https://www.songkick.com/developer","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","173","-1"
"events_v1","nonrag","claude","c","allevents__events_api","10","77","All Events in City API","https://allevents.in/api/","https://allevents.in","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:49Z","0.291","True","False","False","False","False","0","HEAD","404","309","-1"
"events_v1","nonrag","deepseek","c","ticketmaster__discovery_events","1","99.2","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","22","150"
"events_v1","nonrag","deepseek","c","eventbrite__event_search","2","97.5","Eventbrite API Event Search","https://www.eventbrite.com/platform/api","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","134","-1"
"events_v1","nonrag","deepseek","c","seatgeek__events_search","3","94.8","SeatGeek Events API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","215","222"
"events_v1","nonrag","deepseek","c","predict_hq__events","4","91.6","PredictHQ Events API","https://docs.predicthq.com/","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","32","25"
"events_v1","nonrag","deepseek","c","songkick__events","5","88.3","Songkick Concert API","https://www.songkick.com/developer/","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","308","78","0"
"events_v1","nonrag","deepseek","c","eventful__events_search","6","84.9","Eventful Events API","http://api.eventful.com/docs/events/search","http://api.eventful.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:50Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","deepseek","c","meetup__events","7","81.4","Meetup Events API","https://www.meetup.com/api/guide","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","99","23"
"events_v1","nonrag","deepseek","c","google_events__discovery","8","77.8","Google Events Discovery","https://developers.google.com/calendar/api/v3/reference/events/list","https://www.googleapis.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","403","214","-1"
"events_v1","nonrag","deepseek","c","bandsintown__events","9","74.1","Bandsintown Events API","https://rest.bandsintown.com/","https://rest.bandsintown.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:50Z","0.435","True","False","False","False","True","0","GET","401","137","26"
"events_v1","nonrag","deepseek","c","yelp__events_search","10","70.3","Yelp Events API","https://docs.developer.yelp.com/docs/getting-started","https://api.yelp.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","400","37","140"
"events_v1","nonrag","gemini","c","ticketmaster__discovery_v2_events","1","100","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","34","150"
"events_v1","nonrag","gemini","c","eventbrite__v3_event_search","2","100","Eventbrite API","https://www.eventbrite.com/platform/api#/reference/event/search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","254","-1"
"events_v1","nonrag","gemini","c","predicthq__v1_events","3","100","PredictHQ Events API","https://docs.predicthq.com/api/v1/","https://api.predicthq.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","401","29","25"
"events_v1","nonrag","gemini","c","seatgeek__v2_events","4","95","SeatGeek Platform API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","208","222"
"events_v1","nonrag","gemini","c","meetup__find_upcoming_events","5","95","Meetup API","https://www.meetup.com/api/guide/#meetup-api-basics","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","124","23"
"events_v1","nonrag","gemini","c","yelp__fusion_events","6","90","Yelp Fusion API (Events)","https://docs.developer.yelp.com/reference/v3_event_search","https://api.yelp.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","400","35","140"
"events_v1","nonrag","gemini","c","rapidapi-universe__discover_events_v2","7","85","Universe API (via RapidAPI)","https://rapidapi.com/Ticketmaster/api/universe-api","universe-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:52Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","gemini","c","rapidapi-eventseeker__events_v2_1","8","85","EventSeeker API (via RapidAPI)","https://rapidapi.com/EventSeeker/api/eventseeker","eventseeker.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:52Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"events_v1","nonrag","gemini","c","rapidapi-allevents__events_v1","9","85","AllEvents.in API (via RapidAPI)","https://rapidapi.com/logicspark/api/allevents-in","allevents-in.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:52Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","gemini","c","rapidapi-geokeo__events_search_v2","10","80","Geokeo API Events (via RapidAPI)","https://rapidapi.com/geokeo-api/api/geokeo-events","geokeo-events.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:52Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
