"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"events_v1","nonrag","claude","t","ticketmaster-discovery","1","98.5","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","26","150"
"events_v1","nonrag","claude","t","eventbrite-api","2","96.5","Eventbrite API","https://www.eventbrite.com/platform/api","https://www.eventbriteapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:59:50Z","0.345","True","False","False","False","True","0","GET","404","114","-1"
"events_v1","nonrag","claude","t","predicthq-events","3","94","PredictHQ Events API","https://docs.predicthq.com/api/events/search","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","30","25"
"events_v1","nonrag","claude","t","seatgeek-events","4","92","SeatGeek Events API","https://platform.seatgeek.com/#events","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","404","134","73"
"events_v1","nonrag","claude","t","bandsintown-api","5","89.5","Bandsintown API","https://www.bandsintown.com/api/overview","https://rest.bandsintown.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","401","200","26"
"events_v1","nonrag","claude","t","meetup-api","6","87","Meetup API","https://www.meetup.com/api/guide/","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","94","23"
"events_v1","nonrag","claude","t","songkick-api","7","84.5","Songkick API","https://www.songkick.com/developer","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","166","-1"
"events_v1","nonrag","claude","t","active-network","8","82","ACTIVE Network API","https://developer.active.com/docs","https://api.amp.active.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:49Z","0.435","True","False","False","False","True","0","GET","403","109","27"
"events_v1","nonrag","claude","t","yelp-events","9","79.5","Yelp Events API","https://docs.developer.yelp.com/reference/v3_event_search","https://api.yelp.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","400","40","140"
"events_v1","nonrag","claude","t","skiddle-events","10","76","Skiddle Events API","https://www.skiddle.com/api/","https://www.skiddle.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:59:52Z","0.345","True","False","False","False","True","0","GET","400","173","161"
"events_v1","nonrag","deepseek","t","ticketmaster_discovery","1","99.8","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","36","150"
"events_v1","nonrag","deepseek","t","eventbrite_api","2","98.5","Eventbrite API","https://www.eventbrite.com/platform/api","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","125","-1"
"events_v1","nonrag","deepseek","t","seatgeek_api","3","97.2","SeatGeek API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","218","222"
"events_v1","nonrag","deepseek","t","predictit_event_api","4","95.8","PredictIt Event API","https://api.predictit.org/","https://api.predictit.org","False","0.25","0","False","True","False","False","2025-10-28T21:59:52Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","deepseek","t","ticketfly_api","5","94.3","Ticketfly API","https://developer.ticketfly.com/","https://www.ticketfly.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:53Z","0.435","True","False","False","False","False","0","GET","200","193","139077"
"events_v1","nonrag","deepseek","t","eventful_api","6","92.7","Eventful API","http://api.eventful.com/","http://api.eventful.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:50Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","deepseek","t","bandsintown_api","7","90.9","Bandsintown API","https://www.bandsintown.com/api/1.0/overview","https://rest.bandsintown.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","401","152","26"
"events_v1","nonrag","deepseek","t","songkick_api","8","89.2","Songkick API","https://www.songkick.com/developer/","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","163","-1"
"events_v1","nonrag","deepseek","t","meetup_api","9","87.5","Meetup API","https://www.meetup.com/api/","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","88","23"
"events_v1","nonrag","deepseek","t","google_events","10","85.8","Google Events API","https://developers.google.com/calendar/api/v3/reference/events/list","https://www.googleapis.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","403","186","-1"
"events_v1","nonrag","gemini","t","ticketmaster_discovery","1","100","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","34","150"
"events_v1","nonrag","gemini","t","eventbrite_discovery","2","100","Eventbrite API - Event Search","https://www.eventbrite.com/platform/api#/reference/event/search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","142","-1"
"events_v1","nonrag","gemini","t","predicthq_events","3","100","PredictHQ Events API","https://docs.predicthq.com/api/events/","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","40","25"
"events_v1","nonrag","gemini","t","amadeus_points_of_interest","4","99","Amadeus Points of Interest API (incl. Events)","https://developers.amadeus.com/references/points-of-interest-api#get-points-of-interest-by-area","https://test.api.amadeus.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:49Z","0.363","True","False","False","False","False","0","GET","401","175","382"
"events_v1","nonrag","gemini","t","trebble_fm_events_rapidapi","5","98","Trebble FM Events API (RapidAPI)","https://rapidapi.com/trebble-fm/api/trebble-fm-events/","https://trebble-fm-events.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","429","35","-1"
"events_v1","nonrag","gemini","t","allevents_api_rapidapi","6","98","All Events API (RapidAPI)","https://rapidapi.com/logicalgrow/api/allevents-api/","https://allevents-api.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:49Z","0.291","True","False","False","False","False","0","GET","429","54","-1"
"events_v1","nonrag","gemini","t","event_discovery_platform_rapidapi","7","97","Event Discovery Platform API (RapidAPI)","https://rapidapi.com/Sergey_Tsybulev/api/event-discovery-platform-api","event-discovery-platform-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:50Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","gemini","t","seatgeek","8","95","SeatGeek Platform API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","229","222"
