"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"events_v1","nonrag","claude","v","ticketmaster__discovery_api","1","98.5","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","26","90"
"events_v1","nonrag","claude","v","predicthq__events_api","2","96","PredictHQ Events API","https://docs.predicthq.com/api/events/search-events","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","25","25"
"events_v1","nonrag","claude","v","eventbrite__search_api","3","93.5","Eventbrite Event Search API","https://www.eventbrite.com/platform/api#/reference/event-search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","114","-1"
"events_v1","nonrag","claude","v","seatgeek__events_api","4","90","SeatGeek Events API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","218","222"
"events_v1","nonrag","claude","v","bandsintown__events_api","5","87.5","Bandsintown Events API","https://www.artists.bandsintown.com/support/api-installation","https://rest.bandsintown.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","403","136","42"
"events_v1","nonrag","claude","v","yelp__events_search","6","84","Yelp Events Search API","https://docs.developer.yelp.com/reference/v3_event_search","https://api.yelp.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:53Z","0.291","True","False","False","False","False","0","GET","400","35","140"
"events_v1","nonrag","claude","v","openaq__events_discovery","7","80.5","Meetup.com GraphQL API","https://www.meetup.com/meetup_api/","https://api.meetup.com","False","0.25","0.16","False","True","False","False","2025-10-28T21:59:51Z","0.147","True","False","False","False","False","0","GET","503","82","245"
"events_v1","nonrag","claude","v","active_com__events","8","77","Active.com Events API","https://developer.active.com/docs/read/Events_API","https://api.amp.active.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:49Z","0.435","True","False","False","False","True","0","GET","403","110","27"
"events_v1","nonrag","claude","v","songkick__events_api","9","73.5","Songkick Events API","https://www.songkick.com/developer","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","175","-1"
"events_v1","nonrag","claude","v","allevents__api","10","70","AllEvents.in API","https://allevents.in/api/documentation","https://allevents.in","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:49Z","0.291","True","False","False","False","False","0","HEAD","404","354","-1"
"events_v1","nonrag","deepseek","v","ticketmaster__discovery","1","100","Ticketmaster Discovery API","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","32","150"
"events_v1","nonrag","deepseek","v","eventbrite__event_search","2","99.5","Eventbrite Event Search API","https://www.eventbrite.com/platform/api#/reference/event-search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","125","-1"
"events_v1","nonrag","deepseek","v","seatgeek__events","3","99","SeatGeek Events API","https://platform.seatgeek.com/","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","223","222"
"events_v1","nonrag","deepseek","v","predictit__events","4","98.5","PredictIt Event Discovery API","https://developer.predicthq.com/","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","39","25"
"events_v1","nonrag","deepseek","v","songkick__events","5","98","Songkick Concert API","https://www.songkick.com/developer/","https://api.songkick.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","308","61","0"
"events_v1","nonrag","deepseek","v","bandsintown__events","6","97.5","Bandsintown Events API","https://rest.bandsintown.com/","https://rest.bandsintown.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:50Z","0.435","True","False","False","False","True","0","GET","401","124","26"
"events_v1","nonrag","deepseek","v","eventful__events","7","97","Eventful Events API","http://api.eventful.com/","http://api.eventful.com","False","0.25","0","False","True","False","False","2025-10-28T21:59:50Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"events_v1","nonrag","deepseek","v","meetup__events","8","96.5","Meetup Events API","https://www.meetup.com/api/guide/","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","230","23"
"events_v1","nonrag","deepseek","v","google_events__discovery","9","96","Google Events Discovery API","https://developers.google.com/calendar/api/v3/reference/events/list","https://www.googleapis.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:50Z","0.363","True","False","False","False","False","0","GET","403","186","-1"
"events_v1","nonrag","deepseek","v","yelp__events","10","95.5","Yelp Events API","https://www.yelp.com/developers/documentation/v3/event_search","https://api.yelp.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:59:53Z","0.345","True","False","False","False","True","0","GET","400","59","140"
"events_v1","nonrag","gemini","v","ticketmaster__discovery_events","1","100","Ticketmaster Discovery API Events","https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/","https://app.ticketmaster.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:53Z","0.363","True","False","False","False","False","0","GET","401","31","90"
"events_v1","nonrag","gemini","v","eventbrite__event_search","2","100","Eventbrite API Event Search","https://www.eventbrite.com/platform/api#/reference/event-search","https://www.eventbriteapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:50Z","0.291","True","False","False","False","False","0","GET","404","136","-1"
"events_v1","nonrag","gemini","v","predicthq__events","3","100","PredictHQ Events API","https://docs.predicthq.com/api/events/","https://api.predicthq.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:52Z","0.435","True","False","False","False","True","0","GET","401","32","25"
"events_v1","nonrag","gemini","v","seatgeek__events","4","100","SeatGeek Platform API Events","https://platform.seatgeek.com/#events","https://api.seatgeek.com","False","0.25","0.64","False","True","False","False","2025-10-28T21:59:52Z","0.363","True","False","False","False","False","0","GET","403","212","222"
"events_v1","nonrag","gemini","v","meetup__find_events","5","100","Meetup API Find Events","https://www.meetup.com/api/docs/#find-upcoming-events","https://api.meetup.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:59:51Z","0.291","True","False","False","False","False","0","GET","404","83","23"
"events_v1","nonrag","gemini","v","bandsintown__events","6","100","Bandsintown API Events","https://artists.bandsintown.com/support/public-api","https://rest.bandsintown.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:59:50Z","0.435","True","False","False","False","True","0","GET","403","171","42"
