A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,claude,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,deepseek,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,claude,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,deepseek,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,deepseek,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,v,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,deepseek,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,v,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
