"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"97","970",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","461","12"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","204","12.6081582200247",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1013","41.7387721466831",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","997",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"100","1000",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","466","13"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","230","10.3324348607367",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1343","40.2216232404912",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1321",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"91","910",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","354","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","222","15.7670454545455",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","926","43.844696969697",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","902",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"83","830",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","430","15"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","324","16.3967611336032",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1312","44.2645074224022",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1302",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"94","940",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","370","11"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","194","14.8091603053435",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","849","43.206106870229",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","20",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","829",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"100","1000",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","481","11"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","104","5.93607305936073",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","980","37.2907153729072",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","970",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"93","930",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","460","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","291","19.8228882833787",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1025","46.5485921889192",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","8",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1017",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"97","970",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","418","17"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","269","12.4192059095106",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1352","41.6128039396737",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1343",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"90","900",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","431","11"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","333","15.3739612188366",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1416","43.5826408125577",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","14",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1402",,,,,,
