"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"flighttracker_v1","nonrag","claude","c","aerodatabox__flight_positions","1","78","AeroDataBox Flight Positions API","https://www.aerodatabox.com/","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","29","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","claude","t","aerodatabox","1","95","AeroDataBox Flight API","https://rapidapi.com/aedbx-aedbx/api/aerodatabox","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","25","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","claude","v","adsbexchange__v2","1","79.5","ADS-B Exchange RapidAPI v2","https://rapidapi.com/adsbx/api/adsbexchange-com1","https://adsbexchange-com1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:08Z","0.291","True","False","False","False","False","0","GET","429","30","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","deepseek","c","aerodatabox__flight_status","1","97.5","AeroDataBox Flight Status API","https://www.aerodatabox.com/aerodatabox-api/flight-status","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","26","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","deepseek","t","aerodatabox-live","1","99.8","AeroDataBox Live Flight Status","https://aerodatabox.com/docs/flight-status-api/live-flights","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","34","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","deepseek","v","aerodatabox__flight_status","1","98","AeroDataBox Flight Status API","https://www.aerodatabox.com/docs/flight-status-and-track-api/overview","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","34","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gemini","c","adslabs__realtime","1","95","ADS-B Exchange API (ADSBx)","https://www.adsbexchange.com/data-api-v2/","https://adsbexchange-com1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:09Z","0.291","True","False","False","False","False","0","GET","429","32","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gemini","t","aerodatabox_rapidapi","1","100","AeroDataBox Flight Tracking (RapidAPI)","https://rapidapi.com/aedbx-aedbx/api/aerodatabox","https://aerodatabox.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:09Z","0.291","True","False","False","False","False","0","GET","429","36","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gemini","v","adsbexchange__aircraft","1","100","ADS-B Exchange Aircraft API","https://www.adsbexchange.com/data/api-v2/","https://adsbexchange-com1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:08Z","0.291","True","False","False","False","False","0","GET","429","31","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gpt","c","aerodatabox__flight_number_live","1","95.5","AeroDataBox â€” Flight by Number (with Live Position)","https://rapidapi.com/aedbx-aedbx/api/aerodatabox/","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","34","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gpt","t","aerodatabox_status","1","97.8","AeroDataBox â€” Flight Status (with live position)","https://doc.aerodatabox.com/","https://aerodatabox.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:09Z","0.291","True","False","False","False","False","0","GET","429","42","-1","rapidapi","unknown","rapidapi__unknown"
"flighttracker_v1","nonrag","gpt","v","aerodatabox__live","1","91.4","AeroDataBox â€” Aircraft Live Position & Flight Info","https://rapidapi.com/aedbx-aedbx/api/aerodatabox","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","26","-1","rapidapi","unknown","rapidapi__unknown"
