"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"flighttracker_v1","nonrag","claude","c","flightaware__flight_info_position","1","97.5","FlightAware AeroAPI Flight Tracking","https://flightaware.com/aeroapi/portal/documentation","https://aeroapi.flightaware.com/aeroapi","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:10Z","0.435","True","False","False","False","True","0","GET","401","61","129"
"flighttracker_v1","nonrag","claude","c","aviationstack__flights_real_time","2","96","Aviationstack Real-Time Flight Data API","https://aviationstack.com/documentation","https://api.aviationstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:09Z","0.435","True","False","False","False","True","0","GET","401","196","-1"
"flighttracker_v1","nonrag","claude","c","flightradar24__flight_data","3","94.5","Flightradar24 Live Flight Tracker API","https://www.flightradar24.com/premium/api","https://data-live.flightradar24.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","78","42"
"flighttracker_v1","nonrag","claude","c","opensky_network__flights_states","4","92.5","OpenSky Network States API","https://openskynetwork.github.io/opensky-api/rest.html","https://opensky-network.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:11Z","0.435","True","False","False","False","False","0","GET","200","1675","1229144"
"flighttracker_v1","nonrag","claude","c","airlabs__flights_track","5","90","AirLabs Flight Tracker API","https://airlabs.co/docs/flights","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","287","273"
"flighttracker_v1","nonrag","claude","c","flightlabs__real_time_flights","6","88","FlightLabs Real-Time Flight Status API","https://flightlabs.io/documentation","https://app.goflightlabs.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:10Z","0.435","True","False","False","False","True","0","GET","401","149","-1"
"flighttracker_v1","nonrag","claude","c","aviation_edge__flights_real_time","7","85.5","Aviation Edge Real-Time Flights API","https://aviation-edge.com/developers/","https://aviation-edge.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","516","46"
"flighttracker_v1","nonrag","claude","c","flightstats__flight_track","8","83","Cirium FlightStats Flight Track API","https://developer.flightstats.com/api-docs/flightstatus/v2","https://api.flightstats.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","93","151"
"flighttracker_v1","nonrag","claude","c","radarbox__live_flight_data","9","80.5","RadarBox Live Flight Tracker API","https://www.radarbox.com/api","https://api.radarbox.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:12Z","0.291","True","False","False","False","False","0","GET","405","126","-1"
"flighttracker_v1","nonrag","claude","c","aerodatabox__flight_positions","10","78","AeroDataBox Flight Positions API","https://www.aerodatabox.com/","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","29","-1"
"flighttracker_v1","nonrag","deepseek","c","aviationstack__flight_tracking","1","99.2","Aviationstack Flight Tracking","https://aviationstack.com/documentation","https://api.aviationstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:09Z","0.435","True","False","False","False","True","0","GET","401","356","-1"
"flighttracker_v1","nonrag","deepseek","c","aerodatabox__flight_status","2","97.5","AeroDataBox Flight Status API","https://www.aerodatabox.com/aerodatabox-api/flight-status","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","26","-1"
"flighttracker_v1","nonrag","deepseek","c","opensky__track","3","95.1","OpenSky Network API","https://opensky-network.org/apidoc/rest.html","https://opensky-network.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:11Z","0.435","True","False","False","False","False","0","GET","200","1460","1215055"
"flighttracker_v1","nonrag","deepseek","c","flightapi__flight_tracking","4","92.3","FlightAPI Flight Tracking","https://flightapi.io/docs","https://api.flightapi.io","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:10Z","0.345","True","False","False","False","True","0","GET","404","124","-1"
"flighttracker_v1","nonrag","deepseek","c","airlabs__flight_tracking","5","89.4","AirLabs Flight Tracking API","https://airlabs.co/docs/flight/","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","265","273"
"flighttracker_v1","nonrag","deepseek","c","flightstats__flight_status","6","86.2","FlightStats Flight Status API","https://developer.flightstats.com/api-docs/flightstatus/v2/flightstatus","https://api.flightstats.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","101","151"
"flighttracker_v1","nonrag","deepseek","c","adsbexchange__api","7","82.8","ADSBexchange.com API","https://www.adsbexchange.com/data/","https://adsbexchange.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:08Z","0.435","True","False","False","False","False","0","GET","200","41","11"
"flighttracker_v1","nonrag","deepseek","c","flightaware__flight_info","8","79.3","FlightAware Firehose API","https://flightaware.com/commercial/firehose/","https://firehose.flightaware.com","False","0.25","0","False","True","False","False","2025-10-28T22:13:10Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"flighttracker_v1","nonrag","deepseek","c","planefinder__track","9","75.7","PlaneFinder Flight Tracking","https://planefinder.net/api/documentation","https://api.planefinder.net","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:12Z","0.435","True","False","False","False","True","0","GET","403","130","-1"
"flighttracker_v1","nonrag","deepseek","c","radarbox__flight_tracking","10","72","RadarBox Flight Tracking API","https://www.radarbox.com/api/documentation","https://api.radarbox.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:12Z","0.345","True","False","False","False","True","0","GET","404","133","-1"
"flighttracker_v1","nonrag","gemini","c","flightaware__aeroapi_flights_position","1","100","FlightAware AeroAPI","https://docs.flightaware.com/aeroapi/rest/flights","https://aeroapi.flightaware.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:13:10Z","0.363","True","False","False","False","False","0","GET","401","128","129"
"flighttracker_v1","nonrag","gemini","c","aviationstack__flights_realtime","2","100","AviationStack API","https://aviationstack.com/documentation#real_time_flights","https://api.aviationstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:13:09Z","0.363","True","False","False","False","False","0","GET","401","167","-1"
