"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"flighttracker_v1","nonrag","claude","t","aviationstack","1","98","Aviationstack Flight Tracking API","https://aviationstack.com/documentation","https://api.aviationstack.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","316","193"
"flighttracker_v1","nonrag","claude","t","flightlabs","2","96.5","FlightLabs Aviation API","https://flightlabs.io/documentation","https://app.goflightlabs.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:10Z","0.435","True","False","False","False","True","0","GET","401","143","-1"
"flighttracker_v1","nonrag","claude","t","aerodatabox","3","95","AeroDataBox Flight API","https://rapidapi.com/aedbx-aedbx/api/aerodatabox","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","25","-1"
"flighttracker_v1","nonrag","claude","t","flightradar24","4","93.5","Flightradar24 Data API","https://www.flightradar24.com/premium/","https://data-live.flightradar24.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","84","42"
"flighttracker_v1","nonrag","claude","t","opensky-network","5","91","OpenSky Network API","https://openskynetwork.github.io/opensky-api/rest.html","https://opensky-network.org","False","0.25","1","False","True","False","False","2025-10-28T22:13:11Z","0.525","True","False","False","False","True","0","GET","200","4719","1224595"
"flighttracker_v1","nonrag","claude","t","airlabs","6","88.5","AirLabs Flight Tracker API","https://airlabs.co/docs/flights","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","343","273"
"flighttracker_v1","nonrag","claude","t","aviation-edge","7","86","Aviation Edge Flight Tracker API","https://aviation-edge.com/developers/","https://aviation-edge.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","538","46"
"flighttracker_v1","nonrag","claude","t","flightaware-firehose","8","83.5","FlightAware Firehose API","https://flightaware.com/commercial/firehose/","https://firehose.flightaware.com","False","0.25","0","False","True","False","False","2025-10-28T22:13:10Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"flighttracker_v1","nonrag","claude","t","adsb-exchange","9","81","ADS-B Exchange API","https://www.adsbexchange.com/data/","https://adsbexchange.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:08Z","0.435","True","False","False","False","False","0","GET","200","41","11"
"flighttracker_v1","nonrag","claude","t","rapidapi-flight-radar","10","78.5","Flight Radar (RapidAPI)","https://rapidapi.com/apidojo/api/flight-radar1","https://flight-radar1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:12Z","0.291","True","False","False","False","False","0","GET","429","28","-1"
"flighttracker_v1","nonrag","deepseek","t","aerodatabox-live","1","99.8","AeroDataBox Live Flight Status","https://aerodatabox.com/docs/flight-status-api/live-flights","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","34","-1"
"flighttracker_v1","nonrag","deepseek","t","aviationstack","2","98.5","Aviationstack Live Flights","https://aviationstack.com/documentation","https://api.aviationstack.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","327","193"
"flighttracker_v1","nonrag","deepseek","t","airlabs-live","3","97.2","AirLabs Live Flights","https://airlabs.co/docs/flights","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","273","273"
"flighttracker_v1","nonrag","deepseek","t","flightapi-io","4","95.8","FlightAPI.io Live Tracking","https://flightapi.io/docs","https://api.flightapi.io","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:10Z","0.345","True","False","False","False","True","0","GET","404","125","-1"
"flighttracker_v1","nonrag","deepseek","t","aerisflight","5","94.3","AerisFlight API","https://www.aerisflight.com/api/documentation","https://api.aerisflight.com","False","0.25","0","False","True","False","False","2025-10-28T22:13:09Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"flighttracker_v1","nonrag","deepseek","t","flightstats","6","92.7","FlightStats Flight Status & Tracking","https://developer.flightstats.com/api-docs/flightstatus/v2/flightstatus","https://api.flightstats.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","101","151"
"flighttracker_v1","nonrag","deepseek","t","opensky-network","7","90.9","OpenSky Network Live API","https://opensky-network.org/apidoc/rest.html","https://opensky-network.org","False","0.25","1","False","True","False","False","2025-10-28T22:13:11Z","0.525","True","False","False","False","True","0","GET","200","1312","1213981"
"flighttracker_v1","nonrag","deepseek","t","flightaware","8","89.2","FlightAware Firehose API","https://flightaware.com/commercial/firehose/","https://firehose.flightaware.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:10Z","0.435","True","False","False","False","True","0","OPTIONS","ERR","0",
"flighttracker_v1","nonrag","deepseek","t","adsbexchange","9","87.5","ADSBexchange.com API","https://www.adsbexchange.com/data/","https://adsbexchange.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:08Z","0.525","True","False","False","False","True","0","GET","200","40","11"
"flighttracker_v1","nonrag","deepseek","t","planefinder","10","85.8","PlaneFinder Live Flight Data","https://planefinder.net/api/documentation","https://api.planefinder.net","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:11Z","0.435","True","False","False","False","True","0","GET","403","115","-1"
"flighttracker_v1","nonrag","gemini","t","aviationstack","1","100","AviationStack API","https://aviationstack.com/documentation#real_time_flights","https://api.aviationstack.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","216","193"
"flighttracker_v1","nonrag","gemini","t","airlabs","2","100","AirLabs Flights API","https://airlabs.co/docs/api/flights","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","283","273"
"flighttracker_v1","nonrag","gemini","t","flightaware_aeroapi","3","100","FlightAware AeroAPI","https://docs.aeroapi.com/reference/getflightidposition","https://aeroapi.flightaware.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:13:10Z","0.363","True","False","False","False","False","0","GET","401","64","129"
