"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"flighttracker_v1","nonrag","claude","v","flightaware__firehose","1","97.5","FlightAware AeroAPI (Firehose)","https://www.flightaware.com/commercial/aeroapi/documentation.rvt","https://aeroapi.flightaware.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:10Z","0.435","True","False","False","False","True","0","GET","401","99","129"
"flighttracker_v1","nonrag","claude","v","aviationstack__real_time","2","96","Aviationstack Real-Time Flight Tracking","https://aviationstack.com/documentation","https://api.aviationstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:09Z","0.435","True","False","False","False","True","0","GET","401","409","-1"
"flighttracker_v1","nonrag","claude","v","opensky_network__states","3","94.5","OpenSky Network Live States API","https://openskynetwork.github.io/opensky-api/rest.html","https://opensky-network.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:13:11Z","0.435","True","False","False","False","False","0","GET","200","588","33"
"flighttracker_v1","nonrag","claude","v","flightradar24__data_api","4","92","Flightradar24 Data Feed API","https://www.flightradar24.com/premium/","https://data-live.flightradar24.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","73","42"
"flighttracker_v1","nonrag","claude","v","airlabs__flights","5","89.5","AirLabs Flight Tracker API","https://airlabs.co/docs/flights","https://airlabs.co","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","287","276"
"flighttracker_v1","nonrag","claude","v","radarbox__flight_positions","6","86.5","RadarBox Flight Positions API","https://www.radarbox.com/api","https://api.radarbox.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:12Z","0.345","True","False","False","False","True","0","GET","400","141","-1"
"flighttracker_v1","nonrag","claude","v","aviation_edge__flights","7","83","Aviation Edge Real-Time Flights","https://aviation-edge.com/developers/","https://aviation-edge.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:09Z","0.525","True","False","False","False","True","0","GET","200","633","44"
"flighttracker_v1","nonrag","claude","v","adsbexchange__v2","8","79.5","ADS-B Exchange RapidAPI v2","https://rapidapi.com/adsbx/api/adsbexchange-com1","https://adsbexchange-com1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:13:08Z","0.291","True","False","False","False","False","0","GET","429","30","-1"
"flighttracker_v1","nonrag","claude","v","flight_data_feed__live","9","76","FlightStats by Cirium Flight Status","https://developer.flightstats.com/api-docs/flightstatus/v2","https://api.flightstats.com","False","0.25","1","False","True","False","False","2025-10-28T22:13:10Z","0.525","True","False","False","False","True","0","GET","200","89","151"
"flighttracker_v1","nonrag","claude","v","aerodatabox__flights","10","72.5","AeroDataBox Flight Tracking","https://rapidapi.com/aerodatabox/api/aerodatabox","https://aerodatabox.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:13:09Z","0.345","True","False","False","False","True","0","GET","429","25","-1"
