A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,c,10,0.9,0.01463588514,-0.8215686274509805,-0.6592592592592593,0.03361111111111111,0.05263157894736842
claude,c,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,v,10,0.9,0.022227899425714286,-0.7745098039215688,-0.6148148148148148,0.047896825396825396,0.05263157894736842
claude,c,gpt,c,10,0.9,0.01463588514,-0.8078431372549021,-0.6444444444444445,0.03361111111111111,0.05263157894736842
claude,c,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,v,10,0.9,0.008657173890000001,-0.8372549019607844,-0.6740740740740742,0.021111111111111112,0.05263157894736842
claude,c,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,v,10,0.9,0.25764429885142853,-0.42711864406779654,-0.36,0.34079365079365076,0.1111111111111111
claude,t,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,t,10,0.9,0.2835555770571428,-0.16666666666666669,-0.11578947368421054,0.4514682539682539,0.3333333333333333
claude,t,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,t,10,0.9,0.058171503741428564,-0.7289473684210528,-0.573913043478261,0.12246031746031745,0.17647058823529413
claude,t,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,t,10,0.9,0.2806077988514285,-0.33672316384180784,-0.296,0.37746031746031744,0.1111111111111111
claude,t,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
