"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"105","1050",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","470","17"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","205","12.3345367027677",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1036","41.5563578018452",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1020",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"106","1060",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","475","17"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","230","10.1321585903084",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1365","40.0881057268723",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1343",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"96","960",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","363","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","222","15.3952843273232",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","943","43.5968562182154",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","919",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"93","930",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","439","18"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","324","16.0237388724036",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1335","44.0158259149357",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1325",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"98","980",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","379","18"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","194","14.3491124260355",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","870","42.8994082840237",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","20",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","850",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"104","1040",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","490","17"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","104","5.81005586592179",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","999","37.2067039106145",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","989",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"102","1020",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","467","17"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","291","19.3484042553191",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1043","46.2322695035461",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","8",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1035",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"107","1070",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","428","19"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","269","12.0627802690583",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1384","41.3751868460389",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
