"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"geocoding_v1","nonrag","claude","c","google__maps_geocoding","1","98.5","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com/maps/api","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","22","166","google","unknown","google__unknown"
"geocoding_v1","nonrag","claude","c","azure__maps_search","2","83","Azure Maps Search API","https://docs.microsoft.com/en-us/rest/api/maps/search","https://atlas.microsoft.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","True","0","GET","401","25","-1","azure","unknown","azure__unknown"
"geocoding_v1","nonrag","claude","t","google-maps-geocoding","1","99","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","25","166","google","unknown","google__unknown"
"geocoding_v1","nonrag","claude","t","azure-maps-search","2","85","Azure Maps Search API","https://learn.microsoft.com/en-us/rest/api/maps/search/get-search-address","https://atlas.microsoft.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","True","0","GET","401","23","-1","azure","unknown","azure__unknown"
"geocoding_v1","nonrag","claude","v","google_maps_geocoding","1","99","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com/maps/api","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","29","166","google","unknown","google__unknown"
"geocoding_v1","nonrag","claude","v","azure_maps_search","2","91.8","Azure Maps Search - Address/Reverse Address","https://learn.microsoft.com/en-us/rest/api/maps/search/","https://atlas.microsoft.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","True","0","GET","401","25","-1","azure","unknown","azure__unknown"
"geocoding_v1","nonrag","deepseek","c","google_maps__geocoding_forward","1","99.5","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","51","166","google","unknown","google__unknown"
"geocoding_v1","nonrag","deepseek","c","bing_maps__locations_query","2","86.1","Bing Maps Locations API","https://docs.microsoft.com/en-us/bingmaps/rest-services/locations/","https://dev.virtualearth.net","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:39Z","0.363","True","False","False","False","False","0","GET","401","26","654","azure","unknown","azure__unknown"
"geocoding_v1","nonrag","deepseek","t","google-geocoding","1","99.8","Google Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","51","166","google","unknown","google__unknown"
"geocoding_v1","nonrag","deepseek","t","bing-maps","2","89.2","Bing Maps Locations API","https://learn.microsoft.com/en-us/bingmaps/rest-services/locations/","https://dev.virtualearth.net","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:39Z","0.363","True","False","False","False","False","0","GET","401","23","654","azure","unknown","azure__unknown"
