"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"geocoding_v1","nonrag","claude","v","google_maps_geocoding","1","99","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com/maps/api","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","29","166"
"geocoding_v1","nonrag","claude","v","mapbox_geocoding","2","96.5","Mapbox Geocoding API","https://docs.mapbox.com/api/search/geocoding/","https://api.mapbox.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","40","39"
"geocoding_v1","nonrag","claude","v","here_geocoding","3","94.2","HERE Geocoding & Search API","https://developer.here.com/documentation/geocoding-search-api/","https://geocode.search.hereapi.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","28","68"
"geocoding_v1","nonrag","claude","v","azure_maps_search","4","91.8","Azure Maps Search - Address/Reverse Address","https://learn.microsoft.com/en-us/rest/api/maps/search/","https://atlas.microsoft.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","True","0","GET","401","25","-1"
"geocoding_v1","nonrag","claude","v","opencage_geocoding","5","88.3","OpenCage Geocoding API","https://opencagedata.com/api","https://api.opencagedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","True","0","GET","401","206","-1"
"geocoding_v1","nonrag","claude","v","tomtom_search","6","84.7","TomTom Search API - Geocoding","https://developer.tomtom.com/search-api/documentation/geocoding-service/","https://api.tomtom.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:42Z","0.435","True","False","False","False","True","0","GET","403","30","94"
"geocoding_v1","nonrag","claude","v","locationiq_geocoding","7","80.5","LocationIQ Geocoding API","https://locationiq.com/docs","https://us1.locationiq.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","105","-1"
"geocoding_v1","nonrag","claude","v","positionstack_forward","8","76.2","Positionstack Forward & Reverse Geocoding API","https://positionstack.com/documentation","https://api.positionstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:41Z","0.363","True","False","False","False","False","0","GET","401","391","-1"
"geocoding_v1","nonrag","claude","v","geocodio_api","9","71.8","Geocod.io Geocoding API","https://www.geocod.io/docs/","https://api.geocod.io","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","403","484","-1"
"geocoding_v1","nonrag","claude","v","geoapify_geocoding","10","67.4","Geoapify Geocoding API","https://www.geoapify.com/geocoding-api","https://api.geoapify.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:39Z","0.363","True","False","False","False","False","0","GET","401","215","68"
"geocoding_v1","nonrag","deepseek","v","google__geocoding_api","1","100","Google Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","26","166"
"geocoding_v1","nonrag","deepseek","v","mapbox__geocoding","2","99.5","Mapbox Geocoding API","https://docs.mapbox.com/api/search/geocoding/","https://api.mapbox.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","32","39"
"geocoding_v1","nonrag","deepseek","v","here__geocoding","3","99","HERE Geocoding and Search API","https://developer.here.com/documentation/geocoding-search-api/","https://geocode.search.hereapi.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","404","27","82"
"geocoding_v1","nonrag","deepseek","v","tomtom__search","4","98.5","TomTom Search API","https://developer.tomtom.com/search-api/documentation/geocoding-service/geocode","https://api.tomtom.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:42Z","0.435","True","False","False","False","True","0","GET","403","29","94"
"geocoding_v1","nonrag","deepseek","v","opencage__geocoding","5","98","OpenCage Geocoding API","https://opencagedata.com/api","https://api.opencagedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","True","0","GET","401","202","-1"
"geocoding_v1","nonrag","deepseek","v","locationiq__geocoding","6","97.5","LocationIQ Geocoding API","https://locationiq.com/docs","https://us1.locationiq.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","404","103","-1"
"geocoding_v1","nonrag","deepseek","v","bingmaps__locations","7","97","Bing Maps Locations API","https://docs.microsoft.com/en-us/bingmaps/rest-services/locations/","https://dev.virtualearth.net","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:39Z","0.363","True","False","False","False","False","0","GET","401","47","654"
"geocoding_v1","nonrag","deepseek","v","mapquest__geocoding","8","96.5","MapQuest Geocoding API","https://developer.mapquest.com/documentation/geocoding-api/","https://www.mapquestapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","404","30","103"
"geocoding_v1","nonrag","deepseek","v","geocodio__geocoding","9","96","Geocodio Geocoding API","https://www.geocod.io/docs/","https://api.geocod.io","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","403","518","-1"
"geocoding_v1","nonrag","deepseek","v","smartystreets__us_geocoding","10","95.5","SmartyStreets US Geocoding API","https://www.smarty.com/docs/cloud/us-geocoding-api","https://us-geocoding.api.smarty.com","False","0.25","0","False","True","False","False","2025-10-28T22:17:42Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"geocoding_v1","nonrag","gemini","v","google__geocoding","1","100","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","404","26","1565"
"geocoding_v1","nonrag","gemini","v","opencage__geocoding","2","100","OpenCage Geocoding API","https://opencagedata.com/api","https://api.opencagedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","True","0","GET","404","182","150"
"geocoding_v1","nonrag","gemini","v","mapbox__geocoding","3","95","Mapbox Geocoding API","https://docs.mapbox.com/api/search/geocoding/","https://api.mapbox.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","29","39"
"geocoding_v1","nonrag","gemini","v","locationiq__geocoding","4","95","LocationIQ Geocoding API","https://locationiq.com/docs","https://us1.locationiq.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","404","119","-1"
"geocoding_v1","nonrag","gemini","v","geoapify__geocoding","5","95","Geoapify Geocoding API","https://apidocs.geoapify.com/docs/geocoding/forward-geocoding/","https://api.geoapify.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","401","209","68"
"geocoding_v1","nonrag","gemini","v","here__geocoding","6","95","HERE Geocoding and Search API","https://developer.here.com/documentation/geocoding-search-api/","https://geocode.search.hereapi.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","22","68"
"geocoding_v1","nonrag","gemini","v","positionstack__geocoding","7","95","PositionStack API","https://positionstack.com/documentation","https://api.positionstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","False","0","GET","200","165","194"
"geocoding_v1","nonrag","gemini","v","tomtom__geocoding","8","95","TomTom Search API (Geocoding)","https://developer.tomtom.com/search-api/documentation/geocoding/geocoding","https://api.tomtom.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:42Z","0.435","True","False","False","False","True","0","GET","404","37","103"
"geocoding_v1","nonrag","gemini","v","radar__geocoding","9","95","Radar Geocoding API","https://radar.com/documentation/api#geocoding","https://api.radar.io","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:41Z","0.363","True","False","False","False","False","0","GET","401","110","77"
"geocoding_v1","nonrag","gemini","v","maptiler__geocoding","10","90","MapTiler Geocoding API","https://docs.maptiler.com/cloud/api/geocoding/","https://api.maptiler.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","403","119","75"
"geocoding_v1","nonrag","gpt","v","google__geocoding","1","99.9","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/requests-geocoding","https://maps.googleapis.com/maps/api/geocode","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","400","23","123"
"geocoding_v1","nonrag","gpt","v","opencage__geocoding","2","99.5","OpenCage Geocoding API","https://opencagedata.com/api","https://api.opencagedata.com/geocode/v1","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","True","0","GET","400","209","-1"
"geocoding_v1","nonrag","gpt","v","mapquest__geocoding","3","98.7","MapQuest Geocoding API","https://developer.mapquest.com/documentation/api/geocoding/address/post.html","https://www.mapquestapi.com/geocoding/v1","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","401","27","50"
"geocoding_v1","nonrag","gpt","v","bing__locations","4","97.2","Bing Maps Locations API (Geocoding)","https://learn.microsoft.com/en-us/bingmaps/rest-services/locations/","https://dev.virtualearth.net/REST/v1/Locations","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","True","0","GET","401","25","659"
"geocoding_v1","nonrag","gpt","v","positionstack__geocoding","5","95","positionstack Geocoding API","https://positionstack.com/documentation","https://api.positionstack.com/v1","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","False","0","GET","401","188","-1"
"geocoding_v1","nonrag","gpt","v","locationiq__geocoding","6","93.4","LocationIQ Geocoding & Reverse API","https://docs.locationiq.com/reference/reverse-api","https://us1.locationiq.com/v1","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","102","-1"
"geocoding_v1","nonrag","gpt","v","tomtom__geocoding","7","91.8","TomTom Geocoding API","https://developer.tomtom.com/geocoding-api/documentation/geocode","https://api.tomtom.com/search/2","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:42Z","0.435","True","False","False","False","True","0","GET","403","28","94"
"geocoding_v1","nonrag","gpt","v","here__geocoding","8","90.1","HERE Geocoding & Search API","https://www.here.com/docs/bundle/geocoder-api-developer-guide/page/topics/resource-type-response-geocode.html","https://geocode.search.hereapi.com/v1","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","404","23","82"
"geocoding_v1","nonrag","gpt","v","geoapify__geocoding","9","88.5","Geoapify Geocoding API","https://apidocs.geoapify.com/docs/geocoding/forward-geocoding/","https://api.geoapify.com/v1/geocode","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","401","223","68"
"geocoding_v1","nonrag","gpt","v","azuremaps__geocoding","10","86","Azure Maps â€” Get Geocoding / Get Reverse Geocoding","https://learn.microsoft.com/en-us/rest/api/maps/search/get-geocoding","https://atlas.microsoft.com/search","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:39Z","0.345","True","False","False","False","True","0","GET","400","26","90"
"geocoding_v1","nonrag","mistral","v","google__maps_geocoding","1","95","Google Maps Geocoding API","https://developers.google.com/maps/documentation/geocoding/overview","https://maps.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:17:40Z","0.345","True","False","False","False","True","0","GET","404","26","1573"
"geocoding_v1","nonrag","mistral","v","positionstack__geocoding","2","90","Positionstack Geocoding API","https://positionstack.com/","https://api.positionstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","False","0","GET","200","158","194"
"geocoding_v1","nonrag","mistral","v","opencage__geocoding","3","85","OpenCage Geocoding API","https://opencagedata.com/api","https://api.opencagedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:41Z","0.435","True","False","False","False","True","0","GET","401","190","-1"
"geocoding_v1","nonrag","mistral","v","geoapify__geocoding","4","80","Geoapify Geocoding API","https://www.geoapify.com/geocoding-api/","https://api.geoapify.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","True","0","GET","503","225","-1"
"geocoding_v1","nonrag","mistral","v","mapbox__geocoding","5","75","Mapbox Geocoding API","https://docs.mapbox.com/api/geocoding/","https://api.mapbox.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","32","39"
"geocoding_v1","nonrag","mistral","v","geocode_maps__co","6","70","Geocode.maps.co API","https://geocode.maps.co/","https://geocode.maps.co","False","0.25","0.48","False","True","False","False","2025-10-28T22:17:40Z","0.291","True","False","False","False","False","0","GET","400","113","59"
"geocoding_v1","nonrag","mistral","v","bigdatacloud__geocoding","7","65","BigDataCloud Geocoding API","https://www.bigdatacloud.com/docs/api/free-reverse-geocode-to-timezone-api","https://api.bigdatacloud.net","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:39Z","0.435","True","False","False","False","False","0","GET","200","39","2784"
"geocoding_v1","nonrag","mistral","v","here__maps_geocoding","8","60","HERE Maps Geocoding API","https://developer.here.com/products/geocoding","https://geocode.search.hereapi.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:17:40Z","0.363","True","False","False","False","False","0","GET","401","28","68"
"geocoding_v1","nonrag","mistral","v","geocode_xyz","9","55","Geocode.xyz API","https://geocode.xyz/api","https://geocode.xyz","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:40Z","0.435","True","False","False","False","False","0","GET","200","345","49969"
"geocoding_v1","nonrag","mistral","v","tomtom__geocoding","10","50","TomTom Geocoding API","https://developer.tomtom.com/search-api-documentation","https://api.tomtom.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:17:42Z","0.435","True","False","False","False","True","0","GET","404","30","103"
