A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,v,10,0.9,0.022227899425714286,-0.7588235294117649,-0.6000000000000001,0.047896825396825396,0.05263157894736842
claude,c,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,t,10,0.9,0.008657173890000001,-0.8254901960784315,-0.6592592592592593,0.021111111111111112,0.05263157894736842
claude,c,gpt,v,10,0.9,0.06341639942571428,-0.6509803921568628,-0.525925925925926,0.10956349206349207,0.05263157894736842
claude,c,mistral,c,10,0.9,0.0038742048900000004,-0.8529411764705883,-0.688888888888889,0.01,0.05263157894736842
claude,c,mistral,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,t,10,0.9,0.0038742048900000004,-0.8627450980392157,-0.7037037037037037,0.01,0.05263157894736842
claude,t,deepseek,v,10,0.9,0.0038742048900000004,-0.8823529411764708,-0.7333333333333335,0.01,0.05263157894736842
claude,t,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
