"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"112","1120",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","479","18"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","207","12.1194379391101",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1061","41.4129586260734",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1045",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"115","1150",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","483","25"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","230","9.85432733504713",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1397","39.9028848900314",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1375",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"105","1050",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","372","16"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","222","15",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","962","43.3333333333333",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","938",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"102","1020",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","449","10"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","324","15.7587548638132",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1352","43.8391699092088",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1342",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"108","1080",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","384","20"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","194","13.8571428571429",,,,,
