"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"health_v1","nonrag","claude","c","nutritionix__food_search","1","98","Nutritionix Nutrition Database API","https://docs.nutritionix.com/","https://trackapi.nutritionix.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","404","94","159"
"health_v1","nonrag","claude","c","fitbit__activity_data","2","96.5","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:13Z","0.291","True","False","False","0","False","False","GET","400","54","-1"
"health_v1","nonrag","claude","c","usda__food_data_central","3","94.5","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","True","GET","403","98","-1"
"health_v1","nonrag","claude","c","edamam__nutrition_analysis","4","92","Edamam Nutrition Analysis API","https://developer.edamam.com/edamam-nutrition-api","https://api.edamam.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","0","False","True","GET","400","89","828"
"health_v1","nonrag","claude","c","myfitnesspal__nutrition_api","5","90","MyFitnessPal API (via Nutritionix/Under Armour)","https://www.myfitnesspal.com/api","https://api.myfitnesspal.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","404","146","-1"
"health_v1","nonrag","claude","c","strava__athlete_activities","6","87.5","Strava API for Athletes","https://developers.strava.com/docs/reference/","https://www.strava.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","True","GET","401","91","-1"
"health_v1","nonrag","claude","c","apple_health__healthkit_api","7","85","Apple HealthKit Web API","https://developer.apple.com/documentation/healthkit","https://api.apple-health.com","0.25","False","0","False","True","False","False","2025-10-28T22:22:12Z","0.075","True","False","False","0","False","True","OPTIONS","ERR","0",
"health_v1","nonrag","claude","c","google_fit__fitness_data","8","82.5","Google Fit REST API","https://developers.google.com/fit/rest","https://www.googleapis.com/fitness","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","401","67","-1"
"health_v1","nonrag","claude","c","spoonacular__nutrition_widget","9","80","Spoonacular Nutrition API","https://spoonacular.com/food-api/docs","https://api.spoonacular.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:16Z","0.291","True","False","False","0","False","False","GET","405","217","1013"
"health_v1","nonrag","claude","c","withings__health_data","10","77.5","Withings Health Data API","https://developer.withings.com/api-reference/","https://wbsapi.withings.net","0.25","False","1","False","True","False","False","2025-10-28T22:22:16Z","0.525","True","False","False","0","False","True","GET","200","156","41"
"health_v1","nonrag","claude","t","nutritionix-api","1","98.5","Nutritionix API","https://docs.nutritionix.com/","https://trackapi.nutritionix.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","404","88","159"
"health_v1","nonrag","claude","t","edamam-nutrition","2","96.5","Edamam Nutrition Analysis API","https://developer.edamam.com/edamam-nutrition-api","https://api.edamam.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","0","False","True","GET","400","92","828"
"health_v1","nonrag","claude","t","fitbit-web-api","3","94","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","0","False","True","GET","400","61","-1"
