"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"health_v1","nonrag","claude","t","nutritionix-api","1","98.5","Nutritionix API","https://docs.nutritionix.com/","https://trackapi.nutritionix.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","404","88","159"
"health_v1","nonrag","claude","t","edamam-nutrition","2","96.5","Edamam Nutrition Analysis API","https://developer.edamam.com/edamam-nutrition-api","https://api.edamam.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","0","False","True","GET","400","92","828"
"health_v1","nonrag","claude","t","fitbit-web-api","3","94","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","0","False","True","GET","400","61","-1"
"health_v1","nonrag","claude","t","usda-fooddata","4","92","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","True","GET","403","86","-1"
"health_v1","nonrag","claude","t","api-ninjas-nutrition","5","89.5","API Ninjas Nutrition API","https://api-ninjas.com/api/nutrition","https://api.api-ninjas.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:12Z","0.291","True","False","False","0","False","False","GET","400","92","29"
"health_v1","nonrag","claude","t","exercisedb-api","6","87","ExerciseDB API","https://rapidapi.com/justin-WFnsXH_t6/api/exercisedb","https://exercisedb.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:13Z","0.291","True","False","False","0","False","False","GET","429","28","-1"
"health_v1","nonrag","claude","t","spoonacular-nutrition","7","84.5","Spoonacular Nutrition API","https://spoonacular.com/food-api/docs","https://api.spoonacular.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:16Z","0.291","True","False","False","0","False","False","GET","404","195","967"
"health_v1","nonrag","claude","t","nutritionvalue-api","8","82","Nutrition Value API (RapidAPI)","https://rapidapi.com/sprestaurant/api/nutritionvalue","https://nutritionvalue.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","429","56","-1"
"health_v1","nonrag","claude","t","wger-workout","9","79.5","wger Workout Manager API","https://wger.de/en/software/api","https://wger.de","0.25","False","1","False","True","False","False","2025-10-28T22:22:16Z","0.525","True","False","False","0","False","True","GET","200","326","5375"
"health_v1","nonrag","claude","t","calorieninjas","10","76","CalorieNinjas API","https://calorieninjas.com/api","https://api.calorieninjas.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","0","False","False","GET","403","84","23"
"health_v1","nonrag","deepseek","t","fatsecret","1","98.5","FatSecret Platform API","https://platform.fatsecret.com/api/","https://platform.fatsecret.com/rest/server.api","0.25","False","1","False","True","False","False","2025-10-28T22:22:13Z","0.525","True","False","False","0","False","True","GET","200","102","334"
"health_v1","nonrag","deepseek","t","nutritionix","2","96.2","Nutritionix API","https://developer.nutritionix.com/","https://trackapi.nutritionix.com/v2/","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","400","88","111"
"health_v1","nonrag","deepseek","t","wger","3","94.7","wger Workout Manager API","https://wger.de/en/software/api","https://wger.de/api/v2/","0.25","False","1","False","True","False","False","2025-10-28T22:22:16Z","0.525","True","False","False","0","False","True","GET","200","338","5375"
"health_v1","nonrag","deepseek","t","fitbit","4","92.3","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com/1/","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","0","False","False","GET","401","53","-1"
"health_v1","nonrag","deepseek","t","edamam","5","89.8","Edamam Nutrition Analysis API","https://developer.edamam.com/edamam-docs-nutrition-api","https://api.edamam.com/api/","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","0","False","False","GET","401","85","-1"
"health_v1","nonrag","deepseek","t","openfoodfacts","6","87.4","Open Food Facts API","https://openfoodfacts.github.io/api-documentation/","https://world.openfoodfacts.org/api/v2/","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:15Z","0.435","True","False","False","0","False","False","GET","200","166","65"
"health_v1","nonrag","deepseek","t","ninjas_exercise","7","85.1","API Ninjas Exercise API","https://api-ninjas.com/api/exercises","https://api.api-ninjas.com/v1/","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","400","101","29"
"health_v1","nonrag","deepseek","t","calorieninjas","8","82.6","CalorieNinjas Nutrition API","https://calorieninjas.com/api","https://api.calorieninjas.com/v1/","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","0","False","False","GET","403","80","42"
"health_v1","nonrag","deepseek","t","ninjas_calories","9","79.3","API Ninjas Calories API","https://api-ninjas.com/api/caloriesburned","https://api.api-ninjas.com/v1/","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","400","104","29"
"health_v1","nonrag","deepseek","t","usda_fdc","10","76.8","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov/fdc/v1/","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","True","GET","403","86","-1"
"health_v1","nonrag","gemini","t","nutritionix_natural_language","1","100","Nutritionix API - Natural Language Nutrition","https://docs.nutritionix.com/natural-language","https://trackapi.nutritionix.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","404","86","158"
"health_v1","nonrag","gemini","t","google_fit_rest","2","98","Google Fit REST API","https://developers.google.com/fit/rest/v1/reference/users/dataset/aggregate","https://www.googleapis.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:14Z","0.363","True","False","False","0","False","False","GET","401","69","-1"
"health_v1","nonrag","gemini","t","usda_fooddata_central","3","95","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","True","GET","404","38","-1"
"health_v1","nonrag","gemini","t","wger_workout_manager","4","90","wger Workout Manager API","https://wger.de/api/v2/docs/","https://wger.de","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","0","False","False","GET","200","718","72667"
"health_v1","nonrag","gemini","t","open_food_facts","5","90","Open Food Facts API","https://openfoodfacts.github.io/openfoodfacts-server/api/","https://world.openfoodfacts.org","0.25","False","1","False","True","False","False","2025-10-28T22:22:15Z","0.525","True","False","False","0","False","True","GET","200","178","65"
"health_v1","nonrag","gemini","t","health_graph","6","85","Health Graph (RunKeeper) API","https://runkeeper.com/developer/healthgraph/api","https://api.runkeeper.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:14Z","0.363","True","False","False","0","False","False","GET","401","91","0"
"health_v1","nonrag","gemini","t","rapidapi_calorie_ninja","7","80","Calorie Ninja API (RapidAPI)","https://rapidapi.com/apininjas/api/calorieninjas","https://calorieninjas.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","429","35","-1"
"health_v1","nonrag","gemini","t","humanapi","8","75","Human API","https://reference.humanapi.co/v2.1/reference/summary","https://api.humanapi.co","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:14Z","0.363","True","False","False","0","False","False","GET","401","28","107"
"health_v1","nonrag","gemini","t","validic","9","70","Validic API","https://docs.validic.com/api/#api-endpoints-fitness","https://api.validic.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:16Z","0.363","True","False","False","0","False","False","GET","401","37","40"
"health_v1","nonrag","gemini","t","open_exercise_api_rapidapi","10","65","Open Exercise API (RapidAPI)","https://rapidapi.com/dvir-berman/api/open-exercise-api/","https://open-exercise-api.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","429","27","-1"
