"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"health_v1","nonrag","claude","v","usda__fooddata_central","1","98","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov","False","0.25","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","False","True","0","GET","404","31","-1"
"health_v1","nonrag","claude","v","nutritionix__api","2","96.5","Nutritionix API","https://docs.nutritionix.com/","https://trackapi.nutritionix.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:15Z","0.363","True","False","False","False","False","0","GET","404","84","150"
"health_v1","nonrag","claude","v","fitbit__web_api","3","94","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","False","False","0","GET","401","56","-1"
"health_v1","nonrag","claude","v","myfitnesspal__api","4","91.5","MyFitnessPal API (via Partner Program)","https://www.myfitnesspal.com/api","https://api.myfitnesspal.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:22:15Z","0.345","True","False","False","False","True","0","GET","404","107","107"
"health_v1","nonrag","claude","v","edamam__nutrition_api","5","88.5","Edamam Nutrition Analysis API","https://developer.edamam.com/edamam-nutrition-api","https://api.edamam.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","False","False","0","GET","401","100","-1"
"health_v1","nonrag","claude","v","strava__athlete_api","6","85","Strava API","https://developers.strava.com/docs/reference/","https://www.strava.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:16Z","0.363","True","False","False","False","False","0","GET","401","93","-1"
"health_v1","nonrag","claude","v","google_fit__rest_api","7","81.5","Google Fit REST API","https://developers.google.com/fit/rest/v1/reference","https://www.googleapis.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","False","True","0","GET","404","68","1598"
"health_v1","nonrag","claude","v","apple_health__healthkit","8","78","Apple HealthKit (via Terra API)","https://docs.tryterra.co/reference","https://api.tryterra.co","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:12Z","0.363","True","False","False","False","False","0","GET","401","200","26"
"health_v1","nonrag","claude","v","wger__workout_api","9","74.5","wger Workout Manager API","https://wger.de/en/software/api","https://wger.de","False","0.25","1","False","True","False","False","2025-10-28T22:22:16Z","0.525","True","False","False","False","True","0","GET","200","337","5386"
"health_v1","nonrag","claude","v","cronometer__api","10","71","Cronometer API","https://cronometer.com/api/","https://cronometer.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:22:13Z","0.291","True","False","False","False","False","0","GET","405","85","1552"
"health_v1","nonrag","deepseek","v","fatsecret_platform","1","99.5","FatSecret Platform API","https://platform.fatsecret.com/api/","https://platform.fatsecret.com/rest/server.api","False","0.25","1","False","True","False","False","2025-10-28T22:22:13Z","0.525","True","False","False","False","True","0","GET","200","85","334"
"health_v1","nonrag","deepseek","v","usda_fooddata_central","2","98","USDA FoodData Central API","https://fdc.nal.usda.gov/api-guide.html","https://api.nal.usda.gov/fdc/v1","False","0.25","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","False","True","0","GET","403","104","-1"
"health_v1","nonrag","deepseek","v","fitbit_api","3","96.5","Fitbit Web API","https://dev.fitbit.com/build/reference/web-api/","https://api.fitbit.com/1","False","0.25","0.8","False","True","False","False","2025-10-28T22:22:13Z","0.435","True","False","False","False","True","0","GET","401","53","-1"
"health_v1","nonrag","deepseek","v","nutritionix_api","4","94","Nutritionix API","https://developer.nutritionix.com/docs/v2","https://trackapi.nutritionix.com/v2","False","0.25","0.6","False","True","False","False","2025-10-28T22:22:15Z","0.345","True","False","False","False","True","0","GET","400","85","111"
"health_v1","nonrag","deepseek","v","edamam_food_database","5","91.5","Edamam Food Database API","https://developer.edamam.com/food-database-api-docs","https://api.edamam.com/api/food-database/v2","False","0.25","0.64","False","True","False","False","2025-10-28T22:22:13Z","0.363","True","False","False","False","False","0","GET","401","90","669"
"health_v1","nonrag","deepseek","v","strava_api","6","88","Strava API v3","https://developers.strava.com/docs/reference/","https://www.strava.com/api/v3","False","0.25","0.8","False","True","False","False","2025-10-28T22:22:16Z","0.435","True","False","False","False","True","0","GET","401","98","-1"
