A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,t,10,0.9,0.3165514031671428,-0.2697674418604651,-0.24761904761904763,0.4520238095238095,0.25
claude,t,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
