"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"112","1120",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","488","10"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","217","12.5578703703704",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1081","41.7052469135802",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1065",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"115","1150",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","492","12"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","242","10.2629346904156",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1421","40.1752897936104",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","22",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1399",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"105","1050",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","379","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","228","15.2",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","978","43.4666666666667",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","954",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"102","1020",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","449","10"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","350","16.8107588856868",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1391","44.5405059237912",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1381",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"108","1080",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","394","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","198","13.9240506329114",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","909","42.6160337552743",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","20",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","889",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"114","1140",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","506","10"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","108","5.8759521218716",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1027","37.2506347479144",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1017",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"108","1080",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","482","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","305","19.4020356234097",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1091","46.2680237489398",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","8",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1083",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"115","1150",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","447","11"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","275","11.9461337966985",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1426","41.2974225311323",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1417",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"107","1070",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","455","14"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","337","14.7161572052402",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1482","43.1441048034934",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","14",,,,,,
