"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"imageclassification_v1","nonrag","claude","c","google__cloud-vision-label-detection","1","98.5","Google Cloud Vision API - Label Detection","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","142","1579","google","unknown","google__unknown"
"imageclassification_v1","nonrag","claude","c","aws__rekognition-detect-labels","2","97.2","AWS Rekognition DetectLabels API","https://docs.aws.amazon.com/rekognition/latest/APIReference/API_DetectLabels.html","https://rekognition.{region}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","GET","ERR","0","","aws","unknown","aws__unknown"
"imageclassification_v1","nonrag","claude","c","microsoft__azure-computer-vision-analyze","3","95.8","Microsoft Azure Computer Vision - Analyze Image","https://learn.microsoft.com/en-us/rest/api/computervision/analyze-image","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:24Z","0.075","True","False","False","False","True","0","GET","ERR","0","","azure","unknown","azure__unknown"
"imageclassification_v1","nonrag","claude","c","deepai__image-recognition","4","78.5","DeepAI Image Recognition API","https://deepai.org/machine-learning-model/image-recognition","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:23Z","0.435","True","False","False","False","True","0","GET","401","32","65","deepai","image_classification","deepai__image_classification"
"imageclassification_v1","nonrag","claude","c","api4ai__image-classification","5","75","API4AI Image Classification","https://api4.ai/apis/image-classification","https://api.api4ai.cloud","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0","","unknown","image_classification","unknown__image_classification"
"imageclassification_v1","nonrag","claude","t","google-cloud-vision","1","98.5","Google Cloud Vision API","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","27","1579","google","unknown","google__unknown"
"imageclassification_v1","nonrag","claude","t","aws-rekognition","2","97","AWS Rekognition","https://docs.aws.amazon.com/rekognition/latest/dg/API_DetectLabels.html","https://rekognition.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","404","97","29","aws","unknown","aws__unknown"
"imageclassification_v1","nonrag","claude","t","azure-computer-vision","3","96.5","Azure Computer Vision API","https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/how-to/call-analyze-image","https://<your-resource>.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","GET","ERR","0","","azure","unknown","azure__unknown"
"imageclassification_v1","nonrag","claude","t","imagga","4","94","Imagga Image Recognition API","https://docs.imagga.com/#tags","https://api.imagga.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","401","84","0","unknown","image_classification","unknown__image_classification"
"imageclassification_v1","nonrag","claude","t","api4ai-general","5","90","API4AI General Image Classification","https://api4.ai/apis/general-classification","https://general-classification.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","429","38","-1","rapidapi","image_classification","rapidapi__image_classification"
"imageclassification_v1","nonrag","claude","t","deepai-content-moderator","6","88.5","DeepAI Image Recognition APIs","https://deepai.org/machine-learning-model/image-similarity","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:23Z","0.435","True","False","False","False","True","0","GET","401","28","65","deepai","image_classification","deepai__image_classification"
"imageclassification_v1","nonrag","claude","v","google_vision_labels","1","98.5","Google Cloud Vision API - Label Detection","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","28","1579","google","unknown","google__unknown"
"imageclassification_v1","nonrag","claude","v","aws_rekognition_labels","2","97.2","Amazon Rekognition - DetectLabels","https://docs.aws.amazon.com/rekognition/latest/APIReference/API_DetectLabels.html","https://rekognition.{region}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","GET","ERR","0","","aws","unknown","aws__unknown"
"imageclassification_v1","nonrag","claude","v","clarifai_general_model","3","95.8","Clarifai General Image Recognition Model","https://docs.clarifai.com/api-guide/predict/images/","https://api.clarifai.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:22Z","0.291","True","False","False","False","False","0","GET","405","107","91","unknown","image_classification","unknown__image_classification"
"imageclassification_v1","nonrag","claude","v","azure_computer_vision","4","93.4","Azure Computer Vision - Analyze Image","https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","GET","ERR","0","","azure","unknown","azure__unknown"
"imageclassification_v1","nonrag","claude","v","deepai_image_recognition","5","84.2","DeepAI Image Recognition API","https://deepai.org/machine-learning-model/image-recognition","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:23Z","0.435","True","False","False","False","True","0","GET","401","42","65","deepai","image_classification","deepai__image_classification"
