"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"imageclassification_v1","nonrag","claude","t","google-cloud-vision","1","98.5","Google Cloud Vision API","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","27","1579"
"imageclassification_v1","nonrag","claude","t","aws-rekognition","2","97","AWS Rekognition","https://docs.aws.amazon.com/rekognition/latest/dg/API_DetectLabels.html","https://rekognition.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","404","97","29"
"imageclassification_v1","nonrag","claude","t","azure-computer-vision","3","96.5","Azure Computer Vision API","https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/how-to/call-analyze-image","https://<your-resource>.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","GET","ERR","0",
"imageclassification_v1","nonrag","claude","t","imagga","4","94","Imagga Image Recognition API","https://docs.imagga.com/#tags","https://api.imagga.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","401","84","0"
"imageclassification_v1","nonrag","claude","t","clarifai","5","92.5","Clarifai Image Recognition API","https://docs.clarifai.com/api-guide/predict/images","https://api.clarifai.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","405","88","91"
"imageclassification_v1","nonrag","claude","t","api4ai-general","6","90","API4AI General Image Classification","https://api4.ai/apis/general-classification","https://general-classification.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","429","38","-1"
"imageclassification_v1","nonrag","claude","t","deepai-content-moderator","7","88.5","DeepAI Image Recognition APIs","https://deepai.org/machine-learning-model/image-similarity","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:23Z","0.435","True","False","False","False","True","0","GET","401","28","65"
"imageclassification_v1","nonrag","claude","t","everypixel","8","86","Everypixel Image Recognition API","https://labs.everypixel.com/api/documentation","https://api.everypixel.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","400","169","107"
"imageclassification_v1","nonrag","claude","t","sightengine","9","83.5","Sightengine Image Moderation API","https://sightengine.com/docs/visual-content","https://api.sightengine.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:25Z","0.291","True","False","False","False","False","0","GET","400","99","-1"
"imageclassification_v1","nonrag","claude","t","roboflow","10","81","Roboflow Inference API","https://docs.roboflow.com/api-reference/inference","https://detect.roboflow.com","False","0.25","1","False","True","False","False","2025-10-28T22:26:25Z","0.525","True","False","False","False","True","0","GET","401","108","26"
"imageclassification_v1","nonrag","deepseek","t","google-vision-label","1","99.7","Google Cloud Vision API - Label Detection","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","27","1579"
"imageclassification_v1","nonrag","deepseek","t","aws-rekognition-labels","2","98.4","Amazon Rekognition - Label Detection","https://docs.aws.amazon.com/rekognition/latest/dg/labels-detect-labels-image.html","https://rekognition.{region}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"imageclassification_v1","nonrag","deepseek","t","clarifai-general","3","97.1","Clarifai General Image Recognition","https://docs.clarifai.com/api-guide/predict/images/","https://api.clarifai.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:22Z","0.291","True","False","False","False","False","0","GET","405","93","91"
"imageclassification_v1","nonrag","deepseek","t","microsoft-computer-vision","4","95.8","Microsoft Azure Computer Vision - Tagging","https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/how-to/call-tag-image","https://{endpoint}/vision/v3.2","False","0.25","0","False","True","False","False","2025-10-28T22:26:24Z","0.075","True","False","False","False","True","0","HEAD","ERR","0",
"imageclassification_v1","nonrag","deepseek","t","huggingface-image","5","94.2","Hugging Face Inference API - Image Classification","https://huggingface.co/docs/api-inference/detailed_parameters#image-classification-task","https://api-inference.huggingface.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","401","192","22407"
"imageclassification_v1","nonrag","deepseek","t","imagga-tagging","6","92.6","Imagga Auto-Tagging API","https://docs.imagga.com/#auto-tagging","https://api.imagga.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","401","113","0"
"imageclassification_v1","nonrag","deepseek","t","ibm-watson-visual","7","90.9","IBM Watson Visual Recognition - Classification","https://cloud.ibm.com/apidocs/visual-recognition/visual-recognition-v3#classify","https://api.us-south.visual-recognition.watson.cloud.ibm.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:24Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"imageclassification_v1","nonrag","deepseek","t","sightengine-moderation","8","89.3","Sightengine Image Moderation & Classification","https://sightengine.com/docs/reference#check-model-image","https://api.sightengine.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:25Z","0.345","True","False","False","False","True","0","GET","400","88","-1"
"imageclassification_v1","nonrag","deepseek","t","everypixel-api","9","87.5","Everypixel Image Quality API","https://everypixel.com/docs/api_quality","https://api.everypixel.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","400","179","107"
"imageclassification_v1","nonrag","deepseek","t","cloudsight-api","10","85.8","CloudSight Image Recognition API","https://docs.cloudsight.ai/","https://api.cloudsight.ai","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","92","-1"
"imageclassification_v1","nonrag","gemini","t","google_vision_ai","1","100","Google Cloud Vision API","https://cloud.google.com/vision/docs/labels","https://vision.googleapis.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:23Z","0.291","True","False","False","False","False","0","GET","404","66","1579"
"imageclassification_v1","nonrag","gemini","t","aws_rekognition","2","100","Amazon Rekognition","https://docs.aws.amazon.com/rekognition/latest/APIReference/API_DetectLabels.html","https://rekognition.[region].amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","False","0","GET","ERR","0",
"imageclassification_v1","nonrag","gemini","t","azure_ai_vision","3","100","Azure AI Vision","https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-tagging-images","https://[your-resource-name].cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","False","0","GET","ERR","0",
"imageclassification_v1","nonrag","gemini","t","clarifai_general","4","100","Clarifai General Image Recognition","https://docs.clarifai.com/compute/inference/advanced/","https://api.clarifai.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:22Z","0.291","True","False","False","False","False","0","GET","405","92","91"
"imageclassification_v1","nonrag","gemini","t","imagga_tags","5","100","Imagga Tagging","https://docs.imagga.com/#tagging","https://api.imagga.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:26:24Z","0.363","True","False","False","False","False","0","GET","401","87","0"
"imageclassification_v1","nonrag","gemini","t","huggingface_inference","6","100","Hugging Face Inference API","https://huggingface.co/docs/inference-providers/tasks/image-classification","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T22:26:24Z","0.363","True","False","False","False","False","0","GET","401","96","22433"
"imageclassification_v1","nonrag","gemini","t","rapidapi_label_image","7","100","Label Image (RapidAPI by AI Engine)","https://rapidapi.com/ai-engine-ai-engine-default/api/label-image","https://label-image.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:25Z","0.291","True","False","False","False","False","0","GET","429","30","-1"
"imageclassification_v1","nonrag","gemini","t","rapidapi_image_classification","8","100","Image Classification (RapidAPI by Scientific Algorithm)","https://rapidapi.com/scientific-algorithm-scientific-algorithm-default/api/image-classification1","https://image-classification1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:25Z","0.291","True","False","False","False","False","0","GET","429","118","-1"
"imageclassification_v1","nonrag","gemini","t","rapidapi_object_detection_yotaverse","9","98","Object Detection (RapidAPI by yotaverse)","https://rapidapi.com/yotaverse1-yotaverse-default/api/object-detection9","https://object-detection9.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:25Z","0.291","True","False","False","False","False","0","GET","429","41","-1"
"imageclassification_v1","nonrag","gemini","t","apilayer_image_labeling","10","95","APILayer Image Labeling","https://apilayer.com/marketplace/image_labeling-api","https://api.apilayer.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:26:22Z","0.363","True","False","False","False","False","0","GET","401","72","41"
"imageclassification_v1","nonrag","gpt","t","google__vision_labels","1","99.5","Google Cloud Vision â€” Label Detection","[https://cloud.google.com/vision/docs/labels](https://cloud.google.com/vision/docs/labels)","[https://vision.googleapis.com](https://vision.googleapis.com)","False","0.25","0","False","True","False","False","2025-10-28T22:26:24Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","gpt","t","aws__rekognition_labels","2","98.8","AWS Rekognition â€” DetectLabels","[https://docs.aws.amazon.com/rekognition/latest/dg/labels-detect-labels-image.html](https://docs.aws.amazon.com/rekognition/latest/dg/labels-detect-labels-image.html)","[https://rekognition.{region}.amazonaws.com](https://rekognition.{region}.amazonaws.com)","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","gpt","t","azure__vision_tags","3","97.9","Azure AI Vision â€” Analyze (Tags)","[https://learn.microsoft.com/azure/ai-services/computer-vision/concept-tagging-images](https://learn.microsoft.com/azure/ai-services/computer-vision/concept-tagging-images)","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","False","0","GET","ERR","0",
"imageclassification_v1","nonrag","gpt","t","clarifai__general","4","96.8","Clarifai â€” General Image Recognition","[https://docs.clarifai.com/api-guide/predict/images](https://docs.clarifai.com/api-guide/predict/images)","[https://api.clarifai.com](https://api.clarifai.com)","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","gpt","t","roboflow__inference","5","95.4","Roboflow â€” Hosted Inference API (Detection/Classif.)","[https://docs.roboflow.com/inference/hosted-api](https://docs.roboflow.com/inference/hosted-api)","[https://detect.roboflow.com](https://detect.roboflow.com)","False","0.25","0","False","True","False","False","2025-10-28T22:26:25Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","gpt","t","imagga__tags","6","94.7","Imagga â€” Tagging API","[https://imagga.com/docs/tagging](https://imagga.com/docs/tagging)","[https://api.imagga.com](https://api.imagga.com)","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","ERR","0",
"imageclassification_v1","nonrag","gpt","t","sightengine__check","7","93.6","Sightengine â€” Image Check API","[https://sightengine.com/docs/reference](https://sightengine.com/docs/reference)","[https://api.sightengine.com](https://api.sightengine.com)","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:25Z","0.345","True","False","False","False","True","0","GET","ERR","0",
"imageclassification_v1","nonrag","gpt","t","huggingface__inference_image","8","92.9","Hugging Face â€” Inference API (Image Classification)","[https://huggingface.co/docs/api-inference/detailed_parameters#image-classification](https://huggingface.co/docs/api-inference/detailed_parameters#image-classification)","[https://api-inference.huggingface.co](https://api-inference.huggingface.co)","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","ERR","0",
"imageclassification_v1","nonrag","gpt","t","azure__custom_vision_predict","9","91.7","Azure Custom Vision â€” Prediction API","[https://learn.microsoft.com/azure/cognitive-services/custom-vision-service/use-prediction-api](https://learn.microsoft.com/azure/cognitive-services/custom-vision-service/use-prediction-api)","https://{resource-name}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:22Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"imageclassification_v1","nonrag","gpt","t","faceplusplus__detect_scene_object","10","90.6","Face++ â€” Detect Scene and Object","[https://console.faceplusplus.com/documents/10071568](https://console.faceplusplus.com/documents/10071568)","[https://api-us.faceplusplus.com](https://api-us.faceplusplus.com)","False","0.25","0","False","True","False","False","2025-10-28T22:26:23Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"imageclassification_v1","nonrag","mistral","t","google-cloud-vision","1","95","Google Cloud Vision API","https://cloud.google.com/vision/docs","https://vision.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","24","1579"
"imageclassification_v1","nonrag","mistral","t","amazon-rekognition","2","90","Amazon Rekognition","https://aws.amazon.com/rekognition/","https://rekognition.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","404","99","29"
"imageclassification_v1","nonrag","mistral","t","microsoft-azure-computer-vision","3","85","Microsoft Azure Computer Vision API","https://azure.microsoft.com/en-in/products/api-management/","https://api.cognitive.microsoft.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:24Z","0.345","True","False","False","False","True","0","GET","404","56","56"
"imageclassification_v1","nonrag","mistral","t","ibm-watson-visual-recognition","4","80","IBM Watson Visual Recognition","https://mediacenter.ibm.com/media/IBM+Watson+Visual+Recognition/0_jbsmp6lq","https://api.us-south.visual-recognition.watson.cloud.ibm.com","False","0.25","0","False","True","False","False","2025-10-28T22:26:24Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","mistral","t","imagga","5","75","Imagga","https://imagga.com/","https://api.imagga.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:26:24Z","0.435","True","False","False","False","True","0","GET","401","86","0"
"imageclassification_v1","nonrag","mistral","t","clarifai","6","70","Clarifai","https://www.clarifai.com/","https://api.clarifai.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:22Z","0.345","True","False","False","False","True","0","GET","405","88","91"
"imageclassification_v1","nonrag","mistral","t","cloudsight","7","65","CloudSight","https://cloudsight.ai/","https://api.cloudsight.ai","False","0.25","0.6","False","True","False","False","2025-10-28T22:26:23Z","0.345","True","False","False","False","True","0","GET","404","100","-1"
"imageclassification_v1","nonrag","mistral","t","openai-dall-e","8","60","OpenAI DALL-E","https://openart.ai/home","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:26:25Z","0.291","True","False","False","False","False","0","GET","405","107","163"
"imageclassification_v1","nonrag","mistral","t","tensorflow-js","9","55","TensorFlow.js","https://www.tensorflow.org/js","https://api.tensorflow.org","False","0.25","0","False","True","False","False","2025-10-28T22:26:26Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"imageclassification_v1","nonrag","mistral","t","roboflow","10","50","Roboflow","https://roboflow.com/","https://api.roboflow.com","False","0.25","1","False","True","False","False","2025-10-28T22:26:25Z","0.525","True","False","False","False","True","0","GET","200","114","38"
