"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"112","1120",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","496","16"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","217","12.0958751393534",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1114","41.3972500929023",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1098",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"115","1150",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","498","17"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","250","10.3135313531353",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1462","40.2090209020902",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","26",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1436",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"105","1050",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","381","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","232","15.2031454783748",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","995","43.4687636522499",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","971",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"102","1020",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","455","21"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","350","16.3704396632367",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1419","44.2469597754911",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1409",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"108","1080",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","402","13"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","208","14.3646408839779",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","932","42.9097605893186",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","28",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","904",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"114","1140",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","511","22"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","112","5.95111583421892",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1053","37.3007438894793",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1043",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"108","1080",,,"10",,
