"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"movie_v1","nonrag","claude","c","omdb__movie_search","1","98.5","OMDb API (Open Movie Database)","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","84","28178"
"movie_v1","nonrag","claude","c","tmdb__movie_search","2","96.5","The Movie Database (TMDb) API","https://developer.themoviedb.org/reference/search-movie","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","92","-1"
"movie_v1","nonrag","claude","c","movieglu__film_search","3","94","Movieglu Film Showtimes API","https://developers.movieglu.com/","https://api-gate2.movieglu.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:30Z","0.363","True","False","False","False","False","0","GET","403","148","23"
"movie_v1","nonrag","claude","c","watchmode__title_search","4","92","Watchmode Title Search API","https://api.watchmode.com/docs/#title-search","https://api.watchmode.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","26","-1"
"movie_v1","nonrag","claude","c","utelly__lookup_movie","5","89.5","uTelly Movie Lookup API","https://rapidapi.com/utelly/api/utelly","https://utelly-tv-shows-and-movies-availability-v1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:32Z","0.345","True","False","False","False","True","0","GET","429","40","-1"
"movie_v1","nonrag","claude","c","cinematerial__movie_search","6","87","Cinematerial Movie Information API","https://rapidapi.com/cinematerial/api/cinematerial","https://cinematerial.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:28Z","0.345","True","False","False","False","True","0","GET","429","32","-1"
"movie_v1","nonrag","claude","c","moviesdatabase__search_titles","7","84.5","Movies Database Search API","https://rapidapi.com/SAdrian/api/moviesdatabase","https://moviesdatabase.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","29","-1"
"movie_v1","nonrag","claude","c","mdblist__movie_search","8","82","MDBList Movie Search API","https://mdblist.com/api/","https://mdblist.com","False","0.25","0.16","False","True","False","False","2025-10-28T22:41:30Z","0.147","True","False","False","False","False","0","GET","503","199","73"
"movie_v1","nonrag","claude","c","tastedive__movie_recommendations","9","79.5","TasteDive Movie Info API","https://tastedive.com/read/api","https://tastedive.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","400","144","88"
"movie_v1","nonrag","claude","c","tvmaze__movie_search","10","77","TVmaze Single Search API","https://www.tvmaze.com/api","https://api.tvmaze.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:32Z","0.291","True","False","False","False","False","0","GET","400","184","-1"
"movie_v1","nonrag","deepseek","c","omdb__movie_search","1","99.4","OMDb API (Open Movie Database)","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","100","28178"
"movie_v1","nonrag","deepseek","c","themoviedb__search_movie","2","97.8","The Movie Database (TMDb) Search","https://developer.themoviedb.org/reference/search-movie","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:31Z","0.435","True","False","False","False","True","0","GET","401","157","-1"
"movie_v1","nonrag","deepseek","c","imdb__title_search","3","95.3","IMDb API via RapidAPI","https://rapidapi.com/rapidapi/api/movie-database-imdb-alternative/","https://movie-database-imdb-alternative.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:29Z","0.345","True","False","False","False","True","0","GET","429","34","-1"
"movie_v1","nonrag","deepseek","c","tvmaze__search_shows","4","92.7","TVmaze Show Search","https://www.tvmaze.com/api#show-search","https://api.tvmaze.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:32Z","0.291","True","False","False","False","False","0","GET","400","185","-1"
"movie_v1","nonrag","deepseek","c","movie_db__alternative_search","5","89.6","The Movie Database Alternative","https://rapidapi.com/SAdrian/api/moviesdatabase/","https://moviesdatabase.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","40","-1"
"movie_v1","nonrag","deepseek","c","film_api__search","6","86.4","Film API Search","https://rapidapi.com/amrelrafie/api/film-api/","https://film-api-amrelrafie.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:29Z","0.291","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","deepseek","c","movie_reviews__nytimes","7","83.1","New York Times Movie Reviews API","https://developer.nytimes.com/docs/movie-reviews-api/1/overview","https://api.nytimes.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","True","0","GET","401","293","151"
"movie_v1","nonrag","deepseek","c","movie_data__imdb_search","8","79.7","Movie Data IMDb Search","https://rapidapi.com/amrelrafie/api/movie-data-imdb-alternative/","https://movie-data-imdb-alternative.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","30","-1"
"movie_v1","nonrag","deepseek","c","film_finder__search","9","76.2","Film Finder API","https://rapidapi.com/amrelrafie/api/film-finder1/","https://film-finder1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:29Z","0.291","True","False","False","False","False","0","GET","429","38","-1"
"movie_v1","nonrag","deepseek","c","cinemeta__search","10","72.6","Cinemeta Search API","https://github.com/Stremio/stremio-addon-sdk/tree/master/docs/api/requests/metadata","https://v3-cinemeta.strem.io","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:28Z","0.291","True","False","False","False","False","0","GET","404","86","-1"
"movie_v1","nonrag","gemini","c","omdb__search_by_title","1","100","OMDb API","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","98","28178"
"movie_v1","nonrag","gemini","c","tmdb__search_and_details","2","100","The Movie Database (TMDb) API","https://developer.themoviedb.org/docs/getting-started","https://api.themoviedb.org","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","401","95","-1"
"movie_v1","nonrag","gemini","c","imdbapi_com__search_get_details","3","95","IMDb API (imdb-api.com via RapidAPI)","https://rapidapi.com/apidojo/api/imdb-api.com","imdb-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"movie_v1","nonrag","gemini","c","watchmode__search_and_details","4","90","Watchmode API","https://api.watchmode.com/docs/","https://api.watchmode.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","401","27","-1"
"movie_v1","nonrag","gemini","c","orion__search_and_details","5","90","Orion Movie API (RapidAPI)","https://rapidapi.com/kfawcett/api/orion-movie-recommendation-api","orion-movie-recommendation-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:30Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"movie_v1","nonrag","gemini","c","trakt__search_and_details","6","85","Trakt API","https://trakt.docs.apiary.io/","https://api.trakt.tv","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","403","160","-1"
"movie_v1","nonrag","gemini","c","moviesdatabase__search_and_details","7","85","MoviesDatabase API (RapidAPI)","https://rapidapi.com/moviesdatabase/api/moviesdatabase","moviesdatabase.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:30Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gemini","c","imdb_alt__search_and_details","8","85","IMDb Alternative (RapidAPI)","https://rapidapi.com/rapidapi-community-kube/api/imdb-alternative","imdb-alternative.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gemini","c","ahascore__search_and_details","9","80","AhaScore Movie Data API (RapidAPI)","https://rapidapi.com/AhaScore/api/ahascore-movie-data-api","ahascore-movie-data-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:28Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gemini","c","filmaffinity__search_and_details","10","80","FilmAffinity Unofficial API (RapidAPI)","https://rapidapi.com/sergiinvest/api/filmaffinity-unofficial","filmaffinity-unofficial.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gpt","c","omdb__search_and_by_title","1","100","OMDb API â€” Open Movie Database","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:30Z","0.363","True","False","False","False","False","0","GET","401","101","47"
"movie_v1","nonrag","gpt","c","tmdb__search_and_details_with_credits","2","98.5","The Movie Database (TMDb) â€” Search & Details + Credits","https://developer.themoviedb.org/reference/intro/getting-started","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","98","-1"
