"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"movie_v1","nonrag","claude","t","omdb","1","99","OMDb API (Open Movie Database)","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","83","28178"
"movie_v1","nonrag","claude","t","tmdb","2","97.5","The Movie Database (TMDb) API","https://developers.themoviedb.org/3/search/search-movies","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","80","-1"
"movie_v1","nonrag","claude","t","moviedb-rapidapi","3","95.5","Movie Database Alternative (RapidAPI)","https://rapidapi.com/SAdrian/api/moviesdatabase","https://moviesdatabase.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","23","-1"
"movie_v1","nonrag","claude","t","utelly","4","93","uTelly Movie & TV API","https://rapidapi.com/utelly/api/utelly","https://utelly-tv-shows-and-movies-availability-v1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:32Z","0.345","True","False","False","False","True","0","GET","429","34","-1"
"movie_v1","nonrag","claude","t","watchmode","5","91","Watchmode Movie & TV API","https://api.watchmode.com/docs/","https://api.watchmode.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","25","-1"
"movie_v1","nonrag","claude","t","cinemagoer-api","6","88.5","Cinemagoer API (IMDbPY-based)","https://cinemagoer.github.io/","https://imdb-api.projects.thetuhin.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:28Z","0.435","True","False","False","False","True","0","GET","403","93","-1"
"movie_v1","nonrag","claude","t","tvmaze","7","86","TVmaze API","https://www.tvmaze.com/api","https://api.tvmaze.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:32Z","0.291","True","False","False","False","False","0","GET","404","197","-1"
"movie_v1","nonrag","claude","t","movie-database-imdb","8","83.5","Movie Database IMDB Alternative","https://rapidapi.com/rapihub-rapihub-default/api/movie-database-alternative1","https://movie-database-alternative1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","50","-1"
"movie_v1","nonrag","claude","t","movieglu","9","81","Movieglu Cinema API","https://developers.movieglu.com/","https://api-gate2.movieglu.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:30Z","0.363","True","False","False","False","False","0","GET","403","158","23"
"movie_v1","nonrag","claude","t","taste-dive","10","78.5","TasteDive Recommendation API","https://tastedive.com/read/api","https://tastedive.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","400","160","88"
"movie_v1","nonrag","deepseek","t","omdb-api","1","99.8","OMDb API","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","1","False","True","False","False","2025-10-28T22:41:30Z","0.525","True","False","False","False","True","0","GET","200","89","28178"
"movie_v1","nonrag","deepseek","t","themoviedb","2","98.5","The Movie Database (TMDB) API","https://developer.themoviedb.org/reference/search-movie","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:31Z","0.435","True","False","False","False","True","0","GET","401","87","-1"
"movie_v1","nonrag","deepseek","t","movie-database-alternative","3","97.2","The Movie Database Alternative","https://rapidapi.com/rapidapi/api/movie-database-alternative/","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","44","-1"
"movie_v1","nonrag","deepseek","t","imdb-api","4","95.8","IMDb API","https://imdb-api.com/api","https://imdb-api.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"movie_v1","nonrag","deepseek","t","movie-db-api","5","94.3","The Movie DB API","https://rapidapi.com/SAdrian/api/moviesdb/","https://moviesdb5.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","35","-1"
"movie_v1","nonrag","deepseek","t","film-data-api","6","92.7","Film Data API","https://rapidapi.com/theflyingfox/api/film-data-api/","https://film-data-api.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:29Z","0.291","True","False","False","False","False","0","GET","429","43","-1"
"movie_v1","nonrag","deepseek","t","movie-details-api","7","90.9","Movie Details API","https://rapidapi.com/topmedia/api/movie-details/","https://movie-details1.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","37","-1"
"movie_v1","nonrag","deepseek","t","cinemeta","8","89.2","Cinemeta API","https://github.com/Stremio/stremio-addon-sdk/tree/master/docs/cinemeta","https://v3-cinemeta.strem.io","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:28Z","0.291","True","False","False","False","False","0","GET","404","67","-1"
"movie_v1","nonrag","deepseek","t","movieapi","9","87.5","MovieAPI","https://rapidapi.com/topmedia/api/movieapi/","https://movieapi2.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","32","-1"
"movie_v1","nonrag","deepseek","t","moviesminidatabase","10","85.8","Movies Mini Database","https://rapidapi.com/topmedia/api/moviesminidatabase/","https://moviesminidatabase.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","30","-1"
"movie_v1","nonrag","gemini","t","omdb_api","1","100","OMDb API","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","88","28178"
"movie_v1","nonrag","gemini","t","tmdb_api","2","100","The Movie Database (TMDb) API","https://developer.themoviedb.org/reference/movie-details","https://api.themoviedb.org","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","401","86","-1"
"movie_v1","nonrag","gemini","t","imdb_api_com","3","100","IMDb API (imdb-api.com)","https://imdb-api.com/api","https://imdb-api.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"movie_v1","nonrag","gemini","t","rapidapi_movie_db_alt","4","100","Movie Database Alternative (RapidAPI)","https://rapidapi.com/anarmammad/api/movie-database-alternative","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","429","41","-1"
"movie_v1","nonrag","gemini","t","trakt_api","5","98","Trakt API","https://trakt.docs.apiary.io/#reference/movies/summary","https://api.trakt.tv","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","403","171","-1"
"movie_v1","nonrag","gemini","t","rapidapi_orion_movie","6","97","Orion Movie API (RapidAPI)","https://rapidapi.com/orionlabs/api/orion-movie-api","orion-movie-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:31Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"movie_v1","nonrag","gemini","t","rapidapi_chillax","7","95","Chillax Movie and TV API (RapidAPI)","https://rapidapi.com/cdteam/api/chillax-movie-and-tv-series-database","chillax-movie-and-tv-series-database.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:31Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gemini","t","watchmode_api","8","90","Watchmode API","https://api.watchmode.com/docs/","https://api.watchmode.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","401","33","-1"
"movie_v1","nonrag","gemini","t","simkl_api","9","90","Simkl API","https://api.simkl.com/docs/","https://api.simkl.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","404","96","-1"
"movie_v1","nonrag","gemini","t","rapidapi_movie_db_dv","10","85","Movie Database API (dv) (RapidAPI)","https://rapidapi.com/DVA-ra/api/movie-database-api","movie-database-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:31Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"movie_v1","nonrag","gpt","t","omdb","1","99.4","OMDb API â€” Open Movie Database","https://www.omdbapi.com/","https://www.omdbapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","False","0","GET","200","88","28178"
"movie_v1","nonrag","gpt","t","tmdb","2","98.6","TMDb â€” The Movie Database API","https://developer.themoviedb.org/reference/intro/getting-started","https://api.themoviedb.org","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","92","-1"
"movie_v1","nonrag","gpt","t","trakt","3","97.8","Trakt API â€” Movies","https://trakt.docs.apiary.io/","https://api.trakt.tv","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:32Z","0.363","True","False","False","False","False","0","GET","403","170","-1"
"movie_v1","nonrag","gpt","t","watchmode","4","96.9","Watchmode API â€” Title Details","https://api.watchmode.com/docs","https://api.watchmode.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","27","-1"
"movie_v1","nonrag","gpt","t","rapidapi_moviesdb","5","95.5","MoviesDatabase (IMDb Alternative) â€” RapidAPI","https://rapidapi.com/SAdrian/api/moviesdatabase/","https://moviesdatabase.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","429","28","-1"
"movie_v1","nonrag","gpt","t","movieglu","6","94.3","MovieGlu â€” Film Details","https://www.movieglu.com/api-overview/","https://api.movieglu.com","False","0.25","0.64","False","True","False","False","2025-10-28T22:41:30Z","0.363","True","False","False","False","False","0","GET","404","93","2458"
"movie_v1","nonrag","gpt","t","kinopoisk_unofficial","7","93.1","Kinopoisk Unofficial API â€” Movie Details","https://kinopoiskapiunofficial.tech/documentation/api/","https://kinopoiskapiunofficial.tech","False","0.25","0.16","False","True","False","False","2025-10-28T22:41:29Z","0.147","True","False","False","False","False","0","GET","500","204","455"
"movie_v1","nonrag","gpt","t","omdb_rapidapi_wrapper","8","91.9","OMDb (RapidAPI Mirror) â€” Movie Database Alternative","https://rapidapi.com/rapidapi/api/movie-database-alternative/","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","25","-1"
"movie_v1","nonrag","gpt","t","yts","9","90.7","YTS.mx â€” Movie Details API","https://yts.mx/api","https://yts.mx","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","False","0","GET","200","176","0"
"movie_v1","nonrag","gpt","t","cinemeta","10","89.5","Cinemeta (Stremio) â€” Movie Meta","https://stremio.github.io/stremio-api-docs/","https://v3-cinemeta.strem.io","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:28Z","0.291","True","False","False","False","False","0","GET","404","92","-1"
"movie_v1","nonrag","mistral","t","omdb-api","1","95","OMDb API","https://www.omdbapi.com/","http://www.omdbapi.com/","False","0.25","1","False","True","False","False","2025-10-28T22:41:30Z","0.525","True","False","False","False","True","0","GET","200","93","28178"
"movie_v1","nonrag","mistral","t","tmdb-api","2","90","TMDb API","https://developer.themoviedb.org/reference/search-movie","https://api.themoviedb.org/3","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:32Z","0.435","True","False","False","False","True","0","GET","401","91","-1"
"movie_v1","nonrag","mistral","t","imdb-api","3","85","IMDB API","https://developer.imdb.com/documentation/api-documentation/sample-queries/search","https://imdb-api.com/en/API","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"movie_v1","nonrag","mistral","t","movie-finder-api","4","80","Movie Finder API","https://zylalabs.com/api-marketplace/search/movie+finder+api/970","https://movie-finder-api.zylalabs.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:30Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"movie_v1","nonrag","mistral","t","rapidapi-movies","5","75","RapidAPI Movies","https://rapidapi.com/search/movies","https://rapidapi.com","False","0.25","1","False","True","False","False","2025-10-28T22:41:31Z","0.525","True","False","False","False","True","0","GET","200","339","295750"
"movie_v1","nonrag","mistral","t","zuplo-movie-api","6","70","Zuplo Movie API","https://zuplo.com/learning-center/best-movie-api-imdb-vs-omdb-vs-tmdb","https://zuplo.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:32Z","0.345","True","False","False","False","True","0","GET","404","193","-1"
"movie_v1","nonrag","mistral","t","rapidapi-movie-apis","7","65","RapidAPI Movie APIs","https://rapidapi.com/collection/movie-apis","https://rapidapi.com","False","0.25","1","False","True","False","False","2025-10-28T22:41:31Z","0.525","True","False","False","False","True","0","GET","200","355","295607"
"movie_v1","nonrag","mistral","t","movie-database-api","8","60","Movie Database API","https://www.themoviedb.org/documentation/api","https://api.themoviedb.org/3","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","True","0","GET","401","83","-1"
"movie_v1","nonrag","mistral","t","open-movie-db-api","9","55","Open Movie DB API","https://www.omdbapi.com/","http://www.omdbapi.com/","False","0.25","0.8","False","True","False","False","2025-10-28T22:41:30Z","0.435","True","False","False","False","True","0","GET","401","92","47"
"movie_v1","nonrag","mistral","t","imdb-api-alternative","10","50","IMDB API Alternative","https://developer.imdb.com/documentation/api-documentation/sample-queries/search","https://imdb-api.com/en/API","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
