A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
claude,c,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,c,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,t,gemini,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,t,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,v,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,v,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gemini,v,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,c,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,c,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,t,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,t,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,v,mistral,t,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
gpt,v,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
mistral,t,mistral,v,10,0.9,0.0,-0.9999999999999999,-1.0,0.0,0.0
