"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"120","1200",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","505","11"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","217","11.870897155361",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1131","41.2472647702407",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1115",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"124","1240",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","507","19"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","250","10.1214574898785",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1485","40.080971659919",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","26",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1459",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"114","1140",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","390","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","232","14.9677419354839",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1007","43.3118279569892",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","983",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"112","1120",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","464","13"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","350","16.1588180978763",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1433","44.1058787319175",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1423",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"118","1180",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","411","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","208","14.1689373297003",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","942","42.7792915531335",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","28",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","914",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"124","1240",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","518","16"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","112","5.85161964472309",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1069","37.2344130964821",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1059",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"111","1110",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","499","11"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","315","18.9530685920578",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1146","45.9687123947052",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1134",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"125","1250",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","464","19"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","279","11.4438063986874",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1498","40.962537599125",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1489",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"117","1170",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","473","18"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","337","14.2074198988196",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1523","42.804946599213",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","14",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1509",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"123","1230",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","436","10"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","368","16.7272727272727",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1468","44.4848484848485",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","44",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1414",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"124","1240",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","420","10"
"endpoint_err_rate_core","endpoint","deepseek","c",,"ERR","160","10.4302477183833",,,,,
"endpoint_err_rate_all","endpoint","deepseek","c",,"ERR","927","40.2868318122555",,,,,
"err_breakdown","endpoint","deepseek","c",,"timeout","36",,,,,,
"err_breakdown","endpoint","deepseek","c",,"tls","8",,,,,,
"err_breakdown","endpoint","deepseek","c",,"other","883",,,,,,
"service_responsiveness_rate","overview","mistral","v",,,"125","1250",,,"10",,
"coverage","overview","mistral","v",,,"10",,,,"10","497","10"
"endpoint_err_rate_core","endpoint","mistral","v",,"ERR","353","17.3039215686275",,,,,
"endpoint_err_rate_all","endpoint","mistral","v",,"ERR","1373","44.8692810457516",,,,,
"err_breakdown","endpoint","mistral","v",,"timeout","34",,,,,,
"err_breakdown","endpoint","mistral","v",,"tls","20",,,,,,
"err_breakdown","endpoint","mistral","v",,"other","1319",,,,,,
"service_responsiveness_rate","overview","gemini","v",,,"123","1230",,,"10",,
"coverage","overview","gemini","v",,,"10",,,,"10","453","10"
