"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"music_v1","nonrag","claude","v","spotify__web_api_search","1","98","Spotify Web API Search","https://developer.spotify.com/documentation/web-api/reference/search","https://api.spotify.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","79","74"
"music_v1","nonrag","claude","v","deezer__search_api","2","96.5","Deezer API Search","https://developers.deezer.com/api/search","https://api.deezer.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","False","GET","200","207","18801"
"music_v1","nonrag","claude","v","apple_music__search","3","94","Apple Music API Search","https://developer.apple.com/documentation/applemusicapi/search_for_catalog_resources","https://api.music.apple.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:04Z","0.435","True","False","False","0","False","True","GET","401","47","0"
"music_v1","nonrag","claude","v","lastfm__search_api","4","91.5","Last.fm API Search","https://www.last.fm/api/show/track.search","https://ws.audioscrobbler.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:06Z","0.435","True","False","False","0","False","True","GET","403","135","85"
"music_v1","nonrag","claude","v","discogs__database_search","5","88","Discogs Database Search API","https://www.discogs.com/developers#page:database,header:database-search","https://api.discogs.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","True","GET","429","58","-1"
"music_v1","nonrag","claude","v","musicbrainz__hosted_search","6","85.5","MusicBrainz Web Service Search","https://musicbrainz.org/doc/MusicBrainz_API","https://musicbrainz.org","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","189","3855"
"music_v1","nonrag","claude","v","theaudiodb__music_search","7","82","TheAudioDB Music Metadata API","https://www.theaudiodb.com/api_guide.php","https://www.theaudiodb.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:09Z","0.291","True","False","False","0","False","False","GET","404","155","-1"
"music_v1","nonrag","claude","v","napster__metadata_api","8","78.5","Napster Metadata API","https://developer.napster.com/api/v2.2","https://api.napster.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:07Z","0.363","True","False","False","0","False","False","GET","401","75","53"
"music_v1","nonrag","claude","v","jamendo__music_api","9","75","Jamendo Music API","https://developer.jamendo.com/v3.0","https://api.jamendo.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","200","353","175"
"music_v1","nonrag","claude","v","soundcloud__api_search","10","71.5","SoundCloud API Search","https://developers.soundcloud.com/docs/api/reference","https://api.soundcloud.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","433","150"
"music_v1","nonrag","deepseek","v","spotify__search","1","100","Spotify Web API Search","https://developer.spotify.com/documentation/web-api/reference/search","https://api.spotify.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:08Z","0.435","True","False","False","0","False","True","GET","401","71","74"
"music_v1","nonrag","deepseek","v","apple_music__search","2","99.5","Apple Music API Search","https://developer.apple.com/documentation/applemusicapi","https://api.music.apple.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:04Z","0.435","True","False","False","0","False","True","GET","401","45","0"
"music_v1","nonrag","deepseek","v","deezer__search","3","99","Deezer API Search","https://developers.deezer.com/api/search","https://api.deezer.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:05Z","0.525","True","False","False","0","False","True","GET","200","176","65"
"music_v1","nonrag","deepseek","v","lastfm__track_search","4","98.5","Last.fm API Track Search","https://www.last.fm/api/show/track.search","https://ws.audioscrobbler.com/2.0/","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","400","59","160"
"music_v1","nonrag","deepseek","v","musicbrainz__search","5","98","MusicBrainz API Search","https://musicbrainz.org/doc/MusicBrainz_API","https://musicbrainz.org/ws/2/","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:07Z","0.291","True","False","False","0","False","False","GET","400","188","-1"
"music_v1","nonrag","deepseek","v","genius__search","6","97.5","Genius API Search","https://docs.genius.com/","https://api.genius.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:06Z","0.435","True","False","False","0","False","True","GET","401","149","113"
"music_v1","nonrag","deepseek","v","napster__search","7","97","Napster API Search","https://developer.napster.com/api/v2.2","https://api.napster.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","True","GET","401","70","53"
"music_v1","nonrag","deepseek","v","musixmatch__track_search","8","96.5","Musixmatch API Track Search","https://developer.musixmatch.com/documentation/api-reference/track-search","https://api.musixmatch.com/ws/1.1/","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","20","86"
"music_v1","nonrag","deepseek","v","soundcloud__search","9","96","SoundCloud API Search","https://developers.soundcloud.com/docs/api/guide#search","https://api.soundcloud.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","169","150"
"music_v1","nonrag","deepseek","v","discogs__search","10","95.5","Discogs API Search","https://www.discogs.com/developers/","https://api.discogs.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","True","GET","401","68","61"
"music_v1","nonrag","gemini","v","musixmatch__track_search","1","100","Musixmatch API Track Search","https://developer.musixmatch.com/documentation/api-reference/track-search","https://api.musixmatch.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","27","86"
"music_v1","nonrag","gemini","v","theaudiodb__search_track","2","100","TheAudioDB API Track Search (v1)","https://theaudiodb.com/api_guide.php","https://www.theaudiodb.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:09Z","0.291","True","False","False","0","False","False","GET","404","159","-1"
"music_v1","nonrag","gemini","v","musicbrainz__recording_search","3","100","MusicBrainz API Recording Search","https://musicbrainz.org/doc/Development/JSON_Web_Service","https://musicbrainz.org","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:07Z","0.291","True","False","False","0","False","False","GET","400","211","-1"
"music_v1","nonrag","gemini","v","apple_music__search","4","100","Apple Music API Search","https://developer.apple.com/documentation/applemusicapi/search_for_catalog_resources","https://api.music.apple.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:04Z","0.435","True","False","False","0","False","True","GET","401","73","0"
"music_v1","nonrag","gemini","v","spotify__search","5","95","Spotify Web API Search","https://developer.spotify.com/documentation/web-api/reference/search","https://api.spotify.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:08Z","0.435","True","False","False","0","False","True","GET","401","65","74"
"music_v1","nonrag","gemini","v","shazam__search_rapidapi","6","95","Shazam API (Unofficial via RapidAPI)","https://rapidapi.com/apidojo/api/shazam/","https://shazam.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:08Z","0.291","True","False","False","0","False","False","GET","429","62","-1"
"music_v1","nonrag","gemini","v","rapidapi_song_data__search","7","95","Song Data API (RapidAPI)","https://rapidapi.com/brianiscreative/api/song-data-api","song-data-api.p.rapidapi.com","0.25","False","0","False","True","False","False","2025-10-28T22:47:08Z","0.075","True","False","False","0","False","False","OPTIONS","ERR","1",
"music_v1","nonrag","gemini","v","deezer__search","8","90","Deezer API Search","https://developers.deezer.com/api/search","https://api.deezer.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:05Z","0.525","True","False","False","0","False","True","GET","200","175","65"
"music_v1","nonrag","gemini","v","lastfm__track_search","9","85","Last.fm API Track Search","https://www.last.fm/api/show/track.search","https://ws.audioscrobbler.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","200","58","151"
"music_v1","nonrag","gemini","v","rapidapi_music_api__search","10","85","Music API (RapidAPI)","https://rapidapi.com/apidojo/api/music-api","music-api.p.rapidapi.com","0.25","False","0","False","True","False","False","2025-10-28T22:47:08Z","0.075","True","False","False","0","False","False","OPTIONS","ERR","0",
"music_v1","nonrag","gpt","v","spotify__music_search","1","99.9","Spotify Web API â€” Search & Track/Artist Details","https://developer.spotify.com/documentation/web-api","https://api.spotify.com/v1","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","64","74"
"music_v1","nonrag","gpt","v","apple__itunes_search","2","99.5","Apple iTunes Search API â€” Music","https://developer.apple.com/library/archive/documentation/AudioVideo/Conceptual/iTuneSearchAPI/SearchExamples.html","https://itunes.apple.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:04Z","0.525","True","False","False","0","False","True","GET","200","70","42"
"music_v1","nonrag","gpt","v","deezer__search","3","98.6","Deezer API â€” Track Search","https://developers.deezer.com/api/search","https://api.deezer.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:05Z","0.525","True","False","False","0","False","True","GET","200","183","91"
"music_v1","nonrag","gpt","v","musixmatch__track_search","4","97.4","Musixmatch API â€” Track Search & Details","https://developer.musixmatch.com/documentation","https://api.musixmatch.com/ws/1.1","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","22","86"
"music_v1","nonrag","gpt","v","lastfm__track_search","5","96.1","Last.fm API â€” Track Search & Info","https://www.last.fm/api","https://ws.audioscrobbler.com/2.0","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","404","62","175"
"music_v1","nonrag","gpt","v","musicbrainz__ws2","6","94.8","MusicBrainz Web Service v2 â€” Hosted","https://musicbrainz.org/doc/Development/XML_Web_Service/Version_2","https://musicbrainz.org/ws/2","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","193","51091"
"music_v1","nonrag","gpt","v","discogs__database_search","7","93.2","Discogs API â€” Database Search & Release Details","https://www.discogs.com/developers#page:home,header:home","https://api.discogs.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","True","GET","401","57","85"
"music_v1","nonrag","gpt","v","napster__search","8","92.1","Napster API â€” Search & Track Metadata","https://developer.napster.com/api/v2.2","https://api.napster.com/v2.2","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","True","GET","405","65","63"
"music_v1","nonrag","gpt","v","theaudiodb__search","9","90.9","TheAudioDB â€” Music Database API","https://www.theaudiodb.com/api_guide.php","https://theaudiodb.com/api/v1/json","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:09Z","0.291","True","False","False","0","False","False","GET","404","223","-1"
"music_v1","nonrag","gpt","v","shazam__rapidapi_search","10","89.7","Shazam (RapidAPI) â€” Search & Track Details","https://rapidapi.com/apidojo/api/shazam/","https://shazam.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:08Z","0.291","True","False","False","0","False","False","GET","429","23","-1"
"music_v1","nonrag","mistral","v","musicbrainz__music_search","1","95","MusicBrainz API","https://musicbrainz.org/doc/MusicBrainz_API","https://musicbrainz.org","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:07Z","0.435","True","False","False","0","False","False","GET","200","256","47082"
"music_v1","nonrag","mistral","v","spotify__music_search","2","90","Spotify Web API","https://developer.spotify.com/documentation/web-api/","https://api.spotify.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","67","74"
"music_v1","nonrag","mistral","v","deezer__music_search","3","85","Deezer API","https://developers.deezer.com/api","https://api.deezer.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","False","GET","200","190","21"
"music_v1","nonrag","mistral","v","lastfm__music_search","4","80","Last.fm API","https://www.last.fm/api","https://ws.audioscrobbler.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:06Z","0.291","True","False","False","0","False","False","GET","400","77","160"
"music_v1","nonrag","mistral","v","itunes__music_search","5","75","iTunes Search API","https://affiliate.itunes.apple.com/resources/documentation/itunes-store-web-service-search-api/","https://itunes.apple.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:06Z","0.435","True","False","False","0","False","False","GET","200","487","164816"
"music_v1","nonrag","mistral","v","amazon_music__search","6","70","Amazon Music API","https://developer.amazon.com/docs/music/API_browse_search.html","https://music-api.amazon.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:04Z","0.363","True","False","False","0","False","False","GET","401","101","0"
