"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"120","1200",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","515","11"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","217","11.7297297297297",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1142","41.1531531531532",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1126",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"124","1240",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","517","21"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","250","9.95222929936306",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1506","39.968152866242",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","26",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1480",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"114","1140",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","397","13"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","234","14.828897338403",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1023","43.2192648922687",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","999",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"112","1120",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","473","23"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","360","16.1870503597122",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1472","44.1247002398082",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1462",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"118","1180",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","420","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","210","14.0939597315436",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","955","42.7293064876958",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","28",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","927",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"124","1240",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","527","19"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","118","6.0388945752303",,,,,
