"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"payments_v1","nonrag","claude","c","stripe__payment-intents-create","1","98.5","Stripe Payment Intents API","https://docs.stripe.com/api/payment_intents","https://api.stripe.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:01Z","0.435","True","False","False","False","True","0","GET","401","26","342"
"payments_v1","nonrag","claude","c","square__payments-create","2","96.8","Square Payments API","https://developer.squareup.com/reference/square/payments-api/create-payment","https://connect.squareup.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:00Z","0.435","True","False","False","False","True","0","GET","401","77","161"
"payments_v1","nonrag","claude","c","paypal__orders-create","3","94.5","PayPal Orders API v2","https://developer.paypal.com/docs/api/orders/v2/","https://api-m.paypal.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:59Z","0.345","True","False","False","False","True","0","GET","404","93","0"
"payments_v1","nonrag","claude","c","braintree__graphql-charge","4","92","Braintree GraphQL Payment API","https://graphql.braintreepayments.com/guides/transactions/","https://payments.sandbox.braintree-api.com","False","0.25","1","False","True","False","False","2025-10-28T22:53:57Z","0.525","True","False","False","False","True","0","GET","200","54","278"
"payments_v1","nonrag","claude","c","authorize-net__create-transaction","5","89.2","Authorize.Net Payment Gateway API","https://developer.authorize.net/api/reference/index.html","https://api.authorize.net","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:57Z","0.435","True","False","False","False","False","0","GET","200","74","144"
"payments_v1","nonrag","claude","c","paypal__payments-v1","6","85.5","PayPal Payments API v1 (Legacy)","https://developer.paypal.com/docs/api/payments/v1/","https://api-m.paypal.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","401","106","244"
"payments_v1","nonrag","claude","c","stripe__charges-create","7","82","Stripe Charges API","https://docs.stripe.com/api/charges","https://api.stripe.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:01Z","0.435","True","False","False","False","True","0","GET","401","28","342"
"payments_v1","nonrag","claude","c","square__payments-complete","8","78.5","Square Complete Payment API","https://developer.squareup.com/reference/square/payments-api/complete-payment","https://connect.squareup.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:54:00Z","0.345","True","False","False","False","True","0","GET","404","119","141"
"payments_v1","nonrag","claude","c","paypal__payouts-create","9","74","PayPal Payouts API","https://developer.paypal.com/docs/api/payments.payouts-batch/v1/","https://api-m.paypal.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:59Z","0.345","True","False","False","False","True","0","GET","404","106","0"
"payments_v1","nonrag","claude","c","stripe__payment-intents-confirm","10","70","Stripe Confirm Payment Intent API","https://docs.stripe.com/api/payment_intents/confirm","https://api.stripe.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:54:01Z","0.345","True","False","False","False","True","0","GET","404","23","234"
