"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"payments_v1","nonrag","claude","t","stripe","1","99","Stripe Payment Processing API","https://stripe.com/docs/api/payment_intents","https://api.stripe.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:01Z","0.435","True","False","False","False","True","0","GET","401","23","342"
"payments_v1","nonrag","claude","t","paypal-rest","2","97.5","PayPal REST API","https://developer.paypal.com/docs/api/orders/v2/","https://api-m.paypal.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:59Z","0.345","True","False","False","False","True","0","GET","404","101","0"
"payments_v1","nonrag","claude","t","square","3","96","Square Payments API","https://developer.squareup.com/docs/payments-api/overview","https://connect.squareup.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:00Z","0.435","True","False","False","False","True","0","GET","401","80","161"
"payments_v1","nonrag","claude","t","braintree","4","94.5","Braintree Payment API","https://developer.paypal.com/braintree/docs/reference/request/transaction/sale","https://api.braintreegateway.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:57Z","0.345","True","False","False","False","True","0","GET","404","98","-1"
"payments_v1","nonrag","claude","t","authorize-net","5","93","Authorize.Net Payment API","https://developer.authorize.net/api/reference/index.html#payment-transactions","https://api.authorize.net","False","0.25","1","False","True","False","False","2025-10-28T22:53:57Z","0.525","True","False","False","False","True","0","GET","200","70","144"
"payments_v1","nonrag","claude","t","adyen","6","91.5","Adyen Payments API","https://docs.adyen.com/api-explorer/Checkout/latest/post/payments","https://checkout-test.adyen.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:56Z","0.435","True","False","False","False","True","0","GET","401","165","-1"
"payments_v1","nonrag","claude","t","razorpay","7","89","Razorpay Payment API","https://razorpay.com/docs/api/payments/","https://api.razorpay.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:00Z","0.435","True","False","False","False","True","0","GET","401","260","110"
"payments_v1","nonrag","claude","t","mollie","8","87.5","Mollie Payments API","https://docs.mollie.com/reference/v2/payments-api/create-payment","https://api.mollie.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","401","197","193"
"payments_v1","nonrag","claude","t","checkout-com","9","85","Checkout.com Payments API","https://api-reference.checkout.com/#tag/Payments/operation/requestAPayment","https://api.checkout.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:57Z","0.435","True","False","False","False","True","0","GET","401","168","0"
"payments_v1","nonrag","claude","t","paystack","10","83","Paystack Payment API","https://paystack.com/docs/api/#transaction","https://api.paystack.co","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","401","226","201"
"payments_v1","nonrag","deepseek","t","stripe-payments","1","99.8","Stripe Payments API","https://stripe.com/docs/api/payment_intents","https://api.stripe.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:01Z","0.435","True","False","False","False","True","0","GET","401","32","342"
"payments_v1","nonrag","deepseek","t","paypal-orders","2","98.5","PayPal Orders API","https://developer.paypal.com/docs/api/orders/v2/","https://api.paypal.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:59Z","0.345","True","False","False","False","True","0","GET","404","155","0"
"payments_v1","nonrag","deepseek","t","square-payments","3","97.2","Square Payments API","https://developer.squareup.com/reference/square/payments-api","https://connect.squareup.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:00Z","0.435","True","False","False","False","True","0","GET","401","83","161"
"payments_v1","nonrag","deepseek","t","braintree-transactions","4","95.8","Braintree Transactions API","https://developer.paypal.com/braintree/docs/reference/response/transaction","https://api.braintreegateway.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:53:57Z","0.345","True","False","False","False","True","0","GET","404","97","-1"
"payments_v1","nonrag","deepseek","t","adyen-payments","5","94.3","Adyen Payments API","https://docs.adyen.com/api-explorer/#/Payment/v68/post/payments","https://checkout-test.adyen.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:56Z","0.435","True","False","False","False","True","0","GET","401","200","-1"
"payments_v1","nonrag","deepseek","t","authorize-net","6","92.7","Authorize.Net API","https://developer.authorize.net/api/reference/index.html#payment-transactions","https://api.authorize.net","False","0.25","1","False","True","False","False","2025-10-28T22:53:57Z","0.525","True","False","False","False","True","0","GET","200","76","144"
