"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"payments_v1","nonrag","claude","v","stripe_payments_api","1","99.2","Stripe Payment Intents API","https://docs.stripe.com/api/payment_intents","https://api.stripe.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:01Z","0.435","True","False","False","False","True","0","GET","401","27","342"
"payments_v1","nonrag","claude","v","square_payments_api","2","97.8","Square Payments API","https://developer.squareup.com/reference/square/payments-api","https://connect.squareup.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:54:00Z","0.435","True","False","False","False","True","0","GET","401","71","161"
"payments_v1","nonrag","claude","v","braintree_graphql_api","3","96.5","Braintree GraphQL Payments API","https://graphql.braintreepayments.com/guides/transactions/","https://payments.sandbox.braintree-api.com","False","0.25","1","False","True","False","False","2025-10-28T22:53:57Z","0.525","True","False","False","False","True","0","GET","200","49","278"
"payments_v1","nonrag","claude","v","adyen_checkout_api","4","95.1","Adyen Checkout API","https://docs.adyen.com/api-explorer/Checkout/latest/post/payments","https://checkout-test.adyen.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:56Z","0.435","True","False","False","False","True","0","GET","401","182","-1"
"payments_v1","nonrag","claude","v","paypal_orders_api","5","93.4","PayPal Orders API v2","https://developer.paypal.com/docs/api/orders/v2/","https://api-m.paypal.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","404","98","0"
"payments_v1","nonrag","claude","v","authorize_net_api","6","91.2","Authorize.Net Transaction API","https://developer.authorize.net/api/reference/index.html","https://api.authorize.net","False","0.25","1","False","True","False","False","2025-10-28T22:53:57Z","0.525","True","False","False","False","True","0","GET","200","75","144"
"payments_v1","nonrag","claude","v","paypal_payments_api_v1","7","88.7","PayPal Payments API v1 (Legacy)","https://developer.paypal.com/docs/api/payments/v1/","https://api.paypal.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","401","121","244"
"payments_v1","nonrag","claude","v","paypal_transaction_search","8","86.3","PayPal Transaction Search API","https://developer.paypal.com/docs/api/transaction-search/v1/","https://api-m.paypal.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","401","122","244"
"payments_v1","nonrag","claude","v","square_payments_v1","9","83.5","Square Payments API v1 (Legacy)","https://developer.squareup.com/reference/square/payments-api/v1-retrieve-payment","https://connect.squareup.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:54:00Z","0.291","True","False","False","False","False","0","GET","404","76","-1"
"payments_v1","nonrag","claude","v","paypal_payouts_api","10","79.8","PayPal Payouts API","https://developer.paypal.com/docs/api/payments.payouts-batch/v1/","https://api-m.paypal.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:53:59Z","0.435","True","False","False","False","True","0","GET","404","101","0"
