A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,c,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,deepseek,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
claude,t,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
deepseek,t,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,t,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,t,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,v,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,v,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
mistral,c,mistral,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
