"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"128","1280",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","522","19"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","223","11.7616033755274",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1171","41.1744022503516",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1155",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"131","1310",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","524","19"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","257","10.0469116497263",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1536","40.0312744331509",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","26",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1510",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"123","1230",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","400","11"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","242","15.0872817955112",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1044","43.3915211970075",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","24",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","1020",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"121","1210",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","481","18"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","364","15.9509202453988",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1505","43.9672801635992",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1495",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"125","1250",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","428","16"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","214","13.7886597938144",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","990","42.5257731958763",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","28",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","962",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"132","1320",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","534","15"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","124","6.23115577889447",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1119","37.4874371859297",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","10",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1109",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"116","1160",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","516","18"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","327","18.5584562996595",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1208","45.7056375331063",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1196",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"133","1330",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","479","17"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","291","11.3760750586396",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1570","40.9173833724264",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","9",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1561",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"125","1250",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","489","19"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","347","14.0827922077922",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1579","42.7218614718615",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","14",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1565",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"127","1270",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","451","14"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","382","16.6812227074236",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1527","44.4541484716157",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","48",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1469",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"131","1310",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","432","10"
"endpoint_err_rate_core","endpoint","deepseek","c",,"ERR","167","10.5830164765526",,,,,
"endpoint_err_rate_all","endpoint","deepseek","c",,"ERR","956","40.3886776510351",,,,,
"err_breakdown","endpoint","deepseek","c",,"timeout","36",,,,,,
"err_breakdown","endpoint","deepseek","c",,"tls","8",,,,,,
"err_breakdown","endpoint","deepseek","c",,"other","912",,,,,,
"service_responsiveness_rate","overview","mistral","v",,,"129","1290",,,"10",,
"coverage","overview","mistral","v",,,"10",,,,"10","514","10"
"endpoint_err_rate_core","endpoint","mistral","v",,"ERR","357","16.9194312796209",,,,,
"endpoint_err_rate_all","endpoint","mistral","v",,"ERR","1412","44.6129541864139",,,,,
"err_breakdown","endpoint","mistral","v",,"timeout","34",,,,,,
"err_breakdown","endpoint","mistral","v",,"tls","20",,,,,,
"err_breakdown","endpoint","mistral","v",,"other","1358",,,,,,
"service_responsiveness_rate","overview","gemini","v",,,"127","1270",,,"10",,
"coverage","overview","gemini","v",,,"10",,,,"10","467","20"
"endpoint_err_rate_core","endpoint","gemini","v",,"ERR","375","18.3463796477495",,,,,
"endpoint_err_rate_all","endpoint","gemini","v",,"ERR","1397","45.5642530984997",,,,,
"err_breakdown","endpoint","gemini","v",,"timeout","14",,,,,,
"err_breakdown","endpoint","gemini","v",,"other","1383",,,,,,
"service_responsiveness_rate","overview","mistral","t",,,"121","1210",,,"10",,
"coverage","overview","mistral","t",,,"10",,,,"10","560","23"
"endpoint_err_rate_core","endpoint","mistral","t",,"ERR","322","15.72265625",,,,,
"endpoint_err_rate_all","endpoint","mistral","t",,"ERR","1346","43.8151041666667",,,,,
"err_breakdown","endpoint","mistral","t",,"timeout","44",,,,,,
"err_breakdown","endpoint","mistral","t",,"tls","28",,,,,,
"err_breakdown","endpoint","mistral","t",,"other","1274",,,,,,
"service_responsiveness_rate","overview","gemini","c",,,"115","1150",,,"10",,
"coverage","overview","gemini","c",,,"10",,,,"10","464","15"
"endpoint_err_rate_core","endpoint","gemini","c",,"ERR","254","15.4126213592233",,,,,
"endpoint_err_rate_all","endpoint","gemini","c",,"ERR","1078","43.6084142394822",,,,,
"err_breakdown","endpoint","gemini","c",,"timeout","150",,,,,,
"err_breakdown","endpoint","gemini","c",,"other","928",,,,,,
"doc_size","docs","gpt","t",,,"534",,,,"641372","130400","4547526"
"doc_size","docs","claude","c",,,"594",,,,"857029","150826","4970092"
"doc_size","docs","deepseek","t",,,"500",,,,"561566","71063","4825270"
"doc_size","docs","claude","v",,,"595",,,,"805102","188064","5345795"
"doc_size","docs","gemini","t",,,"501",,,,"856440","265053","5345795"
"doc_size","docs","gpt","c",,,"603",,,,"668547","133390","4853417"
"doc_size","docs","mistral","c",,,"562",,,,"671764","172761","4827789"
