"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"quotes_v1","nonrag","claude","t","quotable-api","1","98","Quotable API","https://github.com/lukePeavey/quotable","https://api.quotable.io","False","0.25","0","False","True","False","False","2025-10-28T22:59:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"quotes_v1","nonrag","claude","t","zenquotes-api","2","96.5","ZenQuotes API","https://zenquotes.io/api","https://zenquotes.io","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:39Z","0.291","True","False","False","False","False","0","GET","429","95","-1"
"quotes_v1","nonrag","claude","t","api-ninjas-quotes","3","94","API Ninjas Quotes API","https://api-ninjas.com/api/quotes","https://api.api-ninjas.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:33Z","0.291","True","False","False","False","False","0","GET","400","52","29"
"quotes_v1","nonrag","claude","t","quotable-quotes-rapidapi","4","92","Quotable Quotes (RapidAPI)","https://rapidapi.com/martin.svoboda/api/quotable-quotes","https://quotable-quotes.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","False","False","0","GET","429","32","-1"
"quotes_v1","nonrag","claude","t","favqs-api","5","89.5","FavQs API","https://favqs.com/api","https://favqs.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","False","False","0","GET","200","112","349"
"quotes_v1","nonrag","claude","t","quotegarden-api","6","87","The Quote Garden API","https://pprathameshmore.github.io/QuoteGarden/","https://quote-garden.onrender.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:59:37Z","0.345","True","False","False","False","True","0","GET","429","54","6437"
"quotes_v1","nonrag","claude","t","theysaidso-api","7","84.5","They Said So Quotes API","https://theysaidso.com/api/","https://quotes.rest","False","0.25","0.64","False","True","False","False","2025-10-28T22:59:38Z","0.363","True","False","False","False","False","0","GET","401","91","-1"
"quotes_v1","nonrag","claude","t","quotable-pro","8","82","Famous Quotes API (RapidAPI)","https://rapidapi.com/armangokka/api/famous-quotes4","https://famous-quotes4.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","False","False","0","GET","429","33","-1"
"quotes_v1","nonrag","claude","t","forismatic-api","9","79.5","Forismatic Quote API","https://forismatic.com/en/api/","https://api.forismatic.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","False","False","0","GET","200","178","20"
"quotes_v1","nonrag","claude","t","quotesapi-quotable","10","76","Quotes API (quotesapi.net)","https://quotesapi.net/","https://api.quotesapi.net","False","0.25","0","False","True","False","False","2025-10-28T22:59:37Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"quotes_v1","nonrag","deepseek","t","quotable-api","1","99.8","Quotable API","https://github.com/lukePeavey/quotable","https://api.quotable.io","False","0.25","0","False","True","False","False","2025-10-28T22:59:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"quotes_v1","nonrag","deepseek","t","quotes-rest-api","2","98.5","Quotes REST API","https://rapidapi.com/martin.svoboda/api/quotes15/","https://quotes15.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","False","False","0","GET","429","34","-1"
"quotes_v1","nonrag","deepseek","t","famous-quotes-api","3","97.2","Famous Quotes API","https://rapidapi.com/amaanafzal033/api/famous-quotes/","https://famous-quotes4.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:34Z","0.291","True","False","False","False","False","0","GET","429","40","-1"
"quotes_v1","nonrag","deepseek","t","quote-garden-api","4","95.8","Quote Garden API","https://pprathameshmore.github.io/QuoteGarden/","https://quote-garden.onrender.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","False","False","0","GET","429","89","6931"
"quotes_v1","nonrag","deepseek","t","they-said-so-quotes","5","94.3","They Said So Quotes API","https://theysaidso.com/api/","https://quotes.rest","False","0.25","0.64","False","True","False","False","2025-10-28T22:59:38Z","0.363","True","False","False","False","False","0","GET","401","132","-1"
"quotes_v1","nonrag","deepseek","t","stoic-quotes-api","6","92.7","Stoic Quotes API","https://github.com/lnorm02/stoic-quotes-api","https://stoic-quotes.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:38Z","0.291","True","False","False","False","False","0","GET","404","51","6184"
"quotes_v1","nonrag","deepseek","t","programming-quotes-api","7","90.9","Programming Quotes API","https://programming-quotes-api.herokuapp.com/","https://programming-quotes-api.herokuapp.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","False","False","0","GET","404","281","548"
"quotes_v1","nonrag","deepseek","t","quote-api-free","8","89.2","Free Quote API","https://forum.freecodecamp.org/t/free-api-inspirational-quotes-json-with-code-examples/311373","https://type.fit","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:36Z","0.291","True","False","False","False","False","0","GET","404","214","4511"
"quotes_v1","nonrag","deepseek","t","inspiration-quotes-api","9","87.5","Inspirational Quotes API","https://rapidapi.com/yssmart/api/inspiration-quotes/","https://inspiration-quotes.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:35Z","0.291","True","False","False","False","False","0","GET","429","28","-1"
"quotes_v1","nonrag","deepseek","t","quotes-json-api","10","85.8","Quotes JSON API","https://github.com/benborgers/quotes-json","https://raw.githubusercontent.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","False","False","0","GET","404","26","14"
"quotes_v1","nonrag","gemini","t","quotable_io","1","100","Quotable API","https://github.com/lukePeavey/quotable","https://api.quotable.io","False","0.25","0","False","True","False","False","2025-10-28T22:59:36Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"quotes_v1","nonrag","gemini","t","zenquotes","2","100","ZenQuotes API","https://zenquotes.io/","https://zenquotes.io","False","0.25","0.8","False","True","False","False","2025-10-28T22:59:39Z","0.435","True","False","False","False","False","0","GET","200","108","167"
"quotes_v1","nonrag","gemini","t","forismatic","3","100","Forismatic API","https://forismatic.com/en/api/","https://api.forismatic.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","False","False","0","GET","200","190","20"
"quotes_v1","nonrag","gemini","t","favqs","4","100","FavQs API","https://favqs.com/api","https://favqs.com","False","0.25","0.8","False","True","False","False","2025-10-28T22:59:34Z","0.435","True","False","False","False","False","0","GET","200","132","420"
"quotes_v1","nonrag","gemini","t","theysaidso","5","100","They Said So Quotes API","https://theysaidso.com/api/","https://quotes.rest","False","0.25","0.64","False","True","False","False","2025-10-28T22:59:38Z","0.363","True","False","False","False","False","0","GET","401","89","-1"
"quotes_v1","nonrag","gemini","t","rapidapi_quotes_by_api_ninjas","6","100","Quotes by API-Ninjas (RapidAPI)","https://rapidapi.com/apininjas/api/quotes-by-api-ninjas","https://quotes-by-api-ninjas.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","False","False","0","GET","429","30","-1"
"quotes_v1","nonrag","gemini","t","rapidapi_daily_quotes","7","100","Daily Quotes (RapidAPI)","https://rapidapi.com/martin.svoboda/api/quotes15","https://quotes15.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","False","False","0","GET","429","29","-1"
"quotes_v1","nonrag","gemini","t","quotel_rapidapi","8","95","Quotel (RapidAPI)","https://rapidapi.com/jayprog/api/quotel","https://quotel.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:37Z","0.291","True","False","False","False","False","0","GET","429","30","-1"
"quotes_v1","nonrag","gemini","t","type_fit_quotes","9","90","Type.Fit Quotes API","https://type.fit/api/quotes","https://type.fit","False","0.25","0.48","False","True","False","False","2025-10-28T22:59:38Z","0.291","True","False","False","False","False","0","GET","404","200","4511"
