A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
gemini,c,gemini,t,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,c,mistral,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gemini,t,mistral,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,c,gpt,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,c,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,c,mistral,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,v,mistral,c,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
gpt,v,mistral,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
mistral,c,mistral,v,10,0.9,0.23541639942571427,,,0.2928968253968254,1.0
