"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"128","1280",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","528","12"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","227","11.7373319544984",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1194","41.158221302999",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","20",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1174",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"131","1310",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","530","12"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","261","10.0539291217257",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1559","40.0359527478172",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","30",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1529",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"123","1230",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","405","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","246","15.0550795593635",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1063","43.3700530395757",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","26",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","1037",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"121","1210",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","487","10"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","366","15.7622739018088",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1527","43.8415159345392",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1515",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"125","1250",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","434","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","216","13.6191677175284",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","1009","42.4127784783523",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","30",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","979",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"132","1320",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","541","10"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","126","6.26865671641791",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1131","37.5124378109453",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1119",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"116","1160",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","524","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","327","18.3707865168539",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1217","45.5805243445693",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1205",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"133","1330",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","485","11"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","293","11.286594761171",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1591","40.8577298407807",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","11",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1580",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"125","1250",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","496","15"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","349","13.9376996805112",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1601","42.6251331203408",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1585",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"127","1270",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","455","10"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","386","16.5523156089194",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1552","44.3682104059463",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","52",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1490",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"131","1310",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","438","10"
"endpoint_err_rate_core","endpoint","deepseek","c",,"ERR","171","10.6079404466501",,,,,
"endpoint_err_rate_all","endpoint","deepseek","c",,"ERR","977","40.4052936311001",,,,,
"err_breakdown","endpoint","deepseek","c",,"timeout","40",,,,,,
"err_breakdown","endpoint","deepseek","c",,"tls","8",,,,,,
"err_breakdown","endpoint","deepseek","c",,"other","929",,,,,,
"service_responsiveness_rate","overview","mistral","v",,,"129","1290",,,"10",,
"coverage","overview","mistral","v",,,"10",,,,"10","523","11"
"endpoint_err_rate_core","endpoint","mistral","v",,"ERR","359","16.8386491557223",,,,,
"endpoint_err_rate_all","endpoint","mistral","v",,"ERR","1425","44.5590994371482",,,,,
"err_breakdown","endpoint","mistral","v",,"timeout","34",,,,,,
"err_breakdown","endpoint","mistral","v",,"tls","22",,,,,,
"err_breakdown","endpoint","mistral","v",,"other","1369",,,,,,
"service_responsiveness_rate","overview","gemini","v",,,"127","1270",,,"10",,
"coverage","overview","gemini","v",,,"10",,,,"10","473","10"
