"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"realtimestock_v1","nonrag","claude","c","alpha_vantage__global_quote","1","98","Alpha Vantage Global Quote API","https://www.alphavantage.co/documentation/#latestprice","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","91","189"
"realtimestock_v1","nonrag","claude","c","finnhub__quote","2","96.5","Finnhub Stock Quote API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","204","6226"
"realtimestock_v1","nonrag","claude","c","twelve_data__quote","3","95","Twelve Data Quote Endpoint","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","90","291"
"realtimestock_v1","nonrag","claude","c","polygon__last_quote","4","93.5","Polygon.io Last Quote API","https://polygon.io/docs/stocks/get_v2_last_trade__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","87","101"
"realtimestock_v1","nonrag","claude","c","iex_cloud__quote","5","91.5","IEX Cloud Quote API","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"realtimestock_v1","nonrag","claude","c","marketstack__eod","6","89","Marketstack End-of-Day Data API","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","170","-1"
"realtimestock_v1","nonrag","claude","c","financial_modeling_prep__quote","7","87","Financial Modeling Prep Quote API","https://site.financialmodelingprep.com/developer/docs/#Stock-Quote","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","93","184"
"realtimestock_v1","nonrag","claude","c","yahoo_finance__quote","8","85","Yahoo Finance Quote API (Unofficial)","https://query1.finance.yahoo.com/v8/finance/chart/","https://query1.finance.yahoo.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:22:20Z","0.345","True","False","False","False","True","0","GET","404","70","108"
"realtimestock_v1","nonrag","claude","c","world_trading_data__stock","9","82.5","World Trading Data Stock Quote API","https://www.worldtradingdata.com/documentation#real-time-data","https://api.worldtradingdata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","75","655"
"realtimestock_v1","nonrag","claude","c","finage__stock_quote","10","80","Finage Stock Last Quote API","https://finage.co.uk/docs/api/stock-last-quote","https://api.finage.co.uk","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","True","0","GET","401","186","53"
"realtimestock_v1","nonrag","claude","t","alpha-vantage","1","98.5","Alpha Vantage Stock API","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","105","189"
"realtimestock_v1","nonrag","claude","t","finnhub","2","97","Finnhub Stock API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","219","6226"
"realtimestock_v1","nonrag","claude","t","twelve-data","3","96.5","Twelve Data Stock API","https://twelvedata.com/docs","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","114","291"
"realtimestock_v1","nonrag","claude","t","iex-cloud","4","94.5","IEX Cloud Stock API","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","claude","t","polygon-io","5","92.5","Polygon.io Stock API","https://polygon.io/docs/stocks/get_v2_last_trade__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","88","101"
"realtimestock_v1","nonrag","claude","t","marketstack","6","90","Marketstack Stock API","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:16Z","0.435","True","False","False","False","False","0","GET","200","174","193"
"realtimestock_v1","nonrag","claude","t","finage","7","88.5","Finage Stock Market API","https://finage.co.uk/docs/api/stock-market-aggregates-api","https://api.finage.co.uk","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","178","53"
"realtimestock_v1","nonrag","claude","t","fmp-cloud","8","86","Financial Modeling Prep API","https://site.financialmodelingprep.com/developer/docs","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","102","184"
"realtimestock_v1","nonrag","claude","t","world-trading-data","9","83.5","World Trading Data API","https://www.worldtradingdata.com/documentation","https://api.worldtradingdata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","63","655"
"realtimestock_v1","nonrag","claude","t","tradier","10","81","Tradier Market Data API","https://documentation.tradier.com/brokerage-api/markets/get-quotes","https://api.tradier.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","93","20"
"realtimestock_v1","nonrag","claude","v","alphavantage__quote","1","98","Alpha Vantage Global Quote","https://www.alphavantage.co/documentation/#latestprice","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","189","26"
"realtimestock_v1","nonrag","claude","v","finnhub__quote","2","96.5","Finnhub Stock Quote API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","258","6226"
"realtimestock_v1","nonrag","claude","v","iex_cloud__quote","3","95","IEX Cloud Stock Quote","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","claude","v","polygon_io__last_quote","4","93.5","Polygon.io Last Quote & Snapshot","https://polygon.io/docs/stocks/get_v2_snapshot_locale_us_markets_stocks_tickers__stocksticker","https://api.polygon.io","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:17Z","0.363","True","False","False","False","False","0","GET","401","85","92"
"realtimestock_v1","nonrag","claude","v","twelve_data__quote","5","91","Twelve Data Real-Time Quote","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","115","291"
"realtimestock_v1","nonrag","claude","v","marketstack__eod","6","88.5","Marketstack Real-Time & EOD Quotes","https://marketstack.com/documentation#eod","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","152","-1"
"realtimestock_v1","nonrag","claude","v","finage__last_quote","7","86","Finage Stock Last Quote","https://finage.co.uk/docs/api/stock-market-last-quote","https://api.finage.co.uk","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","246","74"
"realtimestock_v1","nonrag","claude","v","worldtradingdata__real_time","8","83.5","Financial Modeling Prep Quote API","https://site.financialmodelingprep.com/developer/docs/#Stock-Quote","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","98","184"
"realtimestock_v1","nonrag","claude","v","tradier__quotes","9","80","Tradier Market Data Quotes API","https://documentation.tradier.com/brokerage-api/markets/get-quotes","https://api.tradier.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","88","20"
"realtimestock_v1","nonrag","claude","v","eod_historical__real_time","10","77.5","EOD Historical Data Real-Time API","https://eodhistoricaldata.com/financial-apis/live-realtime-stocks-api/","https://eodhistoricaldata.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:14Z","0.363","True","False","False","False","False","0","GET","401","61","-1"
"realtimestock_v1","nonrag","deepseek","c","alphavantage__global-quote","1","99.3","Alpha Vantage Global Quote","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","93","189"
"realtimestock_v1","nonrag","deepseek","c","yahoo_finance__v8_quote","2","97.5","Yahoo Finance API v8","https://www.yahoofinanceapi.com/","https://yfapi.net","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:20Z","0.435","True","False","False","False","True","0","GET","403","233","103"
