"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"realtimestock_v1","nonrag","claude","c","alpha_vantage__global_quote","1","98","Alpha Vantage Global Quote API","https://www.alphavantage.co/documentation/#latestprice","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","91","189"
"realtimestock_v1","nonrag","claude","c","finnhub__quote","2","96.5","Finnhub Stock Quote API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","204","6226"
"realtimestock_v1","nonrag","claude","c","twelve_data__quote","3","95","Twelve Data Quote Endpoint","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","90","291"
"realtimestock_v1","nonrag","claude","c","polygon__last_quote","4","93.5","Polygon.io Last Quote API","https://polygon.io/docs/stocks/get_v2_last_trade__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","87","101"
"realtimestock_v1","nonrag","claude","c","iex_cloud__quote","5","91.5","IEX Cloud Quote API","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"realtimestock_v1","nonrag","claude","c","marketstack__eod","6","89","Marketstack End-of-Day Data API","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","170","-1"
"realtimestock_v1","nonrag","claude","c","financial_modeling_prep__quote","7","87","Financial Modeling Prep Quote API","https://site.financialmodelingprep.com/developer/docs/#Stock-Quote","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","93","184"
"realtimestock_v1","nonrag","claude","c","yahoo_finance__quote","8","85","Yahoo Finance Quote API (Unofficial)","https://query1.finance.yahoo.com/v8/finance/chart/","https://query1.finance.yahoo.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:22:20Z","0.345","True","False","False","False","True","0","GET","404","70","108"
"realtimestock_v1","nonrag","claude","c","world_trading_data__stock","9","82.5","World Trading Data Stock Quote API","https://www.worldtradingdata.com/documentation#real-time-data","https://api.worldtradingdata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","75","655"
"realtimestock_v1","nonrag","claude","c","finage__stock_quote","10","80","Finage Stock Last Quote API","https://finage.co.uk/docs/api/stock-last-quote","https://api.finage.co.uk","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","True","0","GET","401","186","53"
"realtimestock_v1","nonrag","deepseek","c","alphavantage__global-quote","1","99.3","Alpha Vantage Global Quote","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","93","189"
"realtimestock_v1","nonrag","deepseek","c","yahoo_finance__v8_quote","2","97.5","Yahoo Finance API v8","https://www.yahoofinanceapi.com/","https://yfapi.net","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:20Z","0.435","True","False","False","False","True","0","GET","403","233","103"
"realtimestock_v1","nonrag","deepseek","c","twelvedata__quote","3","95.2","Twelve Data Quote API","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","91","291"
"realtimestock_v1","nonrag","deepseek","c","finnhub__quote","4","92.8","Finnhub Stock Quote","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","230","6226"
"realtimestock_v1","nonrag","deepseek","c","iex_cloud__quote","5","89.6","IEX Cloud Quote","https://iexcloud.io/docs/core/QUOTE","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","deepseek","c","polygon__last-quote","6","86.3","Polygon.io Last Quote","https://polygon.io/docs/stocks/get_v2_last_nbbo__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","115","101"
"realtimestock_v1","nonrag","deepseek","c","marketstack__ticker","7","82.9","Marketstack Real-time Quotes","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","358","-1"
"realtimestock_v1","nonrag","deepseek","c","financialmodelingprep__quote","8","79.4","Financial Modeling Prep Quote","https://site.financialmodelingprep.com/developer/docs/stock-quote-api/","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","97","184"
"realtimestock_v1","nonrag","deepseek","c","tradermade__live_quotes","9","75.8","TraderMade Live Quotes","https://tradermade.com/documentation#live_quotes","https://marketdata.tradermade.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:22:19Z","0.345","True","False","False","False","True","0","GET","400","199","140"
"realtimestock_v1","nonrag","deepseek","c","barchart__getQuote","10","72.1","Barchart Quote API","https://www.barchart.com/ondemand/api/getQuote","https://ondemand.websol.barchart.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:14Z","0.435","True","False","False","False","True","0","GET","401","227","-1"
"realtimestock_v1","nonrag","gemini","c","alphavantage__quote_endpoint","1","100","Alpha Vantage","https://www.alphavantage.co/documentation/#quoteendpoint","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","108","189"
"realtimestock_v1","nonrag","gemini","c","finnhub__quote","2","100","Finnhub","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","208","6226"
"realtimestock_v1","nonrag","gemini","c","fmp__quote_v3","3","95","Financial Modeling Prep (FMP)","https://site.financialmodelingprep.com/developer/docs/#Stock-Price","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","100","184"
"realtimestock_v1","nonrag","gemini","c","twelvedata__quote","4","95","Twelve Data","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","107","291"
"realtimestock_v1","nonrag","gemini","c","iexcloud__quote","5","90","IEX Cloud","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"realtimestock_v1","nonrag","gemini","c","polygon__snapshot_ticker","6","90","Polygon.io","https://polygon.io/docs/stocks/get_v2_snapshot_locale_us_markets_stocks_tickers__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","86","101"
"realtimestock_v1","nonrag","gemini","c","marketstack__eod","7","85","Marketstack","https://marketstack.com/documentation#eod_data","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","181","-1"
"realtimestock_v1","nonrag","gemini","c","tiingo__iex_quote","8","85","Tiingo","https://api.tiingo.com/documentation/iex","https://api.tiingo.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","403","320","34"
"realtimestock_v1","nonrag","gemini","c","eodhd__real_time","9","80","EOD Historical Data (EODHD)","https://eodhistoricaldata.com/financial-apis/stock-real-time-api/","https://eodhistoricaldata.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:14Z","0.363","True","False","False","False","False","0","GET","401","53","-1"
"realtimestock_v1","nonrag","gemini","c","rapidapi__yahoo_finance","10","80","Yahoo Finance (via RapidAPI)","https://rapidapi.com/sparior/api/yahoo-finance15","https://yahoo-finance15.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T23:22:17Z","0.291","True","False","False","False","False","0","GET","429","32","-1"
"realtimestock_v1","nonrag","gpt","c","alpha-vantage__global-quote_quotes","1","100","Alpha Vantage â€” Global Quote","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","244","26"
