"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"realtimestock_v1","nonrag","claude","t","alpha-vantage","1","98.5","Alpha Vantage Stock API","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","105","189"
"realtimestock_v1","nonrag","claude","t","finnhub","2","97","Finnhub Stock API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","219","6226"
"realtimestock_v1","nonrag","claude","t","twelve-data","3","96.5","Twelve Data Stock API","https://twelvedata.com/docs","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","114","291"
"realtimestock_v1","nonrag","claude","t","iex-cloud","4","94.5","IEX Cloud Stock API","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","claude","t","polygon-io","5","92.5","Polygon.io Stock API","https://polygon.io/docs/stocks/get_v2_last_trade__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","88","101"
"realtimestock_v1","nonrag","claude","t","marketstack","6","90","Marketstack Stock API","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:16Z","0.435","True","False","False","False","False","0","GET","200","174","193"
"realtimestock_v1","nonrag","claude","t","finage","7","88.5","Finage Stock Market API","https://finage.co.uk/docs/api/stock-market-aggregates-api","https://api.finage.co.uk","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","178","53"
"realtimestock_v1","nonrag","claude","t","fmp-cloud","8","86","Financial Modeling Prep API","https://site.financialmodelingprep.com/developer/docs","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","102","184"
"realtimestock_v1","nonrag","claude","t","world-trading-data","9","83.5","World Trading Data API","https://www.worldtradingdata.com/documentation","https://api.worldtradingdata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","63","655"
"realtimestock_v1","nonrag","claude","t","tradier","10","81","Tradier Market Data API","https://documentation.tradier.com/brokerage-api/markets/get-quotes","https://api.tradier.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","93","20"
