"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"realtimestock_v1","nonrag","claude","v","alphavantage__quote","1","98","Alpha Vantage Global Quote","https://www.alphavantage.co/documentation/#latestprice","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","189","26"
"realtimestock_v1","nonrag","claude","v","finnhub__quote","2","96.5","Finnhub Stock Quote API","https://finnhub.io/docs/api/quote","https://finnhub.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","200","258","6226"
"realtimestock_v1","nonrag","claude","v","iex_cloud__quote","3","95","IEX Cloud Stock Quote","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","claude","v","polygon_io__last_quote","4","93.5","Polygon.io Last Quote & Snapshot","https://polygon.io/docs/stocks/get_v2_snapshot_locale_us_markets_stocks_tickers__stocksticker","https://api.polygon.io","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:17Z","0.363","True","False","False","False","False","0","GET","401","85","92"
"realtimestock_v1","nonrag","claude","v","twelve_data__quote","5","91","Twelve Data Real-Time Quote","https://twelvedata.com/docs#quote","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","115","291"
"realtimestock_v1","nonrag","claude","v","marketstack__eod","6","88.5","Marketstack Real-Time & EOD Quotes","https://marketstack.com/documentation#eod","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","152","-1"
"realtimestock_v1","nonrag","claude","v","finage__last_quote","7","86","Finage Stock Last Quote","https://finage.co.uk/docs/api/stock-market-last-quote","https://api.finage.co.uk","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","246","74"
"realtimestock_v1","nonrag","claude","v","worldtradingdata__real_time","8","83.5","Financial Modeling Prep Quote API","https://site.financialmodelingprep.com/developer/docs/#Stock-Quote","https://financialmodelingprep.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","98","184"
"realtimestock_v1","nonrag","claude","v","tradier__quotes","9","80","Tradier Market Data Quotes API","https://documentation.tradier.com/brokerage-api/markets/get-quotes","https://api.tradier.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","88","20"
"realtimestock_v1","nonrag","claude","v","eod_historical__real_time","10","77.5","EOD Historical Data Real-Time API","https://eodhistoricaldata.com/financial-apis/live-realtime-stocks-api/","https://eodhistoricaldata.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:14Z","0.363","True","False","False","False","False","0","GET","401","61","-1"
"realtimestock_v1","nonrag","deepseek","v","alphavantage__global_quote","1","100","Alpha Vantage Global Quote","https://www.alphavantage.co/documentation/","https://www.alphavantage.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:13Z","0.435","True","False","False","False","False","0","GET","200","161","189"
"realtimestock_v1","nonrag","deepseek","v","twelvedata__quote","2","99.5","Twelve Data Quote API","https://twelvedata.com/docs","https://api.twelvedata.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:19Z","0.435","True","False","False","False","False","0","GET","200","102","291"
"realtimestock_v1","nonrag","deepseek","v","finnhub__quote","3","99","Finnhub Stock Quote","https://finnhub.io/docs/api/quote","https://finnhub.io/api/v1","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:15Z","0.435","True","False","False","False","False","0","GET","401","113","28"
"realtimestock_v1","nonrag","deepseek","v","yahoo_finance__v8","4","98.5","Yahoo Finance API v8","https://www.yahoofinanceapi.com/","https://yfapi.net","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:20Z","0.435","True","False","False","False","True","0","GET","403","239","84"
"realtimestock_v1","nonrag","deepseek","v","polygon__last_quote","5","98","Polygon.io Last Quote","https://polygon.io/docs/stocks/get_v2_last_nbbo__stocksticker","https://api.polygon.io","False","0.25","0.8","False","True","False","False","2025-10-28T23:22:17Z","0.435","True","False","False","False","True","0","GET","401","82","101"
"realtimestock_v1","nonrag","deepseek","v","iex_cloud__quote","6","97.5","IEX Cloud Quote","https://iexcloud.io/docs/api/#quote","https://cloud.iexapis.com","False","0.25","0","False","True","False","False","2025-10-28T23:22:16Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","0",
"realtimestock_v1","nonrag","deepseek","v","marketstack__ticker","7","97","Marketstack Real-Time","https://marketstack.com/documentation","https://api.marketstack.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:16Z","0.363","True","False","False","False","False","0","GET","401","179","-1"
"realtimestock_v1","nonrag","deepseek","v","financialmodelingprep__quote","8","96.5","Financial Modeling Prep Quote","https://site.financialmodelingprep.com/developer/docs/","https://financialmodelingprep.com/api/v3","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:15Z","0.363","True","False","False","False","False","0","GET","401","95","184"
"realtimestock_v1","nonrag","deepseek","v","tradier__quotes","9","96","Tradier Market Data","https://documentation.tradier.com/brokerage-api/markets/get-quotes","https://api.tradier.com","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:19Z","0.363","True","False","False","False","False","0","GET","401","90","20"
"realtimestock_v1","nonrag","deepseek","v","eodhistoricaldata__real_time","10","95.5","EOD Historical Data Real-Time","https://eodhistoricaldata.com/financial-apis/real-time-data-for-stocks-etfs-mutual-funds/","https://eodhistoricaldata.com/api","False","0.25","0.64","False","True","False","False","2025-10-28T23:22:14Z","0.363","True","False","False","False","False","0","GET","401","46","-1"
