A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.15934958341714284,-0.462017659251589,-0.3244428422615251,0.288968253968254,0.26666666666666666
claude,c,claude,v,10,0.9,0.31227173004857145,-0.0303030303030303,0.022222222222222223,0.5586507936507936,0.8
claude,c,deepseek,c,10,0.9,0.3973950704442856,0.5573270251522321,0.406299600146696,0.6634920634920636,0.5833333333333334
claude,c,deepseek,t,10,0.9,0.13531313608714285,-0.352738623514071,-0.1562690769794985,0.2828571428571428,0.5833333333333334
claude,c,deepseek,v,10,0.9,0.06682867763142858,-0.8113480845393758,-0.6488856845230502,0.14357142857142854,0.26666666666666666
claude,c,gemini,c,10,0.9,0.0,-0.8525978400882076,-0.6908492797077574,0.0,0.0
claude,c,gemini,t,10,0.9,0.06741929885142856,-0.6840908532983777,-0.5312127152597306,0.13246031746031744,0.14285714285714285
claude,c,gemini,v,10,0.9,0.06893318399142856,-0.6095238095238094,-0.4777777777777778,0.14607142857142857,0.2
claude,c,gpt,c,10,0.9,0.10860779885142857,-0.27589669814188345,-0.24343224778007386,0.19412698412698412,0.2
claude,c,gpt,t,10,0.9,0.24127607287285716,-0.2504444226949904,-0.1562690769794985,0.44214285714285706,0.5833333333333334
claude,c,gpt,v,10,0.9,0.22990927159285715,-0.17273842613655874,-0.08436184470725518,0.406031746031746,0.35714285714285715
claude,c,mistral,c,10,0.9,0.40729736162285707,0.10582158705422129,0.06250763079179938,0.6129761904761905,0.5833333333333334
claude,c,mistral,t,10,0.9,0.01463588514,-0.8215278697553227,-0.6601293441350281,0.03361111111111111,0.0625
claude,c,mistral,v,10,0.9,0.036863784565714285,-0.7226473734433344,-0.5653009971610738,0.0815079365079365,0.11764705882352941
claude,t,claude,v,10,0.9,0.1945593721671428,-0.34933042528778685,-0.2595542738092201,0.33813492063492057,0.26666666666666666
claude,t,deepseek,c,10,0.9,0.16170990316714284,-0.41550387596899224,-0.3047619047619048,0.28535714285714286,0.25
claude,t,deepseek,t,10,0.9,0.10801717763142855,-0.4201550387596899,-0.3047619047619048,0.20523809523809522,0.25
claude,t,deepseek,v,10,0.9,0.3108420074828571,0.03595505617977528,0.011764705882352941,0.5049206349206349,0.42857142857142855
claude,t,gemini,c,10,0.9,0.10336290316714285,-0.48525193044577464,-0.3782443430757201,0.2070238095238095,0.3076923076923077
claude,t,gemini,t,10,0.9,0.1446800977028571,-0.2237389140378721,-0.14547859349066158,0.2815873015873016,0.3076923076923077
claude,t,gemini,v,10,0.9,0.12278175730714286,-0.31820236393576606,-0.22898214991969265,0.2517460317460317,0.35714285714285715
claude,t,gpt,c,10,0.9,0.0,-0.7285457394511081,-0.6030226891555273,0.0,0.0
claude,t,gpt,t,10,0.9,0.3078879828428571,0.05555555555555557,0.03157894736842106,0.5018650793650793,0.3333333333333333
claude,t,gpt,v,10,0.9,0.25671787216714287,-0.15193798449612403,-0.13333333333333336,0.40480158730158733,0.25
claude,t,mistral,c,10,0.9,0.13501717763142854,-0.4868217054263566,-0.380952380952381,0.23857142857142857,0.25
claude,t,mistral,t,10,0.9,0.3306600834171428,0.1503518256692481,0.07465089026901592,0.503968253968254,0.2857142857142857
claude,t,mistral,v,10,0.9,0.14547158341714284,-0.19844961240310077,-0.1523809523809524,0.2756349206349206,0.25
claude,v,deepseek,c,10,0.9,0.2715451567328571,0.05602438712106786,0.0408248290463863,0.47297619047619044,0.46153846153846156
claude,v,deepseek,t,10,0.9,0.15564264244714282,-0.2549109614008587,-0.2041241452319315,0.3103571428571429,0.46153846153846156
claude,v,deepseek,v,10,0.9,0.09577088888142857,-0.6986608505755737,-0.5407380704358752,0.1927380952380952,0.26666666666666666
claude,v,gemini,c,10,0.9,0.0,-0.8525978400882076,-0.6908492797077574,0.0,0.0
claude,v,gemini,t,10,0.9,0.06741929885142856,-0.6168819273602915,-0.4515308079707709,0.13246031746031744,0.14285714285714285
claude,v,gemini,v,10,0.9,0.07607647274142855,-0.5676190476190475,-0.43333333333333335,0.15357142857142858,0.2
claude,v,gpt,c,10,0.9,0.059827284565714275,-0.5592500638011151,-0.4868644955601477,0.11817460317460318,0.2
claude,v,gpt,t,10,0.9,0.27519436162285715,-0.20458840163816114,-0.1562690769794985,0.4746428571428572,0.5833333333333334
claude,v,gpt,v,10,0.9,0.22612875730714282,-0.2500161430923876,-0.1807753815155468,0.3800793650793651,0.35714285714285715
claude,v,mistral,c,10,0.9,0.2926614764828571,-0.04481950969685428,-0.0408248290463863,0.47936507936507927,0.46153846153846156
claude,v,mistral,t,10,0.9,0.008657173890000001,-0.8461245125623683,-0.6810858312504259,0.021111111111111112,0.0625
claude,v,mistral,v,10,0.9,0.030885073315714284,-0.7146030613085291,-0.5473549337591349,0.0690079365079365,0.11764705882352941
deepseek,c,deepseek,t,10,0.9,0.3892396255428571,0.01818181818181818,0.19999999999999998,0.6193650793650793,1.0
deepseek,c,deepseek,v,10,0.9,0.12665596219714284,-0.6898876404494381,-0.45882352941176474,0.2617460317460317,0.42857142857142855
deepseek,c,gemini,c,10,0.9,0.032069399425714275,-0.7570725954151835,-0.606932736749943,0.06456349206349207,0.0625
deepseek,c,gemini,t,10,0.9,0.06741929885142856,-0.6370920211290072,-0.47937644619880754,0.13246031746031744,0.13333333333333333
deepseek,c,gemini,v,10,0.9,0.06741929885142856,-0.6287970652039403,-0.4935167435533184,0.13246031746031744,0.11764705882352941
deepseek,c,gpt,c,10,0.9,0.13541639942571423,-0.24826602215210894,-0.20380986614602722,0.1928968253968254,0.08333333333333333
deepseek,c,gpt,t,10,0.9,0.17634578830714284,-0.30740740740740746,-0.24210526315789477,0.318968253968254,0.3333333333333333
deepseek,c,gpt,v,10,0.9,0.17993490316714283,-0.26666666666666666,-0.2285714285714286,0.3103571428571429,0.25
deepseek,c,mistral,c,10,0.9,0.2764122883071428,-0.051851851851851864,-0.03157894736842106,0.4439682539682539,0.3333333333333333
deepseek,c,mistral,t,10,0.9,0.0,-0.8535576060794187,-0.6885303726590963,0.0,0.0
deepseek,c,mistral,v,10,0.9,0.022227899425714286,-0.7745098039215688,-0.6148148148148148,0.047896825396825396,0.05263157894736842
deepseek,t,deepseek,v,10,0.9,0.1861981567328571,-0.2044943820224719,-0.03529411764705882,0.3613095238095238,0.42857142857142855
deepseek,t,gemini,c,10,0.9,0.045191399425714276,-0.6871889712230126,-0.543045080249949,0.08456349206349206,0.0625
deepseek,t,gemini,t,10,0.9,0.030885073315714284,-0.7376854981493769,-0.5729133137497944,0.0690079365079365,0.13333333333333333
deepseek,t,gemini,v,10,0.9,0.05384857331571428,-0.6649964698105637,-0.5294088703571961,0.10567460317460317,0.11764705882352941
deepseek,t,gpt,c,10,0.9,0.13541639942571423,-0.24826602215210894,-0.20380986614602722,0.1928968253968254,0.08333333333333333
deepseek,t,gpt,t,10,0.9,0.09458656277142856,-0.38518518518518524,-0.24210526315789477,0.19718253968253968,0.3333333333333333
deepseek,t,gpt,v,10,0.9,0.10893735788142857,-0.36899224806201547,-0.2666666666666667,0.2121825396825397,0.25
deepseek,t,mistral,c,10,0.9,0.06311086823571428,-0.562962962962963,-0.36842105263157904,0.1392857142857143,0.3333333333333333
deepseek,t,mistral,t,10,0.9,0.0,-0.8535576060794187,-0.6885303726590963,0.0,0.0
deepseek,t,mistral,v,10,0.9,0.022227899425714286,-0.7274509803921569,-0.5703703703703704,0.047896825396825396,0.05263157894736842
deepseek,v,gemini,c,10,0.9,0.09948869827714284,-0.45328037233273455,-0.3111377873050389,0.19702380952380952,0.21428571428571427
deepseek,v,gemini,t,10,0.9,0.05429729885142857,-0.6548438111914254,-0.47937644619880754,0.11246031746031745,0.13333333333333333
deepseek,v,gemini,v,10,0.9,0.08979217763142856,-0.5352643613280605,-0.38933141071383015,0.18023809523809523,0.26666666666666666
deepseek,v,gpt,c,10,0.9,0.0,-0.7285457394511081,-0.6030226891555273,0.0,0.0
deepseek,v,gpt,t,10,0.9,0.2105841080571428,-0.4148148148148149,-0.3263157894736843,0.34535714285714286,0.3333333333333333
deepseek,v,gpt,v,10,0.9,0.17017567763142852,-0.4976744186046511,-0.41904761904761906,0.2719047619047619,0.25
deepseek,v,mistral,c,10,0.9,0.03981780920571428,-0.7921052631578949,-0.6434782608695653,0.08456349206349208,0.17647058823529413
deepseek,v,mistral,t,10,0.9,0.2931234031671428,0.10640283047362174,0.02488363008967197,0.4553571428571429,0.2857142857142857
deepseek,v,mistral,v,10,0.9,0.16677930259285714,-0.12962962962962965,-0.11578947368421054,0.31658730158730164,0.3333333333333333
gemini,c,gemini,t,10,0.9,0.15890219827714283,-0.2761904761904762,-0.22448979591836735,0.28369047619047616,0.2727272727272727
gemini,c,gemini,v,10,0.9,0.032069399425714275,-0.8021604481360455,-0.6486749731408025,0.06456349206349207,0.06666666666666667
gemini,c,gpt,c,10,0.9,0.0,-0.7926165058897369,-0.6614378277661477,0.0,0.0
gemini,c,gpt,t,10,0.9,0.032069399425714275,-0.7021640335499064,-0.5430450802499489,0.06456349206349207,0.0625
gemini,c,gpt,v,10,0.9,0.032069399425714275,-0.6821972837807148,-0.521749194749951,0.06456349206349207,0.0625
gemini,c,mistral,c,10,0.9,0.06341639942571428,-0.6472554716846294,-0.521749194749951,0.10956349206349207,0.0625
gemini,c,mistral,t,10,0.9,0.16441898284285714,-0.4677122343184881,-0.302407368379503,0.32019841269841265,0.5
gemini,c,mistral,v,10,0.9,0.05429729885142857,-0.7376854981493769,-0.5729133137497944,0.11246031746031745,0.13333333333333333
gemini,t,gemini,v,10,0.9,0.2753579971285714,-0.13522789667819543,-0.11664236870396086,0.4628174603174603,0.45454545454545453
gemini,t,gpt,c,10,0.9,0.13541639942571423,-0.22868879833830452,-0.22131333406899525,0.1928968253968254,0.1111111111111111
gemini,t,gpt,t,10,0.9,0.09948869827714284,-0.4437875896660804,-0.25928148942086576,0.19702380952380952,0.21428571428571427
gemini,t,gpt,v,10,0.9,0.09948869827714284,-0.48650511166602395,-0.3370659362471255,0.19702380952380952,0.21428571428571427
gemini,t,mistral,c,10,0.9,0.06741929885142856,-0.6292023366568213,-0.4793764461988076,0.13246031746031744,0.13333333333333333
gemini,t,mistral,t,10,0.9,0.13712168399142857,-0.3506131866106276,-0.2760262237369417,0.24107142857142855,0.25
gemini,t,mistral,v,10,0.9,0.06893318399142856,-0.7095855043323959,-0.5704192767259046,0.14607142857142857,0.21428571428571427
gemini,v,gpt,c,10,0.9,0.23541639942571427,-0.14486000540427493,-0.15713484026367722,0.2928968253968254,0.09090909090909091
gemini,v,gpt,t,10,0.9,0.13155809770285712,-0.2760837232113154,-0.23792475099178506,0.2615873015873016,0.26666666666666666
gemini,v,gpt,v,10,0.9,0.08518237216714285,-0.4357239713267019,-0.3244428422615251,0.18146825396825395,0.26666666666666666
gemini,v,mistral,c,10,0.9,0.06295447274142857,-0.5863687105895891,-0.4511755795246498,0.13357142857142856,0.1875
gemini,v,mistral,t,10,0.9,0.08591797274142855,-0.4772664363136456,-0.33137828225747806,0.17023809523809524,0.21428571428571427
gemini,v,mistral,v,10,0.9,0.16800675730714285,-0.38411571075103185,-0.3012923025259113,0.31007936507936507,0.35714285714285715
gpt,c,gpt,t,10,0.9,0.10505228456571428,-0.34687296754716024,-0.2854496128592251,0.17650793650793647,0.18181818181818182
gpt,c,gpt,v,10,0.9,0.15383279885142856,-0.09249945801257607,-0.0778498944161523,0.2524603174603175,0.18181818181818182
gpt,c,mistral,c,10,0.9,0.022227899425714286,-0.6206650553802724,-0.5208474357065142,0.047896825396825396,0.08333333333333333
gpt,c,mistral,t,10,0.9,0.0,-0.7701540462154054,-0.6405126152203485,0.0,0.0
gpt,c,mistral,v,10,0.9,0.0,-0.7285457394511081,-0.6030226891555271,0.0,0.0
gpt,t,gpt,v,10,0.9,0.4519615561585715,0.6499999999999999,0.5066666666666665,0.7158730158730159,0.5384615384615384
gpt,t,mistral,c,10,0.9,0.2474364764828571,-0.12584269662921346,-0.03529411764705882,0.421031746031746,0.42857142857142855
gpt,t,mistral,t,10,0.9,0.17614297274142854,-0.42170673070921655,-0.35821893027171603,0.2785714285714286,0.2
gpt,t,mistral,v,10,0.9,0.09948869827714284,-0.43684210526315803,-0.3478260869565218,0.19702380952380952,0.17647058823529413
gpt,v,mistral,c,10,0.9,0.2657901710185714,-0.09662921348314606,-0.058823529411764705,0.45892857142857146,0.42857142857142855
gpt,v,mistral,t,10,0.9,0.24407357331571425,-0.45966546151189724,-0.39680400218378387,0.3140079365079365,0.125
gpt,v,mistral,v,10,0.9,0.07607647274142855,-0.536842105263158,-0.4173913043478262,0.15357142857142858,0.17647058823529413
mistral,c,mistral,t,10,0.9,0.04072657331571428,-0.724174709539796,-0.5799443108839918,0.08567460317460318,0.125
mistral,c,mistral,v,10,0.9,0.030885073315714284,-0.7299435028248588,-0.568,0.0690079365079365,0.1111111111111111
mistral,t,mistral,v,10,0.9,0.18586859770285713,-0.046262100205922495,-0.07465089026901592,0.34325396825396826,0.2857142857142857
