"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"128","1280",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","536","10"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","235","12.0266120777892",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1212","41.3510747185261",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","20",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1192",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"131","1310",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","538","11"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","271","10.2807283763278",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1589","40.1871522508852",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","30",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1559",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"123","1230",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","411","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","256","15.4031287605295",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1087","43.602085840353",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","26",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","1061",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"121","1210",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","495","12"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","372","15.8432708688245",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1546","43.8955139125497",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1534",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"125","1250",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","441","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","224","13.9303482587065",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","1028","42.620232172471",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","30",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","998",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"132","1320",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","551","10"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","126","6.2007874015748",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1142","37.4671916010499",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1130",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"116","1160",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","533","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","337","18.7014428412875",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1238","45.8009618941916",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1226",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"133","1330",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","491","10"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","301","11.4885496183206",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1611","40.9923664122137",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","11",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1600",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"125","1250",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","504","10"
"endpoint_err_rate_core","endpoint","claude","t",,"ERR","361","14.2350157728707",,,,,
"endpoint_err_rate_all","endpoint","claude","t",,"ERR","1629","42.8233438485804",,,,,
"err_breakdown","endpoint","claude","t",,"timeout","16",,,,,,
"err_breakdown","endpoint","claude","t",,"other","1613",,,,,,
"service_responsiveness_rate","overview","deepseek","v",,,"127","1270",,,"10",,
"coverage","overview","deepseek","v",,,"10",,,,"10","461","10"
"endpoint_err_rate_core","endpoint","deepseek","v",,"ERR","404","17.0320404721754",,,,,
"endpoint_err_rate_all","endpoint","deepseek","v",,"ERR","1590","44.6880269814502",,,,,
"err_breakdown","endpoint","deepseek","v",,"timeout","52",,,,,,
"err_breakdown","endpoint","deepseek","v",,"tls","10",,,,,,
"err_breakdown","endpoint","deepseek","v",,"other","1528",,,,,,
"service_responsiveness_rate","overview","deepseek","c",,,"131","1310",,,"10",,
"coverage","overview","deepseek","c",,,"10",,,,"10","445","10"
"endpoint_err_rate_core","endpoint","deepseek","c",,"ERR","177","10.8455882352941",,,,,
"endpoint_err_rate_all","endpoint","deepseek","c",,"ERR","993","40.5637254901961",,,,,
"err_breakdown","endpoint","deepseek","c",,"timeout","40",,,,,,
"err_breakdown","endpoint","deepseek","c",,"tls","8",,,,,,
"err_breakdown","endpoint","deepseek","c",,"other","945",,,,,,
"service_responsiveness_rate","overview","mistral","v",,,"129","1290",,,"10",,
"coverage","overview","mistral","v",,,"10",,,,"10","530","10"
"endpoint_err_rate_core","endpoint","mistral","v",,"ERR","379","17.4976915974146",,,,,
"endpoint_err_rate_all","endpoint","mistral","v",,"ERR","1462","44.9984610649431",,,,,
"err_breakdown","endpoint","mistral","v",,"timeout","36",,,,,,
"err_breakdown","endpoint","mistral","v",,"tls","22",,,,,,
"err_breakdown","endpoint","mistral","v",,"other","1404",,,,,,
"service_responsiveness_rate","overview","gemini","v",,,"127","1270",,,"10",,
"coverage","overview","gemini","v",,,"10",,,,"10","481","10"
"endpoint_err_rate_core","endpoint","gemini","v",,"ERR","387","18.4461391801716",,,,,
"endpoint_err_rate_all","endpoint","gemini","v",,"ERR","1436","45.6307594534477",,,,,
"err_breakdown","endpoint","gemini","v",,"timeout","16",,,,,,
"err_breakdown","endpoint","gemini","v",,"other","1420",,,,,,
"service_responsiveness_rate","overview","mistral","t",,,"121","1210",,,"10",,
"coverage","overview","mistral","t",,,"10",,,,"9","575","10"
"endpoint_err_rate_core","endpoint","mistral","t",,"ERR","335","15.9372026641294",,,,,
"endpoint_err_rate_all","endpoint","mistral","t",,"ERR","1386","43.9581351094196",,,,,
"err_breakdown","endpoint","mistral","t",,"timeout","46",,,,,,
"err_breakdown","endpoint","mistral","t",,"tls","30",,,,,,
"err_breakdown","endpoint","mistral","t",,"other","1310",,,,,,
"service_responsiveness_rate","overview","gemini","c",,,"115","1150",,,"10",,
"coverage","overview","gemini","c",,,"10",,,,"10","475","10"
"endpoint_err_rate_core","endpoint","gemini","c",,"ERR","264","15.4566744730679",,,,,
"endpoint_err_rate_all","endpoint","gemini","c",,"ERR","1118","43.6377829820453",,,,,
"err_breakdown","endpoint","gemini","c",,"timeout","152",,,,,,
"err_breakdown","endpoint","gemini","c",,"other","966",,,,,,
"doc_size","docs","gpt","t",,,"548",,,,"646374","130400","4547526"
"doc_size","docs","claude","c",,,"610",,,,"859587","150826","5345795"
"doc_size","docs","deepseek","t",,,"514",,,,"562455","71063","4853413"
"doc_size","docs","claude","v",,,"609",,,,"811806","188065","5345795"
"doc_size","docs","gemini","t",,,"516",,,,"862588","265053","5345795"
"doc_size","docs","gpt","c",,,"620",,,,"677042","133390","4853421"
"doc_size","docs","mistral","c",,,"579",,,,"678908","172761","5345795"
"doc_size","docs","gpt","v",,,"585",,,,"663160","138397","3802068"
"doc_size","docs","claude","t",,,"590",,,,"868432","178470","5689028"
"doc_size","docs","deepseek","v",,,"550",,,,"641089","87679","4970088"
"doc_size","docs","deepseek","c",,,"558",,,,"495847","71063","2212327"
"doc_size","docs","mistral","v",,,"576",,,,"457105","155779","1872081"
"doc_size","docs","gemini","v",,,"579",,,,"557003","101847","4508293"
"doc_size","docs","mistral","t",,,"616",,,,"398493","155779","1417573"
"doc_size","docs","gemini","c",,,"537",,,,"602703","264795","2861104"
"http_status_count","docs","claude","v",,"404","53",,,,,,
"http_status_count","docs","gpt","v",,"422","6",,,,,,
"http_status_count","docs","claude","t",,"308","39",,,,,,
"http_status_count","docs","claude","v",,"401","12",,,,,,
"http_status_count","docs","gemini","c",,"200","475",,,,,,
"http_status_count","docs","gemini","c",,"ERR","64",,,,,,
"http_status_count","docs","deepseek","t",,"308","56",,,,,,
"http_status_count","docs","mistral","v",,"200","530",,,,,,
"http_status_count","docs","deepseek","v",,"308","67",,,,,,
"http_status_count","docs","gpt","v",,"308","49",,,,,,
"http_status_count","docs","claude","v",,"ERR","43",,,,,,
"http_status_count","docs","claude","v",,"429","1",,,,,,
"http_status_count","docs","claude","t",,"ERR","51",,,,,,
"http_status_count","docs","deepseek","c",,"200","445",,,,,,
"http_status_count","docs","gemini","t",,"404","58",,,,,,
"http_status_count","docs","mistral","t",,"405","3",,,,,,
"http_status_count","docs","deepseek","v",,"404","79",,,,,,
"http_status_count","docs","gpt","t",,"ERR","95",,,,,,
"http_status_count","docs","claude","c",,"503","2",,,,,,
"http_status_count","docs","deepseek","c",,"404","73",,,,,,
"http_status_count","docs","mistral","t",,"404","23",,,,,,
"http_status_count","docs","mistral","c",,"200","533",,,,,,
"http_status_count","docs","claude","c",,"403","10",,,,,,
"http_status_count","docs","claude","c",,"404","53",,,,,,
"http_status_count","docs","claude","t",,"200","504",,,,,,
"http_status_count","docs","gemini","v",,"403","20",,,,,,
"http_status_count","docs","claude","t",,"429","1",,,,,,
"http_status_count","docs","mistral","v",,"429","2",,,,,,
"http_status_count","docs","gemini","t",,"308","39",,,,,,
"http_status_count","docs","gpt","c",,"ERR","70",,,,,,
"http_status_count","docs","gemini","t",,"200","441",,,,,,
"http_status_count","docs","mistral","t",,"ERR","33",,,,,,
"http_status_count","docs","mistral","v",,"308","27",,,,,,
"http_status_count","docs","gemini","v",,"200","481",,,,,,
"http_status_count","docs","mistral","c",,"308","26",,,,,,
"http_status_count","docs","gemini","v",,"308","36",,,,,,
"http_status_count","docs","claude","v",,"301","2",,,,,,
"http_status_count","docs","gpt","v",,"404","70",,,,,,
"http_status_count","docs","deepseek","t",,"200","411",,,,,,
