A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.5847779722985713,0.7403508771929825,0.5846153846153846,0.8750396825396825,0.6666666666666666
claude,c,claude,v,10,0.9,0.6022114865842856,0.817543859649123,0.6769230769230771,0.9059920634920635,0.6666666666666666
claude,c,deepseek,c,10,0.9,0.4886092020185713,0.447191011235955,0.24705882352941178,0.7294841269841269,0.42857142857142855
claude,c,deepseek,t,10,0.9,0.4526655977028571,0.26356589147286824,0.1142857142857143,0.654920634920635,0.25
claude,c,deepseek,v,10,0.9,0.460414007482857,0.3640449438202247,0.2,0.6749206349206349,0.42857142857142855
claude,c,gemini,c,10,0.9,0.16645786823571423,-0.5259259259259261,-0.4315789473684211,0.2676190476190476,0.3333333333333333
claude,c,gemini,t,10,0.9,0.28384200748285715,-0.10112359550561796,-0.058823529411764705,0.4715873015873015,0.42857142857142855
claude,c,gemini,v,10,0.9,0.2986401877328571,-0.12134831460674156,-0.08235294117647059,0.4918650793650793,0.42857142857142855
claude,c,gpt,c,10,0.9,0.4214122883071427,0.02962962962962963,0.010526315789473686,0.593968253968254,0.3333333333333333
claude,c,gpt,t,10,0.9,0.4884164621971428,0.17752808988764043,0.08235294117647059,0.6934126984126984,0.42857142857142855
claude,c,gpt,v,10,0.9,0.511828687732857,0.3370786516853932,0.24705882352941178,0.7368650793650793,0.42857142857142855
claude,c,mistral,c,10,0.9,0.49785699712857134,0.6864336353458155,0.5138199967021418,0.7394841269841269,0.4166666666666667
claude,c,mistral,t,10,0.9,0.22602419827714285,0.039058328343225354,0.036980013081681945,0.37035714285714283,0.25
claude,c,mistral,v,10,0.9,0.4566684971285713,0.4546628929803156,0.3220644193264422,0.6778174603174604,0.38461538461538464
claude,t,claude,v,10,0.9,0.5931500561585713,0.661111111111111,0.5333333333333332,0.8775396825396825,0.5384615384615384
claude,t,deepseek,c,10,0.9,0.43831480259285704,0.25185185185185194,0.09473684210526317,0.639920634920635,0.3333333333333333
