"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"service_responsiveness_rate","overview","claude","c",,,"128","1280",,,"10",,
"coverage","overview","claude","c",,,"10",,,,"10","544","10"
"endpoint_err_rate_core","endpoint","claude","c",,"ERR","235","11.8927125506073",,,,,
"endpoint_err_rate_all","endpoint","claude","c",,"ERR","1223","41.2618083670715",,,,,
"err_breakdown","endpoint","claude","c",,"timeout","20",,,,,,
"err_breakdown","endpoint","claude","c",,"other","1203",,,,,,
"service_responsiveness_rate","overview","claude","v",,,"131","1310",,,"10",,
"coverage","overview","claude","v",,,"10",,,,"10","545","10"
"endpoint_err_rate_core","endpoint","claude","v",,"ERR","271","10.187969924812",,,,,
"endpoint_err_rate_all","endpoint","claude","v",,"ERR","1601","40.125313283208",,,,,
"err_breakdown","endpoint","claude","v",,"timeout","30",,,,,,
"err_breakdown","endpoint","claude","v",,"other","1571",,,,,,
"service_responsiveness_rate","overview","deepseek","t",,,"123","1230",,,"10",,
"coverage","overview","deepseek","t",,,"10",,,,"10","418","10"
"endpoint_err_rate_core","endpoint","deepseek","t",,"ERR","256","15.2199762187872",,,,,
"endpoint_err_rate_all","endpoint","deepseek","t",,"ERR","1097","43.4799841458581",,,,,
"err_breakdown","endpoint","deepseek","t",,"timeout","26",,,,,,
"err_breakdown","endpoint","deepseek","t",,"other","1071",,,,,,
"service_responsiveness_rate","overview","gpt","t",,,"121","1210",,,"10",,
"coverage","overview","gpt","t",,,"10",,,,"10","502","10"
"endpoint_err_rate_core","endpoint","gpt","t",,"ERR","372","15.7094594594595",,,,,
"endpoint_err_rate_all","endpoint","gpt","t",,"ERR","1556","43.8063063063063",,,,,
"err_breakdown","endpoint","gpt","t",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","t",,"other","1544",,,,,,
"service_responsiveness_rate","overview","gemini","t",,,"125","1250",,,"10",,
"coverage","overview","gemini","t",,,"10",,,,"10","447","10"
"endpoint_err_rate_core","endpoint","gemini","t",,"ERR","226","13.8820638820639",,,,,
"endpoint_err_rate_all","endpoint","gemini","t",,"ERR","1040","42.5880425880426",,,,,
"err_breakdown","endpoint","gemini","t",,"timeout","30",,,,,,
"err_breakdown","endpoint","gemini","t",,"other","1010",,,,,,
"service_responsiveness_rate","overview","gpt","c",,,"132","1320",,,"10",,
"coverage","overview","gpt","c",,,"10",,,,"10","557","10"
"endpoint_err_rate_core","endpoint","gpt","c",,"ERR","126","6.14035087719298",,,,,
"endpoint_err_rate_all","endpoint","gpt","c",,"ERR","1152","37.4269005847953",,,,,
"err_breakdown","endpoint","gpt","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","gpt","c",,"other","1140",,,,,,
"service_responsiveness_rate","overview","mistral","c",,,"116","1160",,,"10",,
"coverage","overview","mistral","c",,,"10",,,,"10","541","10"
"endpoint_err_rate_core","endpoint","mistral","c",,"ERR","339","18.6674008810573",,,,,
"endpoint_err_rate_all","endpoint","mistral","c",,"ERR","1247","45.7782672540382",,,,,
"err_breakdown","endpoint","mistral","c",,"timeout","12",,,,,,
"err_breakdown","endpoint","mistral","c",,"other","1235",,,,,,
"service_responsiveness_rate","overview","gpt","v",,,"133","1330",,,"10",,
"coverage","overview","gpt","v",,,"10",,,,"10","497","10"
"endpoint_err_rate_core","endpoint","gpt","v",,"ERR","305","11.5442846328539",,,,,
"endpoint_err_rate_all","endpoint","gpt","v",,"ERR","1626","41.0295230885693",,,,,
"err_breakdown","endpoint","gpt","v",,"timeout","11",,,,,,
"err_breakdown","endpoint","gpt","v",,"other","1615",,,,,,
"service_responsiveness_rate","overview","claude","t",,,"125","1250",,,"10",,
"coverage","overview","claude","t",,,"10",,,,"10","511","18"
