"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"sms_v1","nonrag","claude","c","twilio__sms_send","1","98.5","Twilio Programmable SMS API","https://www.twilio.com/docs/sms/api/message-resource","https://api.twilio.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:32:23Z","0.435","True","False","False","False","True","0","GET","401","116","141"
"sms_v1","nonrag","claude","c","vonage__sms_api","2","97","Vonage SMS API (formerly Nexmo)","https://developer.vonage.com/en/messaging/sms/code-snippets/send-an-sms","https://rest.nexmo.com","False","0.25","1","False","True","False","False","2025-10-28T23:32:23Z","0.525","True","False","False","False","True","0","GET","200","38","80"
"sms_v1","nonrag","claude","c","messagebird__sms_send","3","95.5","MessageBird SMS Messaging API","https://developers.messagebird.com/api/sms-messaging/#send-outbound-sms","https://rest.messagebird.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:32:19Z","0.435","True","False","False","False","True","0","GET","401","181","107"
"sms_v1","nonrag","claude","c","plivo__sms_send","4","93.5","Plivo SMS API","https://www.plivo.com/docs/sms/api/message#send-a-message","https://api.plivo.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:32:20Z","0.435","True","False","False","False","True","0","GET","401","41","90"
"sms_v1","nonrag","claude","c","sinch__sms_batches","5","91.5","Sinch SMS API","https://developers.sinch.com/docs/sms/api-reference/sms/tag/Batches/#tag/Batches/operation/SendSMS","https://us.sms.api.sinch.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:32:21Z","0.435","True","False","False","False","True","0","GET","401","89","0"
"sms_v1","nonrag","claude","c","telnyx__sms_send","6","89","Telnyx Messaging API","https://developers.telnyx.com/docs/api/v2/messaging/Messages","https://api.telnyx.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:32:22Z","0.345","True","False","False","False","True","0","GET","404","85","239"
"sms_v1","nonrag","claude","c","bandwidth__sms_messaging","7","87","Bandwidth SMS Messaging API","https://dev.bandwidth.com/apis/messaging/#operation/createMessage","https://messaging.bandwidth.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:32:16Z","0.435","True","False","False","False","True","0","GET","401","292","0"
"sms_v1","nonrag","claude","c","clicksend__sms_send","8","84.5","ClickSend SMS API","https://developers.clicksend.com/docs/rest/v3/#send-sms","https://rest.clicksend.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:32:17Z","0.345","True","False","False","False","True","0","GET","404","258","110"
"sms_v1","nonrag","claude","c","textlocal__sms_send","9","82","Textlocal SMS API","https://api.textlocal.in/docs/sendsms","https://api.textlocal.in","False","0.25","1","False","True","False","False","2025-10-28T23:32:22Z","0.525","True","False","False","False","True","0","GET","200","312","76"
"sms_v1","nonrag","claude","c","infobip__sms_send","10","79.5","Infobip SMS API","https://www.infobip.com/docs/api/channels/sms/sms-messaging/outbound-sms/send-sms-message","https://api.infobip.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:32:18Z","0.345","True","False","False","False","True","0","GET","404","221","118"
